pangenome name	system name	nb of presence
Acinetobacter_baumannii	Abi2	9
Acinetobacter_baumannii	AbiD	9
Acinetobacter_baumannii	AbiH	24
Acinetobacter_baumannii	AbiL	2
Acinetobacter_baumannii	AbiU	4
Acinetobacter_baumannii	AbiZ	1
Acinetobacter_baumannii	AVAST_III	1
Acinetobacter_baumannii	AVAST_IV	3
Acinetobacter_baumannii	Borvo	1
Acinetobacter_baumannii	BREX	32
Acinetobacter_baumannii	BREX_I	34
Acinetobacter_baumannii	BREX_II	16
Acinetobacter_baumannii	BstA	4
Acinetobacter_baumannii	Bunzi	1
Acinetobacter_baumannii	CapRel	18
Acinetobacter_baumannii	CAS_Class1-Subtype-I-F	52
Acinetobacter_baumannii	CBASS_I	30
Acinetobacter_baumannii	CBASS_II	25
Acinetobacter_baumannii	CBASS_III	3
Acinetobacter_baumannii	DarTG	16
Acinetobacter_baumannii	dCTPdeaminase	1
Acinetobacter_baumannii	dGTPase	7
Acinetobacter_baumannii	Dnd_ABCDE	1
Acinetobacter_baumannii	Dnd_ABCDEFGH	1
Acinetobacter_baumannii	DRT8	1
Acinetobacter_baumannii	DRT_2	3
Acinetobacter_baumannii	DRT_3	7
Acinetobacter_baumannii	DRT_4	1
Acinetobacter_baumannii	Druantia_III	8
Acinetobacter_baumannii	Dsr_I	2
Acinetobacter_baumannii	Dsr_II	1
Acinetobacter_baumannii	Eleos	281
Acinetobacter_baumannii	Gabija	48
Acinetobacter_baumannii	Gao_Her_SIR	8
Acinetobacter_baumannii	Gao_Ppl	3
Acinetobacter_baumannii	Gao_Qat	76
Acinetobacter_baumannii	Gao_RL	5
Acinetobacter_baumannii	Gao_TerY	1
Acinetobacter_baumannii	Hachiman	3
Acinetobacter_baumannii	Lamassu-Fam	10
Acinetobacter_baumannii	Lit	1
Acinetobacter_baumannii	Menshen	22
Acinetobacter_baumannii	Mokosh_TypeI	22
Acinetobacter_baumannii	MqsRAC	1
Acinetobacter_baumannii	NLR_like_bNACHT01	1
Acinetobacter_baumannii	PARIS_I	25
Acinetobacter_baumannii	PARIS_II	25
Acinetobacter_baumannii	PARIS_II_merge	7
Acinetobacter_baumannii	PD-Lambda-1	1
Acinetobacter_baumannii	PD-Lambda-2	13
Acinetobacter_baumannii	PD-Lambda-5	1
Acinetobacter_baumannii	PD-T4-2	1
Acinetobacter_baumannii	PD-T4-5	93
Acinetobacter_baumannii	PD-T4-7	3
Acinetobacter_baumannii	PD-T4-9	1
Acinetobacter_baumannii	PD-T7-1	68
Acinetobacter_baumannii	PD-T7-2	9
Acinetobacter_baumannii	PD-T7-5	68
Acinetobacter_baumannii	PrrC	2
Acinetobacter_baumannii	PsyrTA	282
Acinetobacter_baumannii	Retron_I_B	13
Acinetobacter_baumannii	Retron_I_C	1
Acinetobacter_baumannii	Retron_III	12
Acinetobacter_baumannii	Retron_VI	10
Acinetobacter_baumannii	Retron_XII	1
Acinetobacter_baumannii	RloC	12
Acinetobacter_baumannii	RM_Type_I	80
Acinetobacter_baumannii	RM_Type_II	181
Acinetobacter_baumannii	RM_Type_IIG	21
Acinetobacter_baumannii	RM_Type_III	9
Acinetobacter_baumannii	RM_Type_IV	27
Acinetobacter_baumannii	RosmerTA	77
Acinetobacter_baumannii	Rst_3HP	2
Acinetobacter_baumannii	Rst_HelicaseDUF2290	1
Acinetobacter_baumannii	SanaTA	18
Acinetobacter_baumannii	SEFIR	8
Acinetobacter_baumannii	Septu	19
Acinetobacter_baumannii	Shedu	15
Acinetobacter_baumannii	ShosTA	7
Acinetobacter_baumannii	SoFic	5
Acinetobacter_baumannii	SspBCDE	137
Acinetobacter_baumannii	Thoeris_II	12
Acinetobacter_baumannii	Uzume	1
Acinetobacter_baumannii	Zorya_TypeI	6
Acinetobacter_indicus	Abi2	16
Acinetobacter_indicus	AbiD	16
Acinetobacter_indicus	AVAST_IV	3
Acinetobacter_indicus	BREX	11
Acinetobacter_indicus	BREX_I	11
Acinetobacter_indicus	CAS_Class1-Subtype-I-F	4
Acinetobacter_indicus	CAS_Class1-Subtype-III-A	1
Acinetobacter_indicus	CAS_Cluster	1
Acinetobacter_indicus	CBASS_I	7
Acinetobacter_indicus	CBASS_II	3
Acinetobacter_indicus	CBASS_III	4
Acinetobacter_indicus	DRT_2	1
Acinetobacter_indicus	Druantia_III	1
Acinetobacter_indicus	Eleos	1
Acinetobacter_indicus	Gabija	2
Acinetobacter_indicus	Gao_Her_SIR	1
Acinetobacter_indicus	Gao_Hhe	1
Acinetobacter_indicus	Gao_Qat	1
Acinetobacter_indicus	Gao_TerY	1
Acinetobacter_indicus	Kiwa	1
Acinetobacter_indicus	Lamassu-Fam	1
Acinetobacter_indicus	Mokosh_TypeI	3
Acinetobacter_indicus	Old_exonuclease	1
Acinetobacter_indicus	PD-T7-2	1
Acinetobacter_indicus	PD-T7-3	1
Acinetobacter_indicus	PD-T7-4	3
Acinetobacter_indicus	PsyrTA	20
Acinetobacter_indicus	Retron_I_C	1
Acinetobacter_indicus	RloC	4
Acinetobacter_indicus	RM_Type_I	18
Acinetobacter_indicus	RM_Type_II	7
Acinetobacter_indicus	RM_Type_IIG	2
Acinetobacter_indicus	RM_Type_III	5
Acinetobacter_indicus	RM_Type_IV	13
Acinetobacter_indicus	RosmerTA	8
Acinetobacter_indicus	SanaTA	1
Acinetobacter_indicus	Septu	3
Acinetobacter_indicus	ShosTA	1
Acinetobacter_indicus	SpbK	1
Acinetobacter_indicus	SspBCDE	1
Acinetobacter_indicus	Wadjet	2
Acinetobacter_indicus	Wadjet_I	2
Acinetobacter_indicus	Zorya_TypeI	1
Acinetobacter_nosocomialis	Abi2	1
Acinetobacter_nosocomialis	AbiD	1
Acinetobacter_nosocomialis	BREX	1
Acinetobacter_nosocomialis	BREX_I	1
Acinetobacter_nosocomialis	CapRel	1
Acinetobacter_nosocomialis	CBASS_I	5
Acinetobacter_nosocomialis	CBASS_II	4
Acinetobacter_nosocomialis	Dazbog	1
Acinetobacter_nosocomialis	DRT_2	1
Acinetobacter_nosocomialis	DRT_3	1
Acinetobacter_nosocomialis	Eleos	12
Acinetobacter_nosocomialis	Gabija	3
Acinetobacter_nosocomialis	Gao_Ppl	1
Acinetobacter_nosocomialis	Gao_Qat	3
Acinetobacter_nosocomialis	Kiwa	2
Acinetobacter_nosocomialis	Lamassu-Fam	2
Acinetobacter_nosocomialis	Menshen	1
Acinetobacter_nosocomialis	Mokosh_TypeI	1
Acinetobacter_nosocomialis	pAgo	2
Acinetobacter_nosocomialis	PD-Lambda-2	6
Acinetobacter_nosocomialis	PD-T4-5	1
Acinetobacter_nosocomialis	PD-T4-7	2
Acinetobacter_nosocomialis	PD-T7-4	1
Acinetobacter_nosocomialis	PsyrTA	15
Acinetobacter_nosocomialis	Retron_I_C	1
Acinetobacter_nosocomialis	Retron_XII	1
Acinetobacter_nosocomialis	RloC	4
Acinetobacter_nosocomialis	RM_Type_I	8
Acinetobacter_nosocomialis	RM_Type_II	2
Acinetobacter_nosocomialis	RM_Type_IIG	2
Acinetobacter_nosocomialis	RM_Type_III	1
Acinetobacter_nosocomialis	RM_Type_IV	3
Acinetobacter_nosocomialis	RosmerTA	3
Acinetobacter_nosocomialis	Rst_HelicaseDUF2290	2
Acinetobacter_nosocomialis	Rst_TIR-NLR	1
Acinetobacter_nosocomialis	SEFIR	1
Acinetobacter_nosocomialis	Septu	2
Acinetobacter_nosocomialis	Shedu	1
Acinetobacter_pittii	Abi2	2
Acinetobacter_pittii	AbiD	2
Acinetobacter_pittii	AbiH	3
Acinetobacter_pittii	AbiJ	1
Acinetobacter_pittii	AbiL	3
Acinetobacter_pittii	AVAST_I	1
Acinetobacter_pittii	AVAST_II	2
Acinetobacter_pittii	AVAST_IV	1
Acinetobacter_pittii	BREX	7
Acinetobacter_pittii	BREX_I	7
Acinetobacter_pittii	BstA	2
Acinetobacter_pittii	CBASS_I	13
Acinetobacter_pittii	CBASS_II	11
Acinetobacter_pittii	DarTG	2
Acinetobacter_pittii	dCTPdeaminase	2
Acinetobacter_pittii	dGTPase	2
Acinetobacter_pittii	DRT8	1
Acinetobacter_pittii	DRT_2	2
Acinetobacter_pittii	Eleos	32
Acinetobacter_pittii	Gabija	9
Acinetobacter_pittii	Gao_Ape	2
Acinetobacter_pittii	Gao_Her_SIR	1
Acinetobacter_pittii	Gao_Qat	2
Acinetobacter_pittii	Gao_RL	2
Acinetobacter_pittii	Lamassu-Fam	14
Acinetobacter_pittii	Menshen	1
Acinetobacter_pittii	Mokosh_TypeI	7
Acinetobacter_pittii	NLR_like_bNACHT01	4
Acinetobacter_pittii	PARIS_I	3
Acinetobacter_pittii	PARIS_II	3
Acinetobacter_pittii	PARIS_II_merge	2
Acinetobacter_pittii	PD-Lambda-2	15
Acinetobacter_pittii	PD-Lambda-5	1
Acinetobacter_pittii	PD-T4-5	4
Acinetobacter_pittii	PD-T4-7	2
Acinetobacter_pittii	PD-T7-1	5
Acinetobacter_pittii	PD-T7-2	1
Acinetobacter_pittii	PD-T7-5	5
Acinetobacter_pittii	PsyrTA	31
Acinetobacter_pittii	Pycsar	1
Acinetobacter_pittii	Retron_III	1
Acinetobacter_pittii	Retron_IV	2
Acinetobacter_pittii	Retron_VI	1
Acinetobacter_pittii	RloC	2
Acinetobacter_pittii	RM_Type_I	15
Acinetobacter_pittii	RM_Type_II	3
Acinetobacter_pittii	RM_Type_IIG	12
Acinetobacter_pittii	RM_Type_III	13
Acinetobacter_pittii	RM_Type_IV	15
Acinetobacter_pittii	RosmerTA	11
Acinetobacter_pittii	Rst_HelicaseDUF2290	2
Acinetobacter_pittii	SEFIR	2
Acinetobacter_pittii	Septu	18
Acinetobacter_pittii	ShosTA	1
Acinetobacter_pittii	Zorya_TypeI	1
Acinetobacter_seifertii	AbiL	4
Acinetobacter_seifertii	AVAST_IV	3
Acinetobacter_seifertii	BREX	1
Acinetobacter_seifertii	BREX_I	1
Acinetobacter_seifertii	CBASS_I	7
Acinetobacter_seifertii	CBASS_II	7
Acinetobacter_seifertii	CBASS_III	1
Acinetobacter_seifertii	dCTPdeaminase	1
Acinetobacter_seifertii	DRT_2	11
Acinetobacter_seifertii	Druantia_III	18
Acinetobacter_seifertii	Dsr_I	2
Acinetobacter_seifertii	Eleos	37
Acinetobacter_seifertii	Gabija	3
Acinetobacter_seifertii	Gao_Her_DUF	10
Acinetobacter_seifertii	Gao_Iet	1
Acinetobacter_seifertii	Gao_Ppl	1
Acinetobacter_seifertii	Gao_Qat	9
Acinetobacter_seifertii	Gao_TerY	2
Acinetobacter_seifertii	Kiwa	2
Acinetobacter_seifertii	Lamassu-Fam	5
Acinetobacter_seifertii	Mokosh_TypeI	10
Acinetobacter_seifertii	MqsRAC	1
Acinetobacter_seifertii	NLR_like_bNACHT01	2
Acinetobacter_seifertii	pAgo	1
Acinetobacter_seifertii	PD-Lambda-2	2
Acinetobacter_seifertii	PD-T4-5	12
Acinetobacter_seifertii	PD-T4-9	1
Acinetobacter_seifertii	PD-T7-1	2
Acinetobacter_seifertii	PD-T7-5	2
Acinetobacter_seifertii	PrrC	4
Acinetobacter_seifertii	PsyrTA	40
Acinetobacter_seifertii	Pycsar	1
Acinetobacter_seifertii	Retron_I_C	2
Acinetobacter_seifertii	Retron_II	20
Acinetobacter_seifertii	Retron_XII	2
Acinetobacter_seifertii	RloC	17
Acinetobacter_seifertii	RM_Type_I	23
Acinetobacter_seifertii	RM_Type_II	10
Acinetobacter_seifertii	RM_Type_IIG	14
Acinetobacter_seifertii	RM_Type_III	15
Acinetobacter_seifertii	RM_Type_IV	11
Acinetobacter_seifertii	RosmerTA	22
Acinetobacter_seifertii	SEFIR	4
Acinetobacter_seifertii	Septu	8
Acinetobacter_seifertii	Shango	1
Acinetobacter_seifertii	Shedu	2
Acinetobacter_seifertii	ShosTA	1
Acinetobacter_seifertii	SoFic	2
Acinetobacter_seifertii	Thoeris_I	1
Acinetobacter_seifertii	Thoeris_II	1
Acinetobacter_seifertii	Zorya_TypeI	5
Acinetobacter_seifertii	Zorya_TypeII	2
