system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
1	SusCD_model	PUL	1	GCA_034126185.1_CDS_1257	persistent			GCA_041334485.1_CDS_2331		JBGLAZ010000011.1	177509	178189	-	False	context	split	0.38		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCA_041334485.1_CDS_2332		JBGLAZ010000011.1	178325	181171	-	False	model	split	0.38		
1	SusCD_model	PUL	1	GCA_022718855.1_CDS_3994	shell			GCA_041334485.1_CDS_2333		JBGLAZ010000011.1	181203	182561	-	False	filtered	split	0.38		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_6054	shell			GCA_041334485.1_CDS_1830		JBGLAZ010000009.1	87610	88680	-	False	filtered	split	0.38		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_6053	shell	STN		GCA_041334485.1_CDS_1831		JBGLAZ010000009.1	88918	92244	+	False	model	split	0.38		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_6052	shell	SusD-like_2		GCA_041334485.1_CDS_1832		JBGLAZ010000009.1	92256	93878	+	False	model	split	0.38		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_6051	shell			GCA_041334485.1_CDS_1833		JBGLAZ010000009.1	93969	95054	+	False	context	split	0.38		
2	SusCD_model	PUL	1	GCA_022718855.1_CDS_1969	shell	Plug		GCA_041334485.1_CDS_3979		JBGLAZ010000026.1	11233	12753	+	True	model	split	1.0		28:0.8|126:0.67
2	SusCD_model	PUL	1	GCA_022718855.1_CDS_1969	shell	Plug		GCA_041334485.1_CDS_3980		JBGLAZ010000026.1	12737	14422	+	True	model	split	1.0		28:0.8|126:0.67
2	SusCD_model	PUL	1	GCA_003526655.1_CDS_0854	shell	SusD-like_3		GCA_041334485.1_CDS_3981		JBGLAZ010000026.1	14444	16324	+	False	model	split	1.0		28:0.8|126:0.67
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_4370	shell	CarbopepD_reg_2		GCA_041334485.1_CDS_3982		JBGLAZ010000026.1	16343	19414	+	False	model	split	1.0		28:0.8|126:0.67
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_4371	shell	SusD-like_3		GCA_041334485.1_CDS_3983		JBGLAZ010000026.1	19434	21068	+	False	model	split	1.0		28:0.8
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_4372	shell			GCA_041334485.1_CDS_3984		JBGLAZ010000026.1	21246	22184	+	False	context	split	1.0		28:0.8
2	SusCD_model	PUL	2	GCA_022720885.1_CDS_2810	shell			GCA_041334485.1_CDS_3986		JBGLAZ010000026.1	23075	23827	+	True	context	split	1.0		37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3599	shell	Plug		GCA_041334485.1_CDS_3987		JBGLAZ010000026.1	23942	24601	+	True	model	split	1.0		37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3599	shell	Plug		GCA_041334485.1_CDS_3988		JBGLAZ010000026.1	24558	25772	+	True	model	split	1.0		37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3599	shell	Plug		GCA_041334485.1_CDS_3989		JBGLAZ010000026.1	25858	26211	+	True	model	split	1.0		37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3599	shell	Plug		GCA_041334485.1_CDS_3990		JBGLAZ010000026.1	26241	26735	+	True	model	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	2	GCA_024759545.1_CDS_1704	shell	SusD-like_3		GCA_041334485.1_CDS_3991		JBGLAZ010000026.1	26740	27195	+	True	model	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	2	GCA_024759545.1_CDS_1704	shell	SusD-like_3		GCA_041334485.1_CDS_3992		JBGLAZ010000026.1	27155	28495	+	False	model	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3601	shell	CarbopepD_reg_2		GCA_041334485.1_CDS_3993		JBGLAZ010000026.1	28528	31644	+	False	model	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3602	shell	SusD-like_3		GCA_041334485.1_CDS_3994		JBGLAZ010000026.1	31664	33373	+	False	model	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	2	GCA_000436435.1_CDS_3603	persistent			GCA_041334485.1_CDS_3995		JBGLAZ010000026.1	33408	34349	+	False	context	split	1.0		31:1.0|37:0.8
2	SusCD_model	PUL	1	GCA_000436435.1_CDS_3590	shell			GCA_041334485.1_CDS_3978		JBGLAZ010000026.1	8504	11026	+	False	filtered	split	1.0		28:0.8|126:0.67
3	SusCD_model	PUL	2	GCA_024787785.1_CDS_6905	persistent			GCA_041334485.1_CDS_2975		JBGLAZ010000013.1	130122	131354	-	False	filtered	split	0.62		
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4177	persistent	Plug		GCA_041334485.1_CDS_2976		JBGLAZ010000013.1	131359	134196	-	False	model	split	0.62		
3	SusCD_model	PUL	2	GCA_000436435.1_CDS_1273	shell			GCA_041334485.1_CDS_2977		JBGLAZ010000013.1	134267	134407	+	False	context	split	0.62		
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4504	shell			GCA_041334485.1_CDS_0329		JBGLAZ010000002.1	209642	211366	+	False	context	split	1.0		27:0.8
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4503	shell	STN		GCA_041334485.1_CDS_0330		JBGLAZ010000002.1	211424	214924	+	False	model	split	1.0		27:0.8
4	SusCD_model	PUL	2	GCA_024791665.1_CDS_6225	shell	SusD-like_3		GCA_041334485.1_CDS_0331		JBGLAZ010000002.1	214948	216777	+	False	model	split	1.0		27:0.8
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4501	shell			GCA_041334485.1_CDS_0332		JBGLAZ010000002.1	216804	217889	+	False	context	split	1.0		27:0.8
4	SusCD_model	PUL	1	GCA_024789885.1_CDS_2079	persistent			GCA_041334485.1_CDS_4734		JBGLAZ010000031.1	256675	257664	+	False	context	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	1	GCA_000273195.1_CDS_4965	persistent	Plug		GCA_041334485.1_CDS_4735		JBGLAZ010000031.1	257805	260993	+	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	1	GCA_000273195.1_CDS_4966	persistent	SusD-like_3		GCA_041334485.1_CDS_4736		JBGLAZ010000031.1	261014	262900	+	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	1	GCA_000273195.1_CDS_4967	persistent	Plug		GCA_041334485.1_CDS_4737		JBGLAZ010000031.1	262923	266006	+	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	1	GCA_000273195.1_CDS_4968	persistent	SusD-like_3		GCA_041334485.1_CDS_4738		JBGLAZ010000031.1	266032	267828	+	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	1	GCA_000273195.1_CDS_4969	persistent			GCA_041334485.1_CDS_4739		JBGLAZ010000031.1	267858	268760	+	False	context	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	3	GCA_003474465.1_CDS_1470	shell			GCA_041334485.1_CDS_4532		JBGLAZ010000030.1	345328	345744	-	False	filtered	split	1.0		27:0.8|139:0.67
4	SusCD_model	PUL	3	GCA_000273195.1_CDS_5788	shell	CarbopepD_reg_2		GCA_041334485.1_CDS_4533		JBGLAZ010000030.1	346278	349364	+	False	model	split	1.0		27:0.8|139:0.67
4	SusCD_model	PUL	3	GCA_000273195.1_CDS_5789	shell	SusD-like_3		GCA_041334485.1_CDS_4534		JBGLAZ010000030.1	349416	351218	+	False	model	split	1.0		27:0.8|139:0.67
4	SusCD_model	PUL	3	GCA_003602825.1_CDS_2862	shell			GCA_041334485.1_CDS_4535		JBGLAZ010000030.1	351463	351948	+	False	context	split	1.0		27:0.8|139:0.67
6	SusCD_model	PUL	3	GCA_000436435.1_CDS_0015	persistent			GCA_041334485.1_CDS_0270		JBGLAZ010000002.1	117329	117916	-	False	context	split	0.71		
6	SusCD_model	PUL	3	GCA_000273195.1_CDS_4668	shell	CarbopepD_reg_2		GCA_041334485.1_CDS_0271		JBGLAZ010000002.1	117996	118649	-	True	model	split	0.71		
6	SusCD_model	PUL	3	GCF_018292045.1_CDS_1202	shell			GCA_041334485.1_CDS_0272		JBGLAZ010000002.1	118815	120380	-	False	context	split	0.71		
6	SusCD_model	PUL	2	GCF_027661595.1_CDS_4883	shell			GCA_041334485.1_CDS_4594		JBGLAZ010000031.1	39444	39848	-	False	context	split	0.71		
6	SusCD_model	PUL	2	GCA_000273195.1_CDS_4668	shell	CarbopepD_reg_2		GCA_041334485.1_CDS_4595		JBGLAZ010000031.1	39839	41410	-	True	model	split	0.71		
6	SusCD_model	PUL	2	GCA_000273195.1_CDS_4669	shell			GCA_041334485.1_CDS_4596		JBGLAZ010000031.1	41410	42276	-	False	context	split	0.71		
7	SusCD_model	PUL	1	GCA_003602825.1_CDS_1148	shell	TonB_dep_Rec		GCA_041334485.1_CDS_4505		JBGLAZ010000030.1	312997	316185	+	False	model	strict	0.86		6:0.71|8:0.67|11:0.67
7	SusCD_model	PUL	1	GCA_000699685.1_CDS_3913	shell	SusD-like_3		GCA_041334485.1_CDS_4506		JBGLAZ010000030.1	316202	317755	+	False	model	strict	0.86		6:0.71|8:0.67|11:0.67
7	SusCD_model	PUL	1	GCF_000162555.1_CDS_1467	shell			GCA_041334485.1_CDS_4507		JBGLAZ010000030.1	318120	318707	+	False	context	strict	0.86		6:0.71|8:0.67|11:0.67
