system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
1	SusCD_model	PUL	1	GCA_034126185.1_CDS_1257	persistent			GCF_015550105.1_CDS_0647		NZ_JADNAD010000014.1	110889	111569	-	False	context	split	0.62		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCF_015550105.1_CDS_0648		NZ_JADNAD010000014.1	111706	114552	-	False	model	split	0.62		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3514	shell			GCF_015550105.1_CDS_0649		NZ_JADNAD010000014.1	114576	115934	-	False	context	split	0.62		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3513	shell			GCF_015550105.1_CDS_0650		NZ_JADNAD010000014.1	115963	117216	-	False	filtered	split	0.62		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCF_015550105.1_CDS_0651		NZ_JADNAD010000014.1	117514	120360	-	False	model	split	0.62		
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_3511	shell			GCF_015550105.1_CDS_0652		NZ_JADNAD010000014.1	120400	121800	-	False	context	split	0.62		
1	SusCD_model	PUL	5	GCA_024791005.1_CDS_3249	shell			GCF_015550105.1_CDS_0207		NZ_JADNAD010000011.1	91091	92965	-	False	context	split	0.62		68:0.5
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_2837	persistent	SusD-like_3		GCF_015550105.1_CDS_0208		NZ_JADNAD010000011.1	92984	94891	-	False	model	split	0.62		68:0.5
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_2836	persistent	CarbopepD_reg_2		GCF_015550105.1_CDS_0209		NZ_JADNAD010000011.1	94917	98165	-	False	model	split	0.62		68:0.5
1	SusCD_model	PUL	5	GCA_024789885.1_CDS_3613	persistent			GCF_015550105.1_CDS_0210		NZ_JADNAD010000011.1	98521	99315	+	False	filtered	split	0.62		68:0.5
3	SusCD_model	PUL	3	GCA_024787785.1_CDS_6905	persistent			GCF_015550105.1_CDS_3982		NZ_JADNAD010000004.1	182340	183572	-	False	filtered	split	0.88		
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_4177	persistent	Plug		GCF_015550105.1_CDS_3983		NZ_JADNAD010000004.1	183577	186414	-	False	model	split	0.88		
3	SusCD_model	PUL	3	GCA_000436435.1_CDS_1273	shell			GCF_015550105.1_CDS_3984		NZ_JADNAD010000004.1	186485	186625	+	False	context	split	0.88		
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4969	persistent			GCF_015550105.1_CDS_1391		NZ_JADNAD010000001.1	186671	187573	-	False	context	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4968	persistent	SusD-like_3		GCF_015550105.1_CDS_1392		NZ_JADNAD010000001.1	187603	189399	-	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4967	persistent	Plug		GCF_015550105.1_CDS_1393		NZ_JADNAD010000001.1	189425	192508	-	False	model	split	1.0		26:0.8|40:0.8
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_4966	persistent	SusD-like_3		GCF_015550105.1_CDS_1394		NZ_JADNAD010000001.1	192531	194417	-	False	model	split	1.0		26:0.8|40:0.8
