CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	NC_004663.1	WP_055235382.1	40584	41537	+	CAZyme|GT2
CGC1	null	NC_004663.1	WP_009039960.1	41534	42700	+	null
CGC1	CAZyme	NC_004663.1	WP_011107074.1	42724	43656	+	CAZyme|GT2
CGC1	CAZyme	NC_004663.1	WP_011107075.1	43671	44066	+	CAZyme|GT2
CGC1	null	NC_004663.1	WP_011107076.1	44162	44638	+	null
CGC1	CAZyme	NC_004663.1	WP_011107077.1	44647	45582	+	CAZyme|GT101_e12
CGC1	CAZyme	NC_004663.1	WP_225011882.1	45585	46565	+	CAZyme|GT2+TC|4.D.1.1.15
CGC1	CAZyme	NC_004663.1	WP_009039956.1	46565	47545	+	CAZyme|GT2
CGC1	CAZyme	NC_004663.1	WP_225011881.1	47542	48834	+	CAZyme|GT129
CGC1	CAZyme	NC_004663.1	WP_009039954.1	48834	49958	+	CAZyme|GT4_e408
CGC1	CAZyme	NC_004663.1	WP_009039953.1	50011	51132	+	CAZyme|GT4_e161
CGC1	CAZyme	NC_004663.1	WP_009039952.1	51140	52255	+	CAZyme|GT4_e3479
CGC1	TC	NC_004663.1	WP_009039951.1	52276	53298	+	TC|9.B.146.1.7
CGC1	null	NC_004663.1	WP_009039950.1	53288	53575	+	null
CGC1	null	NC_004663.1	WP_011107079.1	53647	54777	+	null
CGC1	null	NC_004663.1	WP_009039948.1	54774	55715	+	null
CGC1	null	NC_004663.1	WP_009039947.1	55754	56539	+	null
CGC1	TC	NC_004663.1	WP_009039946.1	56555	58894	+	TC|8.A.3.3.4
CGC1	null	NC_004663.1	WP_225011880.1	58945	59103	+	null
CGC1	null	NC_004663.1	WP_009039944.1	59156	59356	+	null
CGC1	null	NC_004663.1	WP_225011879.1	59766	59912	-	null
CGC1	null	NC_004663.1	WP_237708488.1	60052	61551	+	null
CGC1	CAZyme	NC_004663.1	WP_009039942.1	61621	64158	+	CAZyme|GH27_e4
CGC2	TC	NC_004663.1	WP_008766748.1	112706	113182	-	TC|3.D.1.5.1
CGC2	STP	NC_004663.1	WP_008766747.1	113201	114967	-	STP|Fer4
CGC2	TC	NC_004663.1	WP_008766746.1	114979	116886	-	TC|3.D.1.5.1+STP|Fer4
CGC2	CAZyme	NC_004663.1	WP_011107129.1	117467	120223	+	CAZyme|PL40_e1
CGC2	CAZyme	NC_004663.1	WP_008766744.1	120368	123661	+	CAZyme|GH28_e12|CBM6_e73
CGC3	CAZyme	NC_004663.1	WP_008766740.1	127903	129852	+	CAZyme|GH97_e24
CGC3	STP	NC_004663.1	WP_008760452.1	129836	130669	-	STP|SIS
CGC3	null	NC_004663.1	WP_008760453.1	130680	131063	-	null
CGC3	null	NC_004663.1	WP_008766739.1	131041	131823	-	null
CGC3	null	NC_004663.1	WP_011107132.1	131976	133586	+	null
CGC3	CAZyme	NC_004663.1	WP_055229046.1	133697	135616	+	CAZyme|GH146_e0
CGC3	TF	NC_004663.1	WP_162303145.1	135802	138585	+	TF|0035607+STP|Y_Y_Y+STP|HTH_18
CGC3	STP	NC_004663.1	WP_008766735.1	139333	139848	+	STP|Sigma70_r2+STP|Sigma70_r4_2
CGC3	TC	NC_004663.1	WP_172461656.1	139982	143212	+	TC|1.B.14.6.17
CGC3	TC	NC_004663.1	WP_008760460.1	143223	144962	+	TC|8.A.46.3.4
CGC3	null	NC_004663.1	WP_008766733.1	144992	146377	+	null
CGC3	null	NC_004663.1	WP_008766732.1	146387	147763	+	null
CGC3	CAZyme	NC_004663.1	WP_011107138.1	149679	150899	+	CAZyme|GH88_e24+SULFATLAS|S1_27
CGC3	null	NC_004663.1	WP_008760465.1	150999	151475	-	null
CGC3	TC	NC_004663.1	WP_011107140.1	151535	152824	-	TC|1.A.112.2.3
CGC3	PEPTIDASE	NC_004663.1	WP_011107141.1	153042	153824	-	PEPTIDASE|M48.UPC
CGC3	TC	NC_004663.1	WP_011107142.1	153863	156241	-	TC|1.B.14.6.5
CGC3	null	NC_004663.1	WP_008760469.1	156339	156773	+	null
