HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH73.hmm	128	WP_004351808.1	317	5.708694408947056e-32	3	128	38	165	0.984375	dbCAN
GT4.hmm	160	WP_004353191.1	424	1.90766378311118e-24	6	152	237	383	0.91875	dbCAN
GT2.hmm	170	WP_004353437.1	317	5.493032743812854e-32	1	168	4	168	0.9882352941176471	dbCAN
GH33.hmm	342	WP_004353576.1	448	8.382352656321507e-58	11	341	39	417	0.9678362573099415	dbCAN
GH133.hmm	372	WP_004354251.1	647	1.2777115470748596e-101	6	372	286	637	0.9865591397849462	dbCAN
GH25.hmm	177	WP_004354679.1	235	3.1304065418812508e-43	2	177	38	211	0.9943502824858758	dbCAN
CE11.hmm	271	WP_013670309.1	462	6.034325288111094e-75	1	220	6	225	0.8118081180811808	dbCAN
GH97.hmm	631	WP_013670856.1	712	1.3533959340178831e-252	5	630	13	709	0.9920760697305864	dbCAN
GH37.hmm	491	WP_013671073.1	446	1.2485034793360219e-102	71	490	27	439	0.8553971486761711	dbCAN
GT119.hmm	360	WP_013671917.1	491	6.172009892124541e-21	2	197	25	214	0.5444444444444444	dbCAN
GT119.hmm	360	WP_013671917.1	491	4.739073715926617e-44	152	357	257	483	0.5722222222222222	dbCAN
GT51.hmm	177	WP_013672091.1	767	3.507317731118645e-58	3	177	58	239	0.9887005649717514	dbCAN
CE4.hmm	130	WP_025067044.1	259	1.1221427618828953e-16	22	126	33	129	0.8076923076923077	dbCAN
GT51.hmm	177	WP_025067274.1	229	4.646442461788275e-50	12	176	55	219	0.9322033898305084	dbCAN
CE4.hmm	130	WP_029216393.1	211	1.5617935251567316e-22	6	121	23	133	0.8923076923076924	dbCAN
GT2.hmm	170	WP_036853468.1	314	3.785407644980789e-27	4	167	8	174	0.9647058823529412	dbCAN
GT4.hmm	160	WP_036856154.1	422	2.1423967501664563e-34	6	154	242	387	0.93125	dbCAN
GH13_44.hmm	336	WP_036856713.1	581	1.7713285640096397e-143	1	336	51	418	1.0	dbCAN
GT2.hmm	170	WP_036856831.1	290	8.649979084104296e-16	1	112	30	134	0.6588235294117647	dbCAN
GH179.hmm	338	WP_036876665.1	327	6.302136940802101e-25	6	258	23	266	0.7485207100591716	dbCAN
GH43_3.hmm	301	WP_036876783.1	342	3.330890624932084e-106	1	301	35	322	1.0	dbCAN
GT2.hmm	170	WP_118866375.1	259	9.485706073897357e-25	1	131	5	144	0.7705882352941177	dbCAN
GH25.hmm	177	WP_118866826.1	296	3.052450148319911e-50	1	177	67	243	1.0	dbCAN
GH25.hmm	177	WP_211796564.1	236	1.6373618156712093e-49	1	177	42	216	1.0	dbCAN
GH92.hmm	491	WP_219441669.1	716	1.4367436243562019e-179	13	491	223	705	0.9755600814663951	dbCAN
CBM32.hmm	124	WP_270536753.1	256	1.4596501821127124e-17	13	122	130	249	0.8870967741935484	dbCAN
GT122.hmm	327	WP_278535065.1	382	3.3070091495363044e-32	6	323	38	348	0.9724770642201835	dbCAN
GH32.hmm	293	WP_278580844.1	562	5.52948319441661e-94	1	282	134	417	0.962457337883959	dbCAN
GH32.hmm	293	WP_278580846.1	531	3.0375010812141346e-41	2	282	51	350	0.9590443686006825	dbCAN
GH32.hmm	293	WP_278580870.1	533	1.2907141572019359e-55	1	293	27	324	1.0	dbCAN
GT2.hmm	170	WP_278580900.1	1249	8.776757993357571e-21	1	129	253	383	0.7588235294117647	dbCAN
GT4.hmm	160	WP_278580916.1	380	3.515033839166744e-32	9	152	205	344	0.9	dbCAN
GT9.hmm	225	WP_278580937.1	357	5.104375852982411e-29	4	217	75	325	0.9511111111111111	dbCAN
GH13_14.hmm	289	WP_278580997.1	637	7.152181292530968e-109	1	289	170	496	1.0	dbCAN
GH77.hmm	494	WP_278580998.1	897	2.3839048477824582e-148	1	489	248	892	0.9898785425101214	dbCAN
GH13_6.hmm	286	WP_278581000.1	824	1.1716104482013785e-66	7	285	52	326	0.9755244755244755	dbCAN
GT2.hmm	170	WP_278581022.1	248	1.1455950145125066e-31	2	168	7	174	0.9823529411764705	dbCAN
GT51.hmm	177	WP_278581069.1	842	1.1767386068652684e-59	3	177	88	274	0.9887005649717514	dbCAN
GH13_44.hmm	336	WP_278581112.1	574	9.678177314512238e-143	1	335	49	408	0.9970238095238095	dbCAN
GH29.hmm	346	WP_278581124.1	460	8.559111739114523e-105	27	345	24	368	0.9219653179190751	dbCAN
GH97.hmm	631	WP_278581129.1	815	2.614537449920639e-195	10	630	4	632	0.9841521394611727	dbCAN
GH57.hmm	383	WP_278581215.1	481	2.667033453865175e-46	12	311	20	324	0.783289817232376	dbCAN
CBM32.hmm	124	WP_278581241.1	873	3.2355304786178254e-20	7	122	21	135	0.9354838709677419	dbCAN
GH92.hmm	491	WP_278581241.1	873	2.7961140428013448e-130	2	487	393	871	0.9898167006109979	dbCAN
GH92.hmm	491	WP_278581242.1	754	9.218161811209016e-167	2	491	249	738	0.9979633401221996	dbCAN
GH13_6.hmm	286	WP_278581264.1	671	2.7449867411416464e-58	12	286	60	341	0.9615384615384616	dbCAN
GT4.hmm	160	WP_278581322.1	392	1.7837048635074602e-25	6	159	209	363	0.9625	dbCAN
GT26.hmm	171	WP_278581324.1	238	1.4253480554072388e-33	3	167	47	215	0.9649122807017544	dbCAN
GT5.hmm	472	WP_278581340.1	254	2.516223686999255e-37	22	214	10	214	0.4088983050847458	dbCAN
GH16.hmm	189	WP_278581341.1	246	1.326173449049012e-32	2	189	34	241	0.9947089947089947	dbCAN
CE4.hmm	130	WP_278581375.1	710	8.298609496815383e-27	7	108	75	177	0.7846153846153846	dbCAN
GT2.hmm	230	WP_278581375.1	710	1.2932382919310123e-37	1	230	354	579	1.0	dbCAN
GH2.hmm	752	WP_278581390.1	1019	4.280888454360966e-214	24	751	59	903	0.9680851063829787	dbCAN
GT2.hmm	170	WP_278581479.1	346	3.103465133809677e-24	2	116	5	114	0.6764705882352942	dbCAN
GH29.hmm	346	WP_278581503.1	433	2.9544411400904863e-108	21	346	16	351	0.9421965317919075	dbCAN
GT117.hmm	245	WP_278581521.1	1109	6.708262020630294e-38	2	200	16	236	0.8122448979591836	dbCAN
GT4.hmm	160	WP_278581578.1	387	6.129218841140459e-34	8	157	210	360	0.9375	dbCAN
GT4.hmm	160	WP_278581580.1	418	1.1541659994126704e-26	9	156	226	374	0.925	dbCAN
GH53.hmm	342	WP_278581599.1	349	1.9039989787710878e-87	2	315	47	331	0.9181286549707602	dbCAN
GH85.hmm	315	WP_278581604.1	1057	9.43177228051431e-42	10	315	109	417	0.9714285714285714	dbCAN
GH85.hmm	315	WP_278581606.1	1037	1.3224217778719761e-40	17	314	118	427	0.946031746031746	dbCAN
GH125.hmm	402	WP_278581632.1	490	9.528404612589282e-184	2	402	75	475	0.9975124378109452	dbCAN
GH18.hmm	296	WP_278581647.1	424	4.344427727880197e-34	23	281	132	414	0.875	dbCAN
GT19.hmm	354	WP_278581671.1	386	2.507941951124645e-114	2	352	4	359	0.9915254237288136	dbCAN
GH95.hmm	722	WP_278581706.1	836	9.64953294562352e-221	4	716	69	797	0.9875346260387812	dbCAN
GH20.hmm	337	WP_278581744.1	538	8.464923960197587e-120	8	336	147	500	0.9762611275964391	dbCAN
GT2.hmm	170	WP_278581759.1	252	9.481004214584336e-28	1	130	4	135	0.7647058823529411	dbCAN
GT2.hmm	170	WP_278581778.1	295	8.824118344349432e-21	1	163	3	168	0.9588235294117647	dbCAN
GH31_19.hmm	387	WP_278581797.1	533	1.7087917563080274e-173	1	386	143	529	0.9974160206718347	dbCAN
GH84.hmm	295	WP_278581800.1	863	1.2057138252756163e-105	1	294	186	480	0.9966101694915255	dbCAN
GH25.hmm	177	WP_278581819.1	262	8.42001467987618e-45	2	177	69	241	0.9943502824858758	dbCAN
GT2.hmm	170	WP_278581895.1	346	1.1251057168362027e-29	1	169	4	169	0.9941176470588236	dbCAN
GH2.hmm	752	WP_278581903.1	826	5.949039847547205e-94	34	480	29	591	0.5944148936170213	dbCAN
GH2.hmm	752	WP_278581950.1	1055	9.64478337491613e-214	20	751	62	933	0.973404255319149	dbCAN
CE1.hmm	227	WP_278582005.1	718	1.561518750751335e-17	5	162	466	635	0.6960352422907489	dbCAN
GT28.hmm	157	WP_278582062.1	344	3.9104261159248902e-28	1	96	194	294	0.6114649681528662	dbCAN
