Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
WP_005681492.1	QDT68860.1|GH117	42.9	618	298	13	25	600	25	629	9.2e-142	442
WP_008759752.1	UYU81690.1|GT2	100.0	342	0	0	1	342	1	342	1.05e-256	701
WP_008759755.1	UYU68996.1|GT4	100.0	323	0	0	1	323	1	323	7.56e-245	669
WP_008759776.1	QGN28876.1|GT119	46.7	480	236	6	28	500	237	703	4.42e-130	402
WP_008759880.1	BCA48750.1|CE11	100.0	461	0	0	1	461	1	461	0.0	917
WP_008759884.1	AGL64700.1|GH23	44.1	358	192	2	9	366	6	355	5.090000000000001e-103	313
WP_008759920.1	ALJ43391.1|GH109	100.0	467	0	0	1	467	1	467	0.0	969
WP_008759957.1	QMW86620.1|GT4	100.0	408	0	0	1	408	1	408	5.2e-295	803
WP_008759975.1	ALJ43326.1|GT4	100.0	424	0	0	1	424	1	424	0.0	880
WP_008759978.1	UYU82912.1|GT5	100.0	278	0	0	1	278	1	278	4.53e-203	560
WP_008760094.1	UYU47498.1|GH105	60.4	265	105	0	24	288	394	658	1.6e-112	344
WP_008760322.1	UVP60381.1|GT2	100.0	316	0	0	1	316	1	316	6.89e-233	638
WP_008760327.1	CCO12112.1|GH13_31	71.6	419	118	1	3	420	4	422	2.3600000000000002e-212	596
WP_008760377.1	UML59361.1|PL12_2	100.0	702	0	0	1	702	1	702	0.0	1422
WP_008760398.1	WRQ53122.1|GH2	39.3	524	263	12	23	512	631	1133	5.71e-108	353
WP_008760550.1	AAO75358.1|GT2	100.0	247	0	0	1	247	1	247	3.04e-181	502
WP_008760603.1	CAG7868751.1|GT106	50.8	533	251	3	17	547	43	566	5.2800000000000007e-179	534
WP_008760846.1	UVP62338.1|CBM50	100.0	290	0	0	1	290	1	290	1.16e-211	582
WP_008760881.1	UYU90915.1|GH92	100.0	761	0	0	1	761	1	761	0.0	1597
WP_008760902.1	CBK68119.1|GH18	100.0	476	0	0	1	476	1	476	0.0	948
WP_008760990.1	UBD13677.1|GH105	100.0	399	0	0	1	399	1	399	1.34e-306	832
WP_008761037.1	UQC84824.1|GT2	59.0	344	140	1	4	346	1785	2128	3.71e-128	410
WP_008761096.1	QWA11134.1|GT2	47.5	373	170	6	5	376	291	638	9.310000000000001e-103	322
WP_008761388.1	3859|Neopa1_GeneCatalog_proteins_20130909.aa.fasta|CBM48|GH13_8	65.2	500	143	6	6	505	753	1221	4.4200000000000006e-200	595
WP_008761680.1	UVR89827.1|GH18	100.0	364	0	0	1	364	1	364	6.09e-283	769
WP_008762033.1	118117|Volvo1_GeneCatalog_proteins_20130703.aa.fasta|CE4	42.9	706	385	10	6	699	1033	1732	3.58e-166	526
WP_008762102.1	11632|Talst1_2_GeneCatalog_proteins_20140114.aa.fasta|GH3	39.0	502	258	14	37	503	22	510	8.999999999999999e-115	360
WP_008762206.1	AFM03407|GT4	57.9	285	109	2	8	281	10	294	4.52e-106	315
