HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
Fer4	24	WP_002559159.1	56	7.74370312419139e-09	2	24	3	25	0.9583333333333334	STP
Fer4	24	WP_002559159.1	56	1.6634835232653419e-09	2	23	31	52	0.9166666666666666	STP
Glyoxalase	128	WP_002561104.1	134	2.679084730447419e-13	2	119	6	119	0.921875	STP
Sigma70_r2	71	WP_002561589.1	286	1.2319110445895726e-18	2	70	55	123	0.971830985915493	STP
Sigma70_r3	78	WP_002561589.1	286	7.858298621417622e-18	3	73	135	205	0.9102564102564102	STP
Sigma70_r4	50	WP_002561589.1	286	1.3853441974048628e-19	1	50	222	274	1.0	STP
Peripla_BP_2	238	WP_004289233.1	379	1.5062612136050274e-23	1	233	97	331	0.9789915966386554	STP
HTH_18	81	WP_004295301.1	306	2.101127954841564e-19	2	80	221	298	0.9753086419753086	STP
MerR	38	WP_004323231.1	97	7.828412228695049e-07	4	38	47	81	0.9210526315789473	STP
Sigma70_r2	71	WP_005641942.1	151	8.75653318697791e-15	5	68	13	74	0.9014084507042254	STP
HTH_7	45	WP_005648594.1	212	5.699123136189988e-06	8	44	172	208	0.8222222222222222	STP
CbiA	128	WP_005648604.1	252	5.921264823979942e-26	1	127	7	226	0.9921875	STP
Response_reg	112	WP_005678712.1	233	2.974328629668147e-26	1	111	7	116	0.9910714285714286	STP
Trans_reg_C	77	WP_005678712.1	233	2.0507591874370557e-18	1	77	152	226	1.0	STP
FecR	96	WP_005681496.1	322	1.188714240956728e-18	2	96	112	207	0.9895833333333334	STP
Sigma70_r2	71	WP_005681497.1	189	4.097182107872208e-08	2	69	16	80	0.9577464788732394	STP
Sigma70_r4_2	54	WP_005681497.1	189	1.3607636281874885e-14	3	54	120	171	0.9629629629629629	STP
HTH_7	45	WP_005818830.1	217	2.4880936365273277e-06	3	42	157	194	0.8888888888888888	STP
HTH_11	55	WP_005928359.1	154	6.718268847255628e-06	3	47	9	52	0.8181818181818182	STP
AsnC_trans_reg	75	WP_005928359.1	154	1.3381682781297246e-19	1	75	70	142	1.0	STP
HTH_18	81	WP_007487760.1	291	8.096432334133687e-12	3	80	199	275	0.9629629629629629	STP
NTP_transf_2	95	WP_008759700.1	97	6.383438582037873e-14	1	89	11	91	0.9368421052631579	STP
