PULID,PMID,verification_final,genomic_accession_number,nucleotide_position_range,substrate_final,gene_locus_tags_or_modular,old_other_gene_locus_tags_or_modules,organism_name,ncbi_species_tax_id,degradation_biosynthesis,cazy_diamond_eval,dbcan_hmmer_eval,hotpep_hits,tp_eval,num_cgcs,cazymes_predicted_dbCAN2,num_cazymes,num_genes,cazymes_predicted_dbcan,
PUL0001,30796211,"RNA-Seq,substrate binding assay,enzyme activity assay,mass spectrometry",NZ_GG692714.1,156723-175880,beta-mannan,ROSINTL182_05469-ROSINTL182_05483,,Roseburia intestinalis,166486,degradation,default,default,default,default,1,yes,7,15,"GH1,CE2,GH130,GH130,GH36,GH113",
PUL0002,8606172,"enzyme activity assay,Northern Blot",D83026.1,10377-12234,lichenan,licTS,,Bacillus subtilis,1423,degradation,default,default,default,default,0,yes,1,2,GH16,
PUL0003,26559526,RT-PCR,NC_000964,1942714-1945654,xylan,xynCD,BSU_18150-BSU_18160,Bacillus subtilis,1423,degradation,default,default,default,default,0,yes,2,2,"GH30|GH30_8,GH43_16|CBM6",
PUL0004,26827771,"enzyme activity assay,substrate binding assay",KM624528.1,1-3311,"glucose,cellobiose,maltose","glu1392,glu1923",,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,1,2,GH1,
PUL0005,26886583,"enzyme activity assay,crystallization",NC_003212,1844298-1849726,"beta-glucan,sophorose,laminaribiose",LIN_RS09480-LIN_RS09485,Lin1839-Lin1840,Listeria innocua,1642 ,degradation,default,default,default,default,0,yes,1,2,"GH94,GH3",
PUL0006,24637762,enzyme activity assay,KF840174.1,236-13867,galactan,gan1D-ganR2-gan4c-AHL67643.1-ganP-galS-galT2-galE2-galF2-galG2-frk,,Geobacillus stearothermophilus,1422,degradation,default,default,default,default,1,yes,2,11,GH1,
PUL0007,27274361,sequence homology analysis,LN890332.1,5399-15957,galactan,LEKG_1953-LEKG_1960,,Leuconostoc gelidum,1244,degradation,default,default,default,default,1,yes,2,8,"GH53,GH42",
PUL0008,28103254,enzyme activity assay,NC_004663.1,2164759-2186087,fructan,BT_RS08890-BT_RS08945,BT_1754-BT_1765,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,2,12,"GH32,GH32,GH32",
PUL0009,28432302,"enzyme activity assay,immunoblotting,ATPase assay",NC_013515.1,121344-139674,glycosaminoglycan,SMON_RS00575-SMON_RS00640,Smon_0115-Smon_0128,Streptobacillus moniliformis,34105,degradation,default,default,default,default,1,yes,4,15,"PL8,PL8,GH88",
PUL0010,28616644,"enzyme activity assay,liquid chromatography and mass spectrometry",NC_009328.1,1855422-1909199,xylan,GTNG_RS09195-GTNG_RS09405,GTNG_1756-GTNG_1801,Geobacillus thermodenitrificans,33940,degradation,default,default,default,default,1,yes,9,42,"GH43|GH43_11,GH10,GH39,GH67,GH10|CBM22,GH52,CE4,GH51",
PUL0011,8936327,enzyme activity assay,NC_011898.1,843032-851723,cellulose,CCEL_RS03700-CCEL_RS03715,Ccel_0729-Ccel_0732,Ruminiclostridium cellulolyticum,1521,degradation,default,default,default,default,0,yes,4,4,"GH48,GH8,CBM3|GH9,CBM4|GH9",
PUL0012,28683122,enzyme activity assay,NC_002505.1,642814-661623,chitin,VC_RS03095-VC_RS03145,VC0611-VC0622,Vibrio cholerae,666,degradation,default,default,default,default,1,yes,2,11,"GH94,GH20,GH9",
PUL0013,21460081,"Northern Blot,RT-PCR,isothermal titration calorimetry,electrophoretic mobility shift assay",DQ868502.2,1561-77747,arabinan,ACE73663.1-ABI49957.1,,Geobacillus stearothermophilus,1422,degradation,default,default,default,default,1,yes,11,56,"GH43_5|GH43,GH43|GH43_4,GH51,GH51,GH127,CE4,GH52,GH10,GH67,GH39,GH43_11",
PUL0014,28900693,"sequence homology analysis,growth assay",NZ_CP020030.1,2035523-2046640,pectin,GTHT12_RS10165-GTHT12_RS10205,GTHT12_01416-GTHT12_01424,Geobacillus thermodenitrificans,33940,degradation,default,default,default,default,1,yes,2,9,"PL1_6|PL1,GH105",
PUL0015,28970222,microarray,NC_009004.1,1209752-1217592,cellobiose,LLMG_RS06265-LLMG_RS06290,llmg_1239-llmg_1245,Lactococcus lactis,1358,degradation,default,default,default,default,1,yes,1,4,GH9,
PUL0016,28970222,microarray,NC_009004.1,428397-433134,cellobiose,LLMG_RS02225-LLMG_RS02245,llmg_0437-llmg_0441,Lactococcus lactis,1358,degradation,default,default,default,default,1,yes,1,5,GH1,
PUL0017,29093754,"qRT-PCR,Western Blot,isothermal titration calorimetry",NC_011898.1,2466252-2481041,cellobiose,CCEL_RS10665-CCEL_RS10705,Ccel_2108-Ccel_2116,Ruminiclostridium cellulolyticum,1521,degradation,default,default,default,default,1,yes,1,9,GH94,
PUL0018,22311922,"rapid plate method growth assay,gene deletion mutant and growth assay,RT-PCR,enzyme activity assay",NC_003098.1,285103-298853,glycosaminoglycan,SPR_RS01490_SPR_RS01555,spr0286-spr0297,Streptococcus pneumoniae,1313,degradation,default,default,default,default,1,yes,3,12,"CBM70|PL8_1|PL8,GH88,PL12_1",
PUL0019,8990303,"enzyme activity assay,Northern Blot",Z49992,186-6736,"lichenan,cellobiose,beta-glucoside",licRBCAH,,Bacillus subtilis,1423,degradation,default,default,default,default,1,yes,1,6,GH4,
PUL0020,30006634,"rapid plate method growth assay,adhesion assay",NC_013199.1,2717307-2734087,glycosaminoglycan,LC705_RS12690-LC705_RS12765,LC705_02681-LC705_02696,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,1,yes,3,16,"PL12_1|PL12,GH88,PL8",
PUL0021,30006634,"rapid plate method growth assay,adhesion assay",NC_008526.1,2647312-2663903,glycosaminoglycan,LSEI_2661-LSEI_2676,,Lactobacillus casei,1582,degradation,default,default,default,default,1,yes,2,16,"PL12|PL12_1,GH88",
PUL0022,30519284,"RT-PCR,gene deletion mutant and growth assay,enzyme activity assay",NC_016023.1,736768-743451,cellobiose,BCOA_RS20690-BCOA_RS20715,Bcoa_0688-Bcoa_0693,Bacillus coagulans,1398,degradation,default,default,default,default,1,yes,1,6,GH1,
PUL0023,30519284,"RT-PCR,gene deletion mutant and growth assay,enzyme activity assay",NC_016023.1,839150-844231,cellobiose,celRBAXC,Bcoa_0783-Bcoa_0787,Bacillus coagulans,1398,degradation,default,default,default,default,1,yes,1,5,GH1,
PUL0024,31915220,"enzyme activity assay,qPCR,substrate binding assay",HE717008.1,1-14712 ,kestose,CCG34774.1-CCG34784.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,1,12,GH32,
PUL0025,32093600,"sugar utilization assay,NMR,sequence homology analysis",KC526897.2,1-21226,capsule polysaccharide,QDM55371.1-AHB32294.2,,Acinetobacter baumannii,470,biosynthesis,default,0.0001,3,default,1,yes,4,18,"GT2,GT4,GT0,GT2",
PUL0026,31901520,"qPCR,Western Blot,RNA-Seq,enzyme activity assay",AE015928.1,3477149-3489799,ribose,BT2802-BT2809,,Bacteroides thetaiotaomicron,818,degradation,1E-75,1E-10,3,default,1,yes,1,8,GH0|GH35,
PUL0027,10352233,"Northern Blot,gene deletion mutant and growth assay",AF027499.1,1-5575 ,alginate,algGXLV,,Azotobacter vinelandii,354,biosynthesis,default,default,default,default,1,yes,1,5,PL5_1,
PUL0028,24204617,"microarray,qPCR,enzyme activity assay",NZ_AAYG02000020.1,134626-149292,mucin,RUMGNA_RS11830-RUMGNA_RS11895,RUMGNA_02690-RUMGNA_02703,[Ruminococcus] gnavus,33038,degradation,default,default,default,default,1,yes,3,14,"GH0|GH33|CBM40,GH1,GH140",
PUL0029,30564851,enzyme activity assay,NC_015067.1,2209677-2271573,arabinogalactan,BLLJ_RS09480-BLLJ_RS09595,,Bifidobacterium longum,216816,degradation,default,default,default,default,1,yes,8,24,"GH43_24|GH43,CBM13|GH30|GH30_5,GH146,GH43_22|GH43|GH43_34,GH43_22|GH43|GH43_26,GH43_27|GH43,GH43_22,GH43_22",
PUL0030,26978267+30351049,"isothermal calorimetric titration,gene deletion mutant and growth assay,enzyme activity assay",KU644713.1,1-16598,galactomannan,manDREHKCIJBGFA,,Bacillus sp. N16-5,122631,degradation,default,default,default,default,1,yes,7,12,"GH130,GH130,GH27,CE7",
PUL0031,16523284,RNA-Seq,NC_004307.2,126816-130943,sucrose,BLO107-cscB-cscA,,Bifidobacterium longum,216816,degradation,default,default,default,default,1,yes,1,3,GH32,
PUL0032,16523284,RNA-Seq,NC_004307.2,1500956-1505431,sucrose,scrP-BLO537-scrR,,Bifidobacterium longum,216816,degradation,default,default,default,default,1,yes,1,3,GH13|GH13_18,
PUL0033,12949193,"RT-PCR,yeast two hybrid assay,Southern Blot",AY230005,53-6090,trehalose,AAP55640.1-AAP55641.1-AAP55642.1-treR-treP-treA,,Spiroplasma citri,2133,degradation,default,default,default,default,1,yes,1,6,GH13_29|GH13,
PUL0034,12730169,enzyme activity assay,CP001655.1,2245522-2247504,pectin,Dd1591_1964-Dd1591_1965,,Dickeya chrysanthemi,556,degradation,1E-25,0.0001,default,default,1,yes,1,2,GH43_18|CE10,
PUL0035,11555291,"enzyme activity assay,Assay of oligogalacturonide uptake in E. coli",CP001655.1,2247754-2253663,pectin,Dd1591_1966-Dd1591_1970,,Dickeya chrysanthemi,556,degradation,default,default,default,default,1,yes,1,5,PL2_2,
PUL0036,11429470,"Southern Blot,transposon mutagenesis",AJ243431 ,1-26953,emulsan,wzc-wzb-wza-ORFA-ORFB-ORFC-wzx-wzy-ORFD-ORFE-ORFF-ORFG-ORFH-ORFI-ORFJ-ORFK-gaIU-ugd-pgI-gaIE-pgm,,Acinetobacter venetianus,52133,biosynthesis,default,default,default,default,1,yes,3,22,"PL12|PL0,GT4",
PUL0037,31591266,enzyme activity assay,AE005672.3,1798266-1808537,raffinose,rafSR-aga-rafEFG-gtfA-rafX,,Streptococcus pneumoniae,1313,degradation,default,default,default,default,1,yes,2,7,GH13|GH13_18,
PUL0038,10741834,"enzyme activity assay,Southern Blot",AF135398.1,1-10050,"melibiose,galactose",bdtEFG-bgaT-agaT-galT-glpK-glpD,,Thermus brockianus,56956,degradation,default,default,default,default,1,yes,2,8,"GH42,GH36",
PUL0039,10741834,"enzyme activity assay,Southern Blot",AF135399.1,770-5022,"melibiose,galactose",aidB-agaT-galT,,Thermus thermophilus,274,degradation,default,default,default,default,0,yes,1,3,GH36,
PUL0040,12896991+1398087+11844767 ,"Northern Blot,enzyme activity assay",AF316823,1-11489 ,cellulose,cipC-cel48F-cel8C-cel9G-cel9E-orfX-cel9H-cel9J-man5K-cel9M ,,Ruminiclostridium cellulolyticum,1521,degradation,default,default,default,default,0,yes,6,6,"GH9|CBM3,GH9|CBM3,GH5_17,GH9,PL11_1|PL11,GH5_1|GH5",
PUL0041,9023916,"Southern Blot,enzyme activity assay",U61727 ,1-3733,cellobiose,casRAB,,Klebsiella oxytoca,571,degradation,default,default,default,default,1,yes,1,3,GH1,
PUL0042,30054816,RT-PCR,CP001340.1,1311323-1319129,sucrose,SucABCD,,Caulobacter vibrioides,155892,degradation,default,default,default,default,1,yes,1,4,GH13_4,
PUL0043,29886169,"Smith degradation,sequence homology analysis",MH306195 ,5072-32981,capsule polysaccharide,wzc-wzb-wza-gna-mnaAB-wzx-gtr198-gtr199-wzy-fnlABC-gtr31-fnr1-itrB3-atr7-gdr-galU-ugd-gpi-gne1-pgm,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,3,23,GT4,
PUL0044,26112186+32266006,"qRT-PCR,enzyme activity assay",AAXF02000051.1,128613-194006,arabinoxylan,bacova_03417-bacova_03450,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,16,33,"GH43|GH43_10,GH3,GH43_12|GH43,GH31,GH97,CBM6|GH43|GH43_29,GH43_12|GH43,GH30_8,CBM35|GH98,GH115,CE6|CE1,CBM6|GH43|GH43_29,GH95,GH30,GH115",
PUL0045,26112186,qRT-PCR,DS264583.1,286501-307432,arabinoxylan,bacova_04385-bacova_04394,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,5,11,"GH67,GH43_1|GH43,GH10,CBM4|GH10",
PUL0046,29738687,"NMR,sequence homology analysis",AB812033.1,1-17964,O-antigen,"BAQ01244.1-BAQ01259.1
",,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,5,16,GT2,
PUL0047,31622726,"sugar utilization assay,NMR,sequence homology analysis",MN443422.1,1-32126,O-antigen,QFR35848.1-QFR35871.1,,Escherichia albertii,208962,biosynthesis,default,default,default,default,2,yes,8,25,"GT4,GT4",
PUL0048,29632089,RNA-Seq,NC_004350.2,1910627-1915135,trehalose,SMU_2037-SMU_2040,,Streptococcus mutans,1309,degradation,default,default,default,default,1,yes,1,3,GH13_29|GH13,
PUL0049,29601586,fosmid library screen,LT796702,173-31111,"beta-glucan,galactomannan",SJX74171.1-SJX74199.1,,feces metagenome,1861841,degradation,default,default,default,default,1,yes,6,29,"GH43_17,GH26,GH16",
PUL0050,29601586,fosmid library screen,LT796703 ,70-23956,"cellulose,galactomannan",SJX74200.1-SJX74219.1,,feces metagenome,1861841,degradation,default,default,default,default,1,yes,7,20,"GH5_4|GH5,GH26,GH130,GH3,GH94",
PUL0051,29795267,sequence homology analysis,CP002534.1,303130-314951,alginate,Celly_0292-Celly_0297,,Cellulophaga lytica,979,degradation,default,default,default,default,1,yes,2,6,"PL6_1|PL6,PL17_2|PL17",
PUL0052,29795267,sequence homology analysis,CP000449.1,288889-301419,alginate,Mmar10_0253-Mmar10_0261,,Maricaulis maris,74318,degradation,default,default,default,default,1,yes,2,10,"PL6|PL6_1,PL17|PL17_2",
PUL0053,29795267,sequence homology analysis,AM743169.1,2619918-2632750,alginate,Smlt2598-Smlt2605,,Stenotrophomonas maltophilia,40324,degradation,default,default,default,default,1,yes,2,8,"PL6_1|PL6,PL17|PL17_2",
PUL0054,29795267,sequence homology analysis,CP003873.1,1019219-1032616,alginate,AMBAS45_04385-AMBAS45_04425,,Alteromonas macleodii,28108,degradation,default,default,default,default,1,yes,2,9,"PL6|PL6_1,PL17_2|PL17",
PUL0055,29795267,sequence homology analysis,GL945092.1,21043-32944,alginate,HMPREF0127_01346-HMPREF0127_01352,,Bacteroides sp. 1_1_30,457387,degradation,default,default,default,default,1,yes,2,7,"PL17|PL17_2,PL6|PL6_1",
PUL0056,29795267,sequence homology analysis,NZ_DS995511.1,374866-385955,alginate,BACEGG_RS14715-BACEGG_RS14735,,Bacteroides eggerthii,28111,degradation,default,default,default,default,1,yes,3,5,"PL6_1|PL6,PL17|PL17_2",
PUL0057,29787897,"NMR,sequence homology analysis",AB811624,1-11989,O-antigen,rmlB-rmlD-rmlA-fdtC-wzx-wegP-rmlC-wzy-wegQ-wegR,,Escherichia coli,562,biosynthesis,1E-25,0.0001,default,default,0,yes,5,13,"GT4,GT4",
PUL0058,8145641,enzyme activity assay,Z25795.1,463-8375,glycogen,glgBCDAP,,Bacillus subtilis,1423,biosynthesis,default,default,default,default,0,yes,3,5,"GH13|CBM48|GH13_9,GT5,GT35",
PUL0059,29787897,"NMR,sequence homology analysis",GU299792,104-15235,O-antigen,rmlB-rmlD-rmlA-fdtC-fdtB-wzx-wegP-rmlC-wzy-wegQ-wegR,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,3,13,GT2,
PUL0060,31421354,"NMR,sequence homology analysis",MK399425.1,27-29927,capsule polysaccharide,wzc- wzb- wza- gna+ wzx+ gtr75+ gtr76+ wzy+ gtr25+ gtr5+ itrA2+ gaIU+ ugd+ gpi+ gen1+ pgt1+ pgm- ,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,4,24,"GT2,GT2,GT4,GT2",
PUL0061,31421354,"NMR,sequence homology analysis",KF030679.2,1-38970,capsule polysaccharide,wzc- wzb- wza- gna+ wzx+ gtr32+ wzy+ gtr33+ gtr25+ gtr5+ itrA2+ gaIU+ ugd+ gpi+ gen1+ pgt1+ pgm- ,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,4,35,"GT2,GT2,GT4,GT2,GT4,CE4",
PUL0062,31421354,"NMR,sequence homology analysis",NZ_KB849308.1,571525-595000,capsule polysaccharide,wzc- wzb- wza- gna+ wzx+ gtr75+ gtr76+ wzy+ gtr77+ gtr9+ itrA2+ gaIU+ ugd+ gpi+ gen1+ pgt1+ pgm- ,,Acinetobacter baumannii,470,biosynthesis,default,default,default,default,1,yes,4,19,"GT2,GT2,GT4,GT2",
PUL0063,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzymatic product analysis,affinity gel electrophoresis,isothermal titration calorimetry",DS264579.1,32561-60327,xyloglucan,BACOVA_02644-BACOVA_02659,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,8,16,"GH3,GH2,GH31,GH9,GH5_4,GH43|GH43_12,GH43_12,GH3",
PUL0064,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzymatic product analysis,affinity gel electrophoresis,isothermal titration calorimetry",EQ973490.1,1996377-2022549,xyloglucan,BACCELL_02625-BACCELL_02636,,Bacteroides cellulosilyticus,246787,degradation,default,default,default,default,1,yes,4,12,"GH5|GH5_4,GH31,GH2,GH3",
PUL0065,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzymatic product analysis,affinity gel electrophoresis,isothermal titration calorimetry",DS362223.1,43453-71885,xyloglucan,BACUNI_00315-BACUNI_00326,,Bacteroides uniformis,820,degradation,default,default,default,default,1,yes,6,13,"GH43_12|GH43,GH5_4|GH5,GH31,GH2,GH3,GH95",
PUL0066,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzymatic product analysis,affinity gel electrophoresis,isothermal titration calorimetry",GL882630.1,4456-29812,xyloglucan,HMPREF9446_01788-HMPREF9446_01800,,Bacteroides fluxus,626930,degradation,default,default,default,default,1,yes,6,13,"GH43_12|GH43,GH5|GH5_4,GH31,GH2,GH3,GH95",
PUL0067,31420336,"bicinchoninic acid (BCA) reducing-sugar assay,enzymatic product analysis,affinity gel electrophoresis,isothermal titration calorimetry",GL891979.1,376649-402405,xyloglucan,HMPREF9455_00294-HMPREF9455_00304,,Dysgonomonas gadei,156974,degradation,default,default,default,default,1,yes,6,11,"GH2,GH5_4|GH5,GH31,GH95,GH3,GH43_12",
PUL0068,8277949,"enzyme activity assay,electrophoretic mobility shift assay",AM886293.1,23902-29914,raffinose,rafRABD,,Escherichia coli,562,degradation,default,default,default,default,1,yes,2,4,"GH36,GH32",
