Annotate Name	Annotate Length	Target Name	Target Length	i-Evalue	Annotate From	Annotate To	Target From	Target To	Coverage	Annotate File Name	Type
3.D.1.6.3	126	WP_004347843.1	78	7.59e-16	48	119	2	73	92.3	TC	TC
2.A.38.1.3	482	WP_004351340.1	485	3.43e-110	2	482	3	484	99.4	TC	TC
Aminotran_1_2	363	WP_004351360.1	395	4.831634933274665e-69	2	362	42	383	0.9944903581267218	STP	STP
8.A.24.1.8	879	WP_004351380.1	225	6.26e-10	681	849	41	211	76.0	TC	TC
M20.UPC	482	WP_004351451.1	483	0.0	1	482	1	482	99.8	PEPTIDASE	Peptidase
1.B.44.1.2	247	WP_004351465.1	248	7.86e-121	8	247	6	248	98.0	TC	TC
3.A.23.6.1	314	WP_004351468.1	315	1.14e-92	1	310	1	307	97.5	TC	TC
1.E.34.4.2	116	WP_004351474.1	117	8.53e-34	1	116	1	117	100.0	TC	TC
9.B.393.1.3	186	WP_004351576.1	217	6.58e-08	1	33	1	33	15.2	TC	TC
HTH_3	55	WP_004351694.1	301	1.692049774451992e-05	4	31	145	172	0.509090909090909	TF	TF
0042546	127	WP_004351708.1	112	4.904364738597222e-19	1	100	10	110	0.7874015748031497	TF	TF
9.B.10.1.1	397	WP_004351801.1	402	2.49e-97	1	374	3	399	98.8	TC	TC
3.A.7.14.2	334	WP_004351808.1	317	1.52e-18	47	193	32	169	43.5	TC	TC
2.A.7.2.1	141	WP_004351827.1	137	2.99e-37	5	140	2	137	99.3	TC	TC
2.A.130.1.1	491	WP_004351862.1	493	1.88e-188	15	472	20	472	91.9	TC	TC
9.B.28.5.3	670	WP_004351867.1	683	1.18e-165	10	667	25	680	96.0	TC	TC
2.A.130.1.1	516	WP_004351868.1	529	9.46e-137	1	515	1	528	99.8	TC	TC
Rhodanese	107	WP_004351908.1	128	7.383424787947729e-19	6	107	33	121	0.9532710280373832	STP	STP
2.A.47.1.12	527	WP_004352140.1	488	1.39e-44	33	518	21	481	94.5	TC	TC
cNMP_binding	88	WP_004352233.1	199	3.26312405592571e-14	3	85	38	121	0.9431818181818182	STP	STP
S41.UNA	335	WP_004352337.1	417	9.7e-243	1	335	55	389	80.3	PEPTIDASE	Peptidase
3.A.2.1.10	505	WP_004352341.1	527	2.44e-191	4	454	5	480	90.3	TC	TC
2.A.25.1.5	465	WP_004352369.1	474	1.29e-136	2	458	8	474	98.5	TC	TC
3.A.2.1.1	79	WP_004352373.1	79	2.7e-05	11	63	14	66	67.1	TC	TC
1.B.6.13.3	226	WP_004352415.1	225	3.12e-50	70	221	72	221	66.7	TC	TC
Pribosyltran	159	WP_004352435.1	190	3.2564282215553283e-09	22	127	43	156	0.6666666666666666	STP	STP
Sigma70_r2	71	WP_004352439.1	290	1.0166972874524672e-18	1	70	57	126	0.9859154929577464	STP	STP
Sigma70_r3	78	WP_004352439.1	290	1.1770322708432844e-14	3	70	138	205	0.8717948717948718	STP	STP
