Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
PUL0003|BSU_18150	UEG55424.1|GH30_8	100.0	422	0	0	1	422	1	422	0.0	867
PUL0003|BSU_18160	UKS40674.1|CBM6|GH43_16	100.0	513	0	0	1	513	1	513	0.0	1030
PUL0010|GTNG_RS09205	ARP42883.1|CBM91|GH43_11	100.0	535	0	0	1	535	1	535	0.0	1146
PUL0010|GTNG_RS09220	ACC86109.1|GH10|3.2.1.8	100.0	407	0	0	1	407	1	407	1.03e-305	830
PUL0010|GTNG_RS09260	ABO67133.1|GH39	100.0	506	0	0	1	506	1	506	0.0	1031
PUL0010|GTNG_RS09265	ABO67134.1|GH67	100.0	684	0	0	1	684	1	684	0.0	1415
PUL0010|GTNG_RS09285	QNU32827.1|GH10	100.0	331	0	0	1	331	1	331	1.17e-252	689
PUL0010|GTNG_RS09290	ABO67139.1|GH52	100.0	705	0	0	1	705	1	705	0.0	1460
PUL0010|GTNG_RS09295	ARP42902.1|CE4	100.0	208	0	0	1	208	1	208	1.11e-150	421
PUL0010|GTNG_RS09355	ABO67151.1|GH51_1	100.0	502	0	0	1	502	1	502	0.0	1037
PUL0078|xynA	AAB42044.1|CBM22|GH10|3.2.1.8	100.0	684	0	0	1	684	1	684	0.0	1370
PUL0227|agu67A	AFM44650.1|GH67|3.2.1.131	100.0	690	0	0	1	690	1	690	0.0	1428
PUL0227|xyl3A	AFM44649.1|GH3|3.2.1.37	100.0	789	0	0	1	789	1	789	0.0	1562
PUL0262|BcellWH2_04301	ALJ61518.1|GH10	100.0	721	0	0	1	721	1	721	0.0	1469
PUL0262|BcellWH2_04302	ALJ61519.1|GH10	100.0	371	0	0	1	371	1	371	3.03e-282	768
PUL0262|BcellWH2_04303	ALJ61520.1|GH5_21	100.0	655	0	0	1	655	1	655	0.0	1342
PUL0262|BcellWH2_04305	ALJ61522.1|CE6|GH95	100.0	1074	0	0	1	1074	1	1074	0.0	2200
PUL0262|BcellWH2_04306	ALJ61523.1|GH8	100.0	417	0	0	1	417	1	417	0.0	883
PUL0263|BcellWH2_04323	UVP48920.1|CBM22|GH10	100.0	772	0	0	1	772	1	772	0.0	1586
PUL0289|Fjoh_3873	WQG81282.1|GH97	100.0	647	0	0	1	647	1	647	0.0	1323
PUL0289|Fjoh_3874	WQG81281.1|GH3	100.0	864	0	0	1	864	1	864	0.0	1746
PUL0289|Fjoh_3875	WQG81280.1|CBM91|GH43_10	100.0	518	0	0	1	518	1	518	0.0	1074
PUL0289|Fjoh_3876	ABQ06887.1|GH146	100.0	765	0	0	1	765	1	765	0.0	1541
PUL0289|Fjoh_3877	ABQ06888.1|GH115	100.0	841	0	0	1	841	1	841	0.0	1733
PUL0289|Fjoh_3878	ABQ06889.1|CE0|CE6|3.1.1.72	100.0	560	0	0	1	560	1	560	0.0	1143
PUL0289|Fjoh_3879	ARA93149.1|CE15	52.8	373	174	2	41	413	454	824	1.6e-128	395
PUL0289|Fjoh_3880	WQG81275.1|CBM91|GH43_12	100.0	571	0	0	1	571	1	571	0.0	1184
PUL0328|GRFL_0296	WKN13057.1|CBM0	42.5	687	334	14	43	718	43	679	1.8600000000000001e-183	548
PUL0328|GRFL_0297	BCA48091.1|CBM0	47.5	692	349	6	132	811	11	700	6.78e-227	659
PUL0328|GRFL_0299	APU67023.1|GH43_26	100.0	366	0	0	1	366	1	366	3.03e-284	772
PUL0328|GRFL_0300	APU67024.1|GH2	100.0	606	0	0	1	606	1	606	0.0	1275
PUL0328|GRFL_0301	APU67025.1|GH5_13	100.0	391	0	0	1	391	1	391	1.7600000000000002e-307	833
PUL0329|GRFL_0317	APU67041.1|CBM91|GH43_10	100.0	516	0	0	1	516	1	516	0.0	1055
PUL0329|GRFL_0318	APU67042.1|CBM91|GH43_12	100.0	581	0	0	1	581	1	581	0.0	1203
PUL0329|GRFL_0320	APU67044.1|CE20	100.0	648	0	0	1	648	1	648	0.0	1339
PUL0329|GRFL_0321	APU67045.1|GH43_1	100.0	391	0	0	1	391	1	391	1.47e-290	790
PUL0329|GRFL_0324	QGW29741.1|GT4	38.0	615	324	13	3	600	391	965	1.09e-113	367
PUL0329|GRFL_0332	APU67056.1|GH3	100.0	735	0	0	1	735	1	735	0.0	1469
PUL0329|GRFL_0333	APU67057.1|GH67	100.0	743	0	0	1	743	1	743	0.0	1525
PUL0329|GRFL_0335	ACU62277.1|GH35	52.5	381	181	0	1	381	3	383	2.0600000000000003e-129	399
PUL0329|GRFL_0336	APU67060.1|GH10	100.0	382	0	0	1	382	1	382	7.479999999999999e-284	773
PUL0329|GRFL_0337	APU67061.1|GH115	100.0	947	0	0	1	947	1	947	0.0	1907
PUL0329|GRFL_0338	APU67062.1|CE15	100.0	439	0	0	1	439	1	439	0.0	898
PUL0335|SIP56315.1	QCW79542.1|GH101	54.5	457	208	0	60	516	612	1068	2.28e-165	501
PUL0335|SIP56320.1	SIP56320.1|GH13_46	100.0	616	0	0	1	616	1	616	0.0	1283
PUL0335|SIP56331.1	QBJ19494.1|GH97	100.0	717	0	0	1	717	4	720	0.0	1486
PUL0335|SIP56335.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0335|SIP56336.1	SIP56336.1|GH3	100.0	750	0	0	1	750	1	750	0.0	1459
PUL0335|SIP56337.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0335|SIP56338.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0336|SIP56344.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0336|SIP56345.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0336|SIP56346.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0336|SIP56347.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0336|SIP56353.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0337|SIP56386.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0337|SIP56392.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0337|SIP56393.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0337|SIP56394.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0338|SIP56409.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0338|SIP56415.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0338|SIP56416.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0338|SIP56417.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0338|SIP56418.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0338|SIP56422.1	QBJ19494.1|GH97	100.0	717	0	0	1	717	4	720	0.0	1486
PUL0339|SIP56437.1	SIP56437.1|GH97	100.0	718	0	0	1	718	1	718	0.0	1488
PUL0339|SIP56439.1	CCO12112.1|GH13_31	70.4	419	123	1	3	420	4	422	1.83e-209	588
PUL0339|SIP56440.1	SIP56440.1|GH3	100.0	750	0	0	1	750	1	750	0.0	1466
PUL0339|SIP56442.1	SIP56442.1|GH16_3	100.0	496	0	0	1	496	1	496	0.0	1009
PUL0339|SIP56449.1	SIP56449.1|GH20	100.0	814	0	0	1	814	1	814	0.0	1669
PUL0342|PRU_RS13995	ACN78954.1|CBM48|CE0|GH10|3.2.1.8	100.0	726	0	0	1	726	1	726	0.0	1516
PUL0342|PRU_RS14000	ADE82580.1|GH95	100.0	821	0	0	1	821	1	821	0.0	1675
