HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GntR	64	PUL0010|GTNG_RS09245	232	9.919525278779708e-20	3	64	21	81	0.96875	STP
PfkB	302	PUL0010|GTNG_RS09255	317	2.1055087580279075e-70	3	301	2	300	0.9900662251655629	STP
SBP_bac_1	315	PUL0010|GTNG_RS09280	547	2.551784784929229e-18	16	305	67	371	0.9206349206349206	STP
SBP_bac_1	315	PUL0010|GTNG_RS09315	440	1.2111376405824745e-36	2	310	51	351	0.9809523809523809	STP
Response_reg	112	PUL0010|GTNG_RS09320	263	2.0139231626530362e-30	1	112	6	119	1.0	STP
HTH_18	81	PUL0010|GTNG_RS09320	263	4.3242215087611116e-26	1	81	176	255	1.0	STP
dCache_1	249	PUL0010|GTNG_RS09325	576	4.333212062505514e-09	3	248	42	260	0.9879518072289156	STP
HATPase_c	111	PUL0010|GTNG_RS09325	576	4.718115244539003e-12	9	109	462	571	0.9099099099099099	STP
SBP_bac_1	315	PUL0010|GTNG_RS09370	435	6.7323169783839374e-40	2	309	49	337	0.9777777777777777	STP
GntR	64	PUL0010|GTNG_RS09390	364	3.639638236984279e-20	2	64	9	71	0.984375	STP
Peripla_BP_3	164	PUL0010|GTNG_RS09390	364	9.975229639700186e-39	1	164	196	361	1.0	STP
MarR	59	PUL0078|xylR	399	1.452216540214364e-07	4	47	11	54	0.7457627118644068	STP
Response_reg	112	PUL0227|AFM44654.1	494	5.181198382783209e-28	1	111	8	120	0.9910714285714286	STP
HTH_18	81	PUL0227|AFM44654.1	494	1.048736273952171e-08	1	40	451	490	0.49382716049382713	STP
dCache_1	249	PUL0227|transketolase	402	1.3407360359875615e-08	107	248	5	138	0.570281124497992	STP
HATPase_c	111	PUL0227|transketolase	402	1.1050776968530717e-06	9	55	337	388	0.42342342342342343	STP
SBP_bac_1	315	PUL0227|xbp1	439	9.707784174064165e-41	10	309	62	350	0.9523809523809523	STP
Reg_prop	24	PUL0289|Fjoh_3872	1373	5.473336718465391e-05	2	23	81	102	0.9166666666666666	STP
Reg_prop	24	PUL0289|Fjoh_3872	1373	1.3523055306970096e-05	1	23	449	471	0.9583333333333334	STP
Y_Y_Y	66	PUL0289|Fjoh_3872	1373	2.2330295559078465e-19	1	65	728	791	0.9848484848484849	STP
HisKA	64	PUL0289|Fjoh_3872	1373	7.483970043422032e-13	2	61	847	911	0.9375	STP
HATPase_c	111	PUL0289|Fjoh_3872	1373	1.5031667970052967e-20	2	109	961	1084	0.972972972972973	STP
Response_reg	112	PUL0289|Fjoh_3872	1373	4.8604601927016e-24	1	109	1131	1239	0.9732142857142857	STP
HTH_18	81	PUL0289|Fjoh_3872	1373	2.013707184276617e-20	1	77	1296	1371	0.9506172839506173	STP
LacI	46	PUL0329|GRFL_0330	359	3.6278781083189593e-12	1	46	8	53	1.0	STP
Peripla_BP_3	164	PUL0329|GRFL_0330	359	8.029002624671971e-32	2	164	176	339	0.9939024390243902	STP
TPR_1	34	PUL0335|SIP56319.1	450	1.492542011927959e-07	2	34	83	115	0.9705882352941176	STP
AraC_binding	136	PUL0335|SIP56329.1	268	3.91866249628213e-05	28	78	29	78	0.375	STP
HTH_18	81	PUL0335|SIP56329.1	268	1.1463450250877322e-14	1	79	190	267	0.9753086419753086	STP
Fer4	24	PUL0335|SIP56330.1	313	5.785988140648806e-06	5	21	227	243	0.7083333333333334	STP
Y_Y_Y	66	PUL0336|SIP56351.1	983	5.443091267829793e-09	4	65	702	758	0.9393939393939394	STP
TPR_2	34	PUL0336|SIP56360.1	476	3.435885948753386e-05	7	34	25	52	0.8235294117647058	STP
Response_reg	112	PUL0336|SIP56365.1	566	2.172802506332448e-19	1	110	315	424	0.9821428571428571	STP
HTH_18	81	PUL0336|SIP56365.1	566	1.6750981519673977e-17	1	80	486	564	0.9876543209876543	STP
Response_reg	112	PUL0337|SIP56374.1	566	2.172802506332448e-19	1	110	315	424	0.9821428571428571	STP
HTH_18	81	PUL0337|SIP56374.1	566	1.6750981519673977e-17	1	80	486	564	0.9876543209876543	STP
TPR_2	34	PUL0337|SIP56379.1	476	3.435885948753386e-05	7	34	25	52	0.8235294117647058	STP
Y_Y_Y	66	PUL0337|SIP56388.1	983	5.443091267829793e-09	4	65	702	758	0.9393939393939394	STP
Response_reg	112	PUL0338|SIP56397.1	566	2.172802506332448e-19	1	110	315	424	0.9821428571428571	STP
HTH_18	81	PUL0338|SIP56397.1	566	1.6750981519673977e-17	1	80	486	564	0.9876543209876543	STP
TPR_2	34	PUL0338|SIP56402.1	476	3.435885948753386e-05	7	34	25	52	0.8235294117647058	STP
Y_Y_Y	66	PUL0338|SIP56411.1	983	5.443091267829793e-09	4	65	702	758	0.9393939393939394	STP
cNMP_binding	88	PUL0339|SIP56448.1	233	1.2037504605984165e-15	2	88	37	124	0.9886363636363636	STP
Pyr_redox_2	292	PUL0339|SIP56450.1	315	9.161006404891944e-47	2	292	7	298	0.9965753424657534	STP
SBP_bac_1	315	PUL0342|PRU_RS14010	468	3.413798575673941e-07	13	310	80	347	0.946031746031746	STP
Y_Y_Y	66	PUL0342|PRU_RS14015	1334	1.324609107998228e-05	2	64	700	758	0.9545454545454546	STP
