PUL_ID,Gene_Name,Locus_Tag,Protein_ID,Protein_Link,Gene_Position,GenBank_Contig,Contig_Link,EC_Number
PUL0001,manA,ROSINTL182_05469,EEV02612.1,,0 - 1569 (-),GG692714.1:156723-158292,,5.3.1.8
PUL0001,-,ROSINTL182_05470,EEV02613.1,,1606 - 2305 (-),GG692714.1:158329-159028,,-
PUL0001,-,ROSINTL182_05471,EEV02614.1,,2328 - 3447 (-),GG692714.1:159051-160170,,-
PUL0001,-,ROSINTL182_05472,EEV02615.1,,3485 - 3758 (-),GG692714.1:160208-160481,,-
PUL0001,-,ROSINTL182_05473,EEV02550.1,,3858 - 4637 (-),GG692714.1:160581-161360,,-
PUL0001,-,ROSINTL182_05474,EEV02551.1,,4730 - 5753 (-),GG692714.1:161453-162476,,-
PUL0001,-,ROSINTL182_05475,EEV02552.1,,5835 - 7029 (-),GG692714.1:162558-163752,,-
PUL0001,-,ROSINTL182_05476,EEV02553.1,,7057 - 8287 (-),GG692714.1:163780-165010,,5.1.3.8
PUL0001,-,ROSINTL182_05477,EEV02554.1,,8308 - 9184 (-),GG692714.1:165031-165907,,-
PUL0001,-,ROSINTL182_05478,EEV02555.1,,9188 - 10214 (-),GG692714.1:165911-166937,,-
PUL0001,-,ROSINTL182_05479,EEV02556.1,,10264 - 11734 (-),GG692714.1:166987-168457,,-
PUL0001,-,ROSINTL182_05480,EEV02557.1,,13098 - 14124 (-),GG692714.1:169821-170847,,-
PUL0001,-,ROSINTL182_05481,EEV02558.1,,14166 - 16356 (-),GG692714.1:170889-173079,,-
PUL0001,-,ROSINTL182_05482,EEV02559.1,,16372 - 18091 (-),GG692714.1:173095-174814,,-
PUL0001,-,ROSINTL182_05483,EEV02560.1,,18222 - 19158 (-),GG692714.1:174945-175881,,-
PUL0002,licT,-,BAA11696.1,,0 - 834 (+),D83026.1:10377-11211,,-
PUL0002,licS,-,BAA11697.1,,1129 - 1858 (+),D83026.1:11506-12235,,-
PUL0003,xynC,BSU_18150,NP_389697.1,,0 - 1269 (-),NC_000964.3:1942714-1943983,,3.2.1.136
PUL0003,xynD,BSU_18160,NP_389698.1,,1399 - 2941 (-),NC_000964.3:1944113-1945655,,3.2.1.55
PUL0004,bgl1391,-,AKN80695.1,,18 - 1923 (+),KM624528.1:19-1924,,-
PUL0004,bgl1392,-,AKN80694.1,,1919 - 3311 (+),KM624528.1:1920-3312,,-
