HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
Aminotran_1_2	363	WP_004351360.1	395	4.831634933274665e-69	2	362	42	383	0.9944903581267218	STP
HTH_3	55	WP_004351694.1	301	1.692049774451992e-05	4	31	145	172	0.509090909090909	STP
MerR	38	WP_004351708.1	112	1.4856670877626327e-07	1	38	11	48	1.0	STP
HD	122	WP_004351867.1	683	2.0775743960886895e-18	1	121	475	617	0.9918032786885246	STP
Rhodanese	107	WP_004351908.1	128	7.383424787947729e-19	6	107	33	121	0.9532710280373832	STP
cNMP_binding	88	WP_004352233.1	199	3.26312405592571e-14	3	85	38	121	0.9431818181818182	STP
Pribosyltran	159	WP_004352435.1	190	3.2564282215553283e-09	22	127	43	156	0.6666666666666666	STP
Sigma70_r2	71	WP_004352439.1	290	1.0166972874524672e-18	1	70	57	126	0.9859154929577465	STP
Sigma70_r3	78	WP_004352439.1	290	1.1770322708432844e-14	3	70	138	205	0.8717948717948718	STP
Sigma70_r4	50	WP_004352439.1	290	2.179051623692493e-12	4	50	229	278	0.94	STP
MarR	59	WP_004352762.1	157	5.825408129468381e-08	4	51	10	57	0.8135593220338984	STP
AsnC_trans_reg	75	WP_004352762.1	157	1.371671091910577e-21	2	74	74	146	0.9733333333333334	STP
AsnC_trans_reg	75	WP_004352771.1	169	3.8605558984333744e-17	8	73	77	141	0.88	STP
TrkA_C	70	WP_004352950.1	564	1.718632429899848e-09	6	69	222	285	0.9142857142857143	STP
TrkA_C	70	WP_004352950.1	564	9.68398984075127e-10	3	69	306	372	0.9571428571428572	STP
Response_reg	112	WP_004353013.1	235	2.324264953684737e-28	1	111	7	116	0.9910714285714286	STP
Trans_reg_C	77	WP_004353013.1	235	1.6779619575028096e-18	4	77	158	229	0.961038961038961	STP
HTH_18	81	WP_004353297.1	296	3.0309585372045937e-22	1	80	209	287	0.9876543209876543	STP
HMA	62	WP_004353402.1	187	1.3324036124194345e-06	1	62	3	61	1.0	STP
HTH_18	81	WP_004353402.1	187	2.207138352535871e-15	2	80	98	175	0.9753086419753086	STP
HD	122	WP_004353534.1	513	4.027174974305015e-18	2	120	330	420	0.9754098360655737	STP
LacI	46	WP_004353567.1	354	6.127161994374492e-17	2	46	7	51	0.9782608695652174	STP
Peripla_BP_1	279	WP_004353567.1	354	3.807738083139343e-09	5	205	67	281	0.7204301075268817	STP
FUR	120	WP_004353858.1	144	8.699529544911387e-10	3	99	14	113	0.8083333333333333	STP
Arg_repressor	70	WP_004353991.1	158	8.675287735868789e-20	3	68	4	69	0.9428571428571428	STP
PfkB	302	WP_004354038.1	293	6.632413662059159e-40	33	301	20	286	0.890728476821192	STP
Aminotran_1_2	363	WP_004354237.1	426	5.428623506213934e-08	50	356	71	382	0.8457300275482094	STP
HEM4	232	WP_004354380.1	250	6.837681195639556e-36	9	230	25	236	0.9568965517241379	STP
HD	122	WP_004354414.1	445	7.503118443406403e-10	1	74	62	145	0.6065573770491803	STP
CbiA	128	WP_004354576.1	220	2.3500373749564856e-14	1	99	6	171	0.7734375	STP
Fer4	24	WP_004354841.1	77	1.2224021232962077e-07	1	23	8	30	0.9583333333333334	STP
Fer4	24	WP_004354841.1	77	1.0259597331102234e-05	5	23	50	68	0.7916666666666666	STP
Pyr_redox_2	292	WP_007367745.1	660	5.531890007480197e-05	2	112	37	235	0.3801369863013699	STP
LacI	46	WP_007369033.1	341	6.992204340853802e-14	1	46	8	53	1.0	STP
Peripla_BP_3	164	WP_007369033.1	341	1.4190360517580152e-34	1	164	178	340	1.0	STP
GerE	57	WP_009012343.1	99	1.4580414022234958e-15	2	56	38	92	0.9649122807017544	STP
ATPase_2	233	WP_013670306.1	468	1.4029344174040895e-07	15	125	159	268	0.47639484978540775	STP
Pribosyltran	159	WP_013670782.1	176	3.9061171705957716e-15	3	126	27	153	0.779874213836478	STP
SIS	131	WP_013671215.1	323	6.051564285627328e-22	2	131	45	176	0.9923664122137404	STP
CBS	57	WP_013671215.1	323	1.5024070104657596e-05	2	55	206	259	0.9473684210526315	STP
CBS	57	WP_013671215.1	323	2.684449042444749e-06	1	46	271	316	0.8070175438596491	STP
Glucokinase	316	WP_013671351.1	333	9.753812972818913e-06	4	255	22	274	0.7974683544303798	STP
SIS	131	WP_013671358.1	615	1.3390963502945826e-32	2	130	296	423	0.9847328244274809	STP
SIS	131	WP_013671358.1	615	5.68592661841755e-29	5	129	471	596	0.9541984732824428	STP
CBS	57	WP_013671458.1	598	3.5073202952104536e-08	1	51	534	584	0.8947368421052632	STP
NUDIX	131	WP_013671462.1	199	5.432934308509425e-15	6	121	55	167	0.8854961832061069	STP
CbiA	128	WP_013671624.1	255	3.5150367100454622e-28	1	128	5	229	1.0	STP
AAA	132	WP_013671716.1	324	9.026083885323933e-07	1	130	49	182	0.9848484848484849	STP
NUDIX	131	WP_025067093.1	178	9.115144130364877e-20	4	118	41	154	0.8778625954198473	STP
SKI	158	WP_025067095.1	186	1.4912291416502646e-42	1	138	21	162	0.8734177215189873	STP
TPR_2	34	WP_025067364.1	224	9.044299933566084e-05	4	30	135	161	0.7941176470588235	STP
Sigma70_r2	71	WP_025067388.1	287	6.745673299737088e-19	3	70	56	123	0.9577464788732394	STP
Sigma70_r3	78	WP_025067388.1	287	3.6340810007404955e-16	3	73	135	205	0.9102564102564102	STP
Sigma70_r4	50	WP_025067388.1	287	2.1150848362768236e-17	1	50	222	274	1.0	STP
CYTH	179	WP_025067980.1	165	7.506810555990417e-12	3	152	5	129	0.8379888268156425	STP
GntR	64	WP_025068000.1	120	7.778446606990404e-12	2	64	10	72	0.984375	STP
HD	122	WP_025068255.1	168	1.7039319816754152e-05	1	93	22	114	0.7622950819672131	STP
