system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	genomic organization	product
1	CGC-Finder Model	PUL	12, 14, 17, 17, 17, 18, 18, 18, 19, 19, 20, 20, 21, 22, 26, 32, 33, 36, 6, 72, 77, 84, 9	KQP59_RS03415	persistent	STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP		BT_RS06245		NC_004663.1	1535646	1536230	+	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator, Crp/Fnr family transcriptional regulator
1	CGC-Finder Model	PUL	14, 16, 18, 18, 21, 23, 23, 29, 29, 31, 35, 38, 38, 39, 40, 41, 41, 42, 42, 53, 67, 68, 70	KQP59_RS03410	persistent	STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, TF, TF, TF, TF, TF, TF, TF, TF, TF, TF, TF, TF		BT_RS06250		NC_004663.1	1536248	1537150	-	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein
1	CGC-Finder Model	PUL	11, 15, 16, 17, 18, 19, 19, 20, 20, 21, 21, 21, 21, 22, 23, 26, 27, 28, 33, 38, 43, 73	KQP59_RS03400	persistent	STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP, STP		BT_RS06260		NC_004663.1	1538986	1540911	-	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase, HAMP domain-containing sensor histidine kinase
1	CGC-Finder Model	PUL	13, 17, 17, 19, 19, 20, 20, 21, 21, 22, 23, 23, 24, 24, 24, 24, 24, 28, 30, 32, 40, 41, 47	KQP59_RS03390	persistent	TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC		BT_RS06270		NC_004663.1	1543133	1544029	-	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein, type II CAAX endopeptidase family protein
1	CGC-Finder Model	PUL	1, 104, 18, 25, 25, 27, 28, 29, 31, 33, 36, 37, 37, 38, 39, 39, 40, 40, 41, 48, 50, 51, 68, 71, 72, 88, 97	KQP59_RS03380	persistent	TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC		BT_RS06280		NC_004663.1	1546314	1547933	-	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein, ATP-binding cassette domain-containing protein
1	CGC-Finder Model	PUL	17, 20, 22, 22, 23, 24, 25, 26, 26, 28, 29, 3, 30, 30, 30, 30, 30, 38, 39, 39, 4, 50, 54, 56, 80, 85, 95	KQP59_RS03375	persistent	TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC, TC		BT_RS06285		NC_004663.1	1548137	1548718	+	False	split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split, split	nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE, nucleotide exchange factor GrpE
1	CGC-Finder Model	PUL	10, 3, 56, 7, 8, 9, 9	KQP59_RS10910	persistent	TC, TC, TC, TC, TC, TC, TC		BT_RS07760		NC_004663.1	1894369	1895034	-	False	split, split, split, split, split, split, split	ABC transporter ATP-binding protein, ABC transporter ATP-binding protein, ABC transporter ATP-binding protein, ABC transporter ATP-binding protein, ABC transporter ATP-binding protein, ABC transporter ATP-binding protein, ABC transporter ATP-binding protein
1	CGC-Finder Model	PUL	12, 14, 16, 18, 4, 45, 5	KQP59_RS10920	persistent	STP, STP, STP, STP, STP, STP, STP		BT_RS07770		NC_004663.1	1896554	1897945	-	False	split, split, split, split, split, split, split	NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase, NAD(P)/FAD-dependent oxidoreductase
1	CGC-Finder Model	PUL	1, 4, 4, 49, 5, 5, 6	KQP59_RS10925	persistent	CAZyme, TC, TC, TC, TC, TC, TC		BT_RS07775		NC_004663.1	1898000	1898905	-	False	split, split, split, split, split, split, split	glucosaminidase domain-containing protein, glucosaminidase domain-containing protein, glucosaminidase domain-containing protein, glucosaminidase domain-containing protein, glucosaminidase domain-containing protein, glucosaminidase domain-containing protein, glucosaminidase domain-containing protein
1	CGC-Finder Model	PUL	10, 10, 11, 4, 8, 88, 9	KQP59_RS10935	persistent	STP, STP, STP, STP, TF, TF, TF		BT_RS07785		NC_004663.1	1899503	1900342	+	False	split, split, split, split, split, split, split	helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein, helix-turn-helix domain-containing protein
