Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GT2			-	314	WP_008759752.1	342	2.992388052591972e-139	2	291	4	295	0.9235668789808916	dbCAN-sub
GT4_e3714	GT4:41		-	125	WP_008759755.1	323	2.390271619629425e-59	1	124	142	266	0.992	dbCAN-sub
CE11_e18	CE11:339		-	269	WP_008759880.1	461	8.074841856712309e-124	1	268	5	297	0.9962825278810408	dbCAN-sub
GH109_e5	GH109:463		-	399	WP_008759920.1	467	2.3166446517005792e-199	1	398	54	457	0.9974937343358397	dbCAN-sub
GT4_e1861	GT4:6		-	158	WP_008759957.1	408	3.239750728786677e-76	2	158	216	373	0.9936708860759492	dbCAN-sub
GT4_e602	GT4:97		-	147	WP_008759975.1	424	2.497096724026137e-74	2	145	244	387	0.979591836734694	dbCAN-sub
GT5_e28	GT5:878		-	225	WP_008759978.1	278	3.789678781520189e-109	1	224	7	231	0.9955555555555556	dbCAN-sub
GT2			-	162	WP_008760322.1	316	3.522006664751458e-81	1	162	5	167	1.0	dbCAN-sub
PL12_e7	PL12_2:28	4.2.2.7:1|4.2.2.8:1	host glycan	132	WP_008760377.1	702	8.212240424344896e-58	1	132	430	567	1.0	dbCAN-sub
CE1_e22	CE1:6|CBM48:2|CE0:2		-	206	WP_008760470.1	272	4.7493137284113415e-22	14	202	54	259	0.9174757281553398	dbCAN-sub
GT2			-	167	WP_008760550.1	247	1.1796707693519383e-88	1	167	9	175	1.0	dbCAN-sub
GH109_e7	GH109:31		-	390	WP_008760615.1	328	1.2194523114169542e-17	18	181	24	185	0.4205128205128205	dbCAN-sub
CBM50_e27	CBM50:203|GH23:1		chitin;peptidoglycan	43	WP_008760846.1	290	1.713690327961109e-21	1	42	248	289	0.9767441860465116	dbCAN-sub
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host glycan	509	WP_008760881.1	761	3.8429635868794984e-276	1	509	235	742	1.0	dbCAN-sub
GH18_e216	GH18:14		-	186	WP_008760902.1	476	1.9534259139687517e-75	4	185	198	376	0.978494623655914	dbCAN-sub
GH105_e41	GH105:313|CE8:1	3.2.1.-:1	ulvan	343	WP_008760990.1	399	2.588643309683785e-152	4	342	57	395	0.9883381924198252	dbCAN-sub
GH18_e203	GH18:19	3.2.1.96:1	host glycan	184	WP_008761680.1	364	5.499638956877092e-115	1	184	165	348	1.0	dbCAN-sub
GH2_e14	GH2:396|GH43:2|GH43_26:1|CBM35:1|GH43_10:1		-	567	WP_008762477.1	604	7.640063678449141e-257	3	559	44	600	0.982363315696649	dbCAN-sub
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host glycan	509	WP_008762490.1	763	1.4270040014688868e-282	1	509	234	741	1.0	dbCAN-sub
GT2			-	132	WP_008762569.1	814	1.56230202527068e-71	1	132	251	381	1.0	dbCAN-sub
GH18_e54	GH18:11		-	185	WP_008762690.1	367	3.68800637642155e-84	4	178	110	316	0.945945945945946	dbCAN-sub
GH130_e20	GH130:130	3.2.1.197:4	beta-mannan	311	WP_008762717.1	383	2.639170586246509e-169	3	311	65	372	0.9935691318327974	dbCAN-sub
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host glycan	509	WP_008762721.1	760	1.3248397562269776e-258	2	509	239	743	0.9980353634577604	dbCAN-sub
GH18_e37	GH18:97		-	235	WP_008763540.1	375	4.189391863490941e-95	1	235	60	334	1.0	dbCAN-sub
CBM91_e19	CBM91:6		xylan	90	WP_008763965.1	221	4.571555099858154e-19	1	88	79	166	0.9777777777777776	dbCAN-sub
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	host glycan	301	WP_008763973.1	484	8.112374032158563e-118	2	297	34	338	0.9833887043189368	dbCAN-sub
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1		host glycan	109	WP_008763973.1	484	6.308956771030717e-18	4	107	363	463	0.9541284403669724	dbCAN-sub
PL10_e13	PL10_1:106|CE0:22|CE8:20|PL10:4|CE12:1	4.2.2.2:1	pectin	290	WP_008764019.1	364	9.34775316194755e-137	2	290	63	350	0.996551724137931	dbCAN-sub
GH29_e74	GH29:65|CBM32:3		-	298	WP_008764196.1	463	1.359191116463575e-169	2	297	24	319	0.9932885906040269	dbCAN-sub
CBM32_e191	CBM32:5|GH29:5		host glycan	102	WP_008764196.1	463	1.182801249280099e-25	3	101	346	447	0.9705882352941176	dbCAN-sub
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan	494	WP_008764202.1	779	2.182792325861973e-211	2	494	267	760	0.9979757085020244	dbCAN-sub
GH23_e209	CBM50:31|GH23:31		-	140	WP_008764235.1	431	2.3103098352782103e-69	1	140	129	268	1.0	dbCAN-sub
CBM50_e207	CBM50:163|GH23:159		chitin;peptidoglycan	42	WP_008764235.1	431	3.4687231854415e-19	1	42	389	430	1.0	dbCAN-sub
GT19_e2	GT19:889		-	349	WP_008764238.1	378	2.0247455141769784e-153	1	349	5	360	1.0	dbCAN-sub
GH38_e23	GH38:58		-	166	WP_008764306.1	849	1.316060453661092e-88	1	166	46	207	1.0	dbCAN-sub
GH92_e20	GH92:91	3.2.1.-:1	host glycan	482	WP_008764307.1	782	3.497706974219033e-266	1	482	291	773	1.0	dbCAN-sub
GH2_e98	GH2:93|CBM32:77		-	676	WP_008764308.1	1027	0.0	1	675	39	754	0.9985207100591716	dbCAN-sub
CBM32_e133	CBM32:79|GH2:75|GH20:1		host glycan	112	WP_008764308.1	1027	9.43199180266141e-45	2	112	768	878	0.9910714285714286	dbCAN-sub
CE1_e22	CE1:6|CBM48:2|CE0:2		-	206	WP_008764311.1	288	3.4549941116938954e-40	3	202	43	274	0.970873786407767	dbCAN-sub
CE20_e20	CE20:241		-	236	WP_008764318.1	662	3.762806794189573e-104	1	235	103	545	0.9957627118644068	dbCAN-sub
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host glycan	509	WP_008764319.1	757	4.947281087253442e-243	2	509	236	740	0.9980353634577604	dbCAN-sub
GH92_e26	GH92:39	3.2.1.-:1	host glycan	475	WP_008764320.1	717	1.1395790566056268e-279	1	475	230	704	1.0	dbCAN-sub
PL9_e24	PL9_1:24|PL9:3	4.2.2.23:2	pectin	407	WP_008764387.1	535	1.8361197854364008e-208	1	407	24	441	1.0	dbCAN-sub
PL26_e0	PL26:692	4.2.2.24:1	pectin	860	WP_008764390.1	1098	0.0	1	857	240	1095	0.9965116279069768	dbCAN-sub
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin	607	WP_008764392.1	613	1.16289108880367e-271	3	573	30	600	0.940691927512356	dbCAN-sub
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	WP_008764442.1	1124	0.0	19	883	51	962	0.9796149490373726	dbCAN-sub
CBM32_e18	CBM32:14		host glycan	112	WP_008764444.1	857	1.835891051789749e-56	1	112	143	256	1.0	dbCAN-sub
GH110_e19	GH110:23	3.2.1.-:2	host glycan	555	WP_008764450.1	615	7.150582199165338e-288	2	555	30	583	0.9981981981981982	dbCAN-sub
GH109_e5	GH109:463		-	399	WP_008764451.1	419	6.287874587812531e-187	1	398	18	416	0.9974937343358397	dbCAN-sub
GT4_e2666	GT4:7		-	140	WP_008764473.1	577	4.037357694400783e-54	1	137	191	330	0.9785714285714284	dbCAN-sub
GH57_e10	GH57:204		-	319	WP_008764493.1	460	3.3583210477485896e-169	1	319	7	325	1.0	dbCAN-sub
GH89_e7	GH89:90		-	658	WP_008764525.1	736	0.0	2	657	67	729	0.9969604863221884	dbCAN-sub
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan	689	WP_008764740.1	719	0.0	5	688	22	704	0.9927431059506532	dbCAN-sub
