Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results
PUL0003|NP_389697.1	3.2.1.8:16|3.2.1.136:8	GH30_8(33-419)	GH30_e78(36-378)	GH30_8	3	GH30_8
PUL0003|NP_389698.1	3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1|3.2.1.55:13|3.2.1.8:3|3.2.1.-:2|3.2.1.37:1	GH43_16(39-362)+CBM6(383-512)	GH43_e261(40-363)+CBM6_e6(384-512)	CBM6+GH43_16	3	GH43_16|CBM6_e6
PUL0010|WP_008880061.1	-	CE4(10-133)	CE4_e323(12-134)	CE4	3	CE4_e323
PUL0010|WP_008880070.1	3.2.1.37:10	GH39(13-438)	GH39_e74(14-437)	GH39	3	GH39_e74
PUL0010|WP_008880078.1	3.2.1.8:28	GH10(48-405)	GH10_e98(50-405)	GH10+3.2.1.8	3	GH10_e98
PUL0010|WP_008880081.1	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(4-302)+CBM91(329-534)	GH43_e285(5-303)+CBM91_e24(331-534)	CBM91+GH43_11	3	GH43_11|CBM91_e24
PUL0010|WP_011887512.1	3.2.1.139:12|3.2.1.131:10	GH67(8-680)	GH67_e1(8-681)	GH67	3	GH67_e1
PUL0010|WP_011887517.1	3.2.1.37:8	GH52(20-439)	GH52_e0(21-440)	GH52	3	GH52_e0
PUL0010|WP_011887520.1	-	GH179(26-324)	-	-	1	-
PUL0010|WP_011887521.1	3.2.1.55:37	GH51_1(9-499)	GH51_e0(6-500)	GH51_1	3	GH51_1
PUL0010|WP_081157505.1	3.2.1.8:22	GH10(7-329)	GH10_e135(10-330)	GH10	3	GH10_e135
PUL0078|AAB42044.1	3.2.1.8:20|3.2.1.37:1|3.2.1.8:20|3.2.1.37:1|3.2.1.8:29|3.2.1.4:5|3.2.1.55:1|3.2.1.37:1|3.2.1.-:1	CBM22(196-325)+GH10(356-677)	CBM22_e1(46-173)+CBM22_e1(197-325)+GH10_e141(358-677)	AAB42044.1+CBM22+GH10+3.2.1.8	3	CBM22_e1|CBM22_e1|GH10_e141
PUL0140|AYN23377.1	3.2.1.55:1	GH43_12(11-366)	GH43_e260(12-366)	GH43_12	3	GH43_12
PUL0140|AYN23382.1	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(3-304)+CBM91(332-539)	GH43_e285(4-304)+CBM91_e24(334-538)	CBM91+GH43_11	3	GH43_11|CBM91_e24
PUL0140|AYN23383.1	-	CE20(116-234)+CE20(412-535)	CE20_e33(118-537)	CE20	3	CE20_e33
