Annotate Name	Annotate Length	Target Name	Target Length	i-Evalue	Annotate From	Annotate To	Target From	Target To	Coverage	Annotate File Name	Type
Fer4	24	WP_002559159.1	56	7.743703124191391e-09	2	24	3	25	0.9583333333333334	STP	STP
Fer4	24	WP_002559159.1	56	1.6634835232653419e-09	2	23	31	52	0.9166666666666666	STP	STP
Glyoxalase	128	WP_002561104.1	134	2.6790847304474193e-13	2	119	6	119	0.921875	STP	STP
Sigma70_r2	71	WP_002561589.1	286	1.2319110445895726e-18	2	70	55	123	0.971830985915493	STP	STP
Sigma70_r3	78	WP_002561589.1	286	7.858298621417622e-18	3	73	135	205	0.9102564102564102	STP	STP
Sigma70_r4	50	WP_002561589.1	286	1.3853441974048628e-19	1	50	222	274	1.0	STP	STP
3.A.1.13.2	435	WP_004289233.1	379	2.2799999999999999e-69	107	433	55	378	85.5	TC	TC
3.A.1.13.2	358	WP_004289235.1	252	1.36e-61	9	262	5	252	98.4	TC	TC
3.D.1.6.3	126	WP_004291965.1	78	6.69e-17	48	122	2	76	96.2	TC	TC
HTH_18	81	WP_004295301.1	306	2.101127954841564e-19	2	80	221	298	0.9753086419753086	STP	STP
3.A.2.1.6	77	WP_004295758.1	85	1.84e-12	11	68	21	78	68.2	TC	TC
S14.001	206	WP_004297164.1	220	8.12e-144	1	206	15	220	93.6	PEPTIDASE	Peptidase
1.C.82.1.1	234	WP_004310894.1	232	2.76e-73	15	233	14	232	94.4	TC	TC
3.A.1.13.2	362	WP_004311292.1	326	1.17e-82	29	355	12	321	95.1	TC	TC
MerR	38	WP_004323231.1	97	7.828412228695049e-07	4	38	47	81	0.9210526315789472	TF	TF
Sigma70_r2	71	WP_005641942.1	151	8.756533186977911e-15	5	68	13	74	0.9014084507042254	STP	STP
8.A.46.1.1	551	WP_005641955.1	538	1.84e-25	63	551	52	538	90.5	TC	TC
HTH_7	45	WP_005648594.1	212	5.699123136189988e-06	8	44	172	208	0.8222222222222222	STP	STP
CbiA	128	WP_005648604.1	252	5.921264823979942e-26	1	127	7	226	0.9921875	STP	STP
2.A.95.1.4	216	WP_005650034.1	215	9.84e-41	10	211	6	201	91.2	TC	TC
3.A.2.2.2	156	WP_005675599.1	153	1.88e-17	26	152	19	148	85.0	TC	TC
Trans_reg_C	77	WP_005678712.1	233	2.050759187437056e-18	1	77	152	226	1.0	TF	TF
Response_reg	112	WP_005678712.1	233	2.974328629668147e-26	1	111	7	116	0.9910714285714286	STP	STP
Trans_reg_C	77	WP_005678712.1	233	2.050759187437056e-18	1	77	152	226	1.0	STP	STP
M75.UPW	229	WP_005680409.1	372	1.57e-153	1	229	47	372	87.6	PEPTIDASE	Peptidase
9.B.14.3.8	936	WP_005680415.1	686	1.33e-56	420	899	265	686	61.5	TC	TC
C10.UPW	229	WP_005681485.1	426	1.79e-175	1	229	185	413	53.8	PEPTIDASE	Peptidase
8.A.46.1.3	603	WP_005681494.1	572	1.02e-06	96	416	89	437	61.0	TC	TC
FecR	96	WP_005681496.1	322	1.188714240956728e-18	2	96	112	207	0.9895833333333334	STP	STP
Sigma70_r2	71	WP_005681497.1	189	4.097182107872208e-08	2	69	16	80	0.9577464788732394	STP	STP
Sigma70_r4_2	54	WP_005681497.1	189	1.3607636281874884e-14	3	54	120	171	0.9629629629629628	STP	STP
HTH_7	45	WP_005818830.1	217	2.488093636527328e-06	3	42	157	194	0.8888888888888888	STP	STP
0043707	64	WP_005842174.1	69	7.78012090328545e-09	3	61	3	62	0.921875	TF	TF
0040266	151	WP_005928359.1	154	1.8735180610026406e-10	24	123	4	103	0.6622516556291391	TF	TF
AsnC_trans_reg	75	WP_005928359.1	154	1.3381682781297246e-19	1	75	70	142	1.0	STP	STP
0044030	41	WP_005931903.1	126	7.067500292391407e-07	1	30	93	122	0.7317073170731707	TF	TF
HTH_18	81	WP_007487760.1	291	8.096432334133687e-12	3	80	199	275	0.9629629629629628	STP	STP
3.D.1.8.2	101	WP_007764713.1	102	3.34e-19	3	101	4	102	97.1	TC	TC
1.B.14.6.13	940	WP_008759576.1	984	3.9999999999999996e-110	22	940	12	984	98.9	TC	TC
8.A.88.2.7	505	WP_008759608.1	104	1.38e-14	28	110	3	82	76.9	TC	TC
NTP_transf_2	95	WP_008759700.1	97	6.383438582037873e-14	1	89	11	91	0.936842105263158	STP	STP
3.A.1.15.2	278	WP_008759703.1	269	2.7900000000000002e-33	12	262	6	257	93.7	TC	TC
2.A.124.1.2	306	WP_008759728.1	202	3.7e-99	108	306	1	200	99.0	TC	TC
HisKA	64	WP_008759736.1	515	2.951083541080914e-12	1	62	285	351	0.96875	STP	STP
HATPase_c	111	WP_008759736.1	515	8.0696908824975475e-25	2	109	400	511	0.972972972972973	STP	STP
0040586	141	WP_008759738.1	148	1.2561444129892847e-26	15	137	20	142	0.8723404255319149	TF	TF
AAA	132	WP_008759760.1	470	6.875304022351082e-07	2	123	170	282	0.9242424242424242	STP	STP
9.B.111.1.5	909	WP_008759776.1	576	6.56e-112	36	453	55	503	78.0	TC	TC
3.A.1.13.2	362	WP_008759785.1	338	1.26e-76	38	357	24	335	92.3	TC	TC
B12-binding	121	WP_008759796.1	715	8.080779696246042e-15	2	116	588	700	0.950413223140496	STP	STP
Pencillinase_R	115	WP_008759873.1	121	1.1054065869198239e-26	1	115	4	117	1.0	TF	TF
HD	122	WP_008759882.1	409	3.8883626377371865e-08	1	73	55	130	0.5983606557377049	STP	STP
0041905	120	WP_008759897.1	357	2.6091108878562984e-08	2	62	293	349	0.5083333333333333	TF	TF
9.B.171.1.2	180	WP_008759911.1	189	5.77e-44	1	178	1	188	99.5	TC	TC
3.A.23.6.1	331	WP_008759940.1	336	1.94e-87	4	329	2	331	98.2	TC	TC
1.A.22.1.1	136	WP_008759941.1	148	1.78e-40	2	131	5	146	95.9	TC	TC
C39.001	147	WP_008759963.1	741	4.47e-102	1	147	1	147	19.8	PEPTIDASE	Peptidase
0038753	71	WP_008759971.1	220	1.6578867392887487e-08	2	70	152	215	0.971830985915493	TF	TF
cNMP_binding	88	WP_008759971.1	220	6.784567747896506e-09	3	80	35	114	0.8863636363636364	STP	STP
S54.029	214	WP_008759973.1	221	1.74e-147	1	214	8	221	96.8	PEPTIDASE	Peptidase
G04.UNW	268	WP_008759986.1	294	3.75e-192	1	268	21	288	91.2	PEPTIDASE	Peptidase
C40.004	119	WP_008759987.1	170	9.84e-83	1	119	52	170	70.0	PEPTIDASE	Peptidase
3.A.1.147.2	243	WP_008759988.1	234	1.39e-36	2	235	1	230	98.3	TC	TC
2.A.1.10.2	418	WP_008760003.1	416	1.2200000000000002e-163	1	409	1	412	99.0	TC	TC
Sigma70_r2	71	WP_008760019.1	183	4.0847532279054244e-16	2	69	27	92	0.9577464788732394	STP	STP
Sigma70_r4_2	54	WP_008760019.1	183	2.142905062313815e-15	2	54	123	175	0.9814814814814816	STP	STP
1.A.112.2.7	413	WP_008760040.1	418	1.02e-35	6	400	14	414	95.9	TC	TC
3.A.23.1.1	530	WP_008760045.1	413	1.0899999999999999e-54	193	418	15	240	54.7	TC	TC
HTH_8	42	WP_008760045.1	413	8.069269020088771e-16	1	42	369	410	1.0	TF	TF
Pribosyltran	159	WP_008760055.1	178	1.7313767465066097e-25	9	158	18	163	0.9433962264150944	STP	STP
M23.UPB	102	WP_008760060.1	212	1.06e-70	1	102	70	171	48.1	PEPTIDASE	Peptidase
GerE	57	WP_008760068.1	183	5.1120576703592025e-05	16	38	140	162	0.4035087719298245	TF	TF
Sigma70_r2	71	WP_008760068.1	183	4.336758246024479e-09	5	68	19	81	0.9014084507042254	STP	STP
Sigma70_r4_2	54	WP_008760068.1	183	4.883847021511958e-17	4	52	119	167	0.9074074074074074	STP	STP
HD	122	WP_008760083.1	511	1.323118376938928e-17	2	120	328	418	0.9754098360655736	STP	STP
2.A.7.34.3	122	WP_008760318.1	123	2.83e-65	1	122	1	123	100.0	TC	TC
4.D.1.1.13	322	WP_008760322.1	316	1.4499999999999998e-42	9	297	2	302	95.3	TC	TC
HTH_1	60	WP_008760345.1	298	1.5984976277935077e-18	3	60	5	62	0.9666666666666668	TF	TF
LysR_substrate	209	WP_008760345.1	298	4.513976119568057e-32	5	204	90	291	0.9569377990430622	STP	STP
Sigma70_r2	71	WP_008760363.1	178	3.039742721872681e-18	1	69	22	88	0.971830985915493	STP	STP
Sigma70_r4_2	54	WP_008760363.1	178	3.9545084940576573e-13	3	53	120	170	0.9444444444444444	STP	STP
2.A.49.6.1	899	WP_008760366.1	524	7.8199999999999985e-28	69	463	68	466	76.1	TC	TC
TrkA_C	70	WP_008760366.1	524	4.216622610392677e-12	4	67	454	515	0.9142857142857144	STP	STP
1.B.14.6.1	1038	WP_008760375.1	1047	1.94e-133	25	1038	15	1047	98.7	TC	TC
3.E.1.5.3	2205	WP_008760378.1	1353	3.82e-09	1029	1120	1133	1222	6.7	TC	TC
HTH_AraC	42	WP_008760378.1	1353	2.202397246885024e-07	6	42	1312	1349	0.8809523809523809	TF	TF
Reg_prop	24	WP_008760378.1	1353	3.9219867492692126e-05	2	24	260	282	0.9583333333333334	STP	STP
Reg_prop	24	WP_008760378.1	1353	2.561040820622517e-06	1	24	353	376	1.0	STP	STP
Reg_prop	24	WP_008760378.1	1353	3.0267512537601712e-05	1	23	582	604	0.9583333333333334	STP	STP
Y_Y_Y	66	WP_008760378.1	1353	2.062723014172261e-20	1	65	717	780	0.9848484848484848	STP	STP
HisKA	64	WP_008760378.1	1353	3.227623832529353e-12	2	62	836	898	0.953125	STP	STP
HATPase_c	111	WP_008760378.1	1353	5.42662907549785e-26	3	110	948	1053	0.972972972972973	STP	STP
Response_reg	112	WP_008760378.1	1353	2.322138315881437e-26	1	111	1105	1215	0.9910714285714286	STP	STP
HTH_18	81	WP_008760378.1	1353	1.9600221828570565e-19	2	80	1272	1349	0.9753086419753086	STP	STP
PALP	294	WP_008760379.1	456	1.6312780449352306e-49	5	294	80	417	0.9863945578231292	STP	STP
1.A.35.3.2	351	WP_008760394.1	350	5.13e-67	9	350	2	349	99.4	TC	TC
S1_4	523	WP_008760398.1	523	0.0	1	523	1	523	100.0	SULFATLAS	Sulfatase
S49.UNC	138	WP_008760413.1	274	8.63e-59	5	138	95	228	48.9	PEPTIDASE	Peptidase
Sigma70_r2	71	WP_008760422.1	182	5.263033854558888e-15	1	68	21	88	0.9577464788732394	STP	STP
Sigma70_r4_2	54	WP_008760422.1	182	2.665823393328904e-14	4	51	120	167	0.8888888888888888	STP	STP
