HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GntR	64	PUL0010|GTNG_RS09245	232	9.919525278779708e-20	3	64	21	81	0.96875	TF
HTH_AraC	42	PUL0010|GTNG_RS09320	263	3.699700397000741e-14	1	42	163	204	1.0	TF
0035607	54	PUL0010|GTNG_RS09320	263	9.812213421169765e-12	3	53	206	254	0.9444444444444444	TF
GntR	64	PUL0010|GTNG_RS09390	364	3.639638236984279e-20	2	64	9	71	0.984375	TF
MarR	59	PUL0078|xylR	399	1.452216540214364e-07	4	47	11	54	0.7457627118644068	TF
0036286	54	PUL0227|AFM44654.1	494	1.0240802361452586e-08	3	53	428	479	0.9444444444444444	TF
HTH_AraC	42	PUL0289|Fjoh_3872	1373	2.2090564607009665e-06	7	35	1338	1367	0.6904761904761905	TF
0036955	59	PUL0329|GRFL_0330	359	5.7669604405725324e-15	2	58	6	62	0.9661016949152542	TF
0035607	54	PUL0335|SIP56329.1	268	2.121268008692109e-06	9	52	226	267	0.8148148148148148	TF
0036286	54	PUL0336|SIP56365.1	566	3.058718685818716e-05	5	49	465	510	0.8333333333333334	TF
HTH_AraC	42	PUL0336|SIP56365.1	566	5.4539649236282926e-09	2	41	526	563	0.9523809523809523	TF
0036286	54	PUL0337|SIP56374.1	566	3.058718685818716e-05	5	49	465	510	0.8333333333333334	TF
HTH_AraC	42	PUL0337|SIP56374.1	566	5.4539649236282926e-09	2	41	526	563	0.9523809523809523	TF
0036286	54	PUL0338|SIP56397.1	566	3.058718685818716e-05	5	49	465	510	0.8333333333333334	TF
HTH_AraC	42	PUL0338|SIP56397.1	566	5.4539649236282926e-09	2	41	526	563	0.9523809523809523	TF
0038753	71	PUL0339|SIP56448.1	233	1.899277961848087e-12	2	70	154	222	0.971830985915493	TF
0036286	54	PUL0342|PRU_RS14015	1334	9.704776604989747e-09	3	53	1228	1279	0.9444444444444444	TF
0035607	54	PUL0342|PRU_RS14015	1334	1.756662931621078e-09	2	53	1280	1329	0.9629629629629629	TF
0036286	54	PUL0345|BACINT_04208	1331	1.4787908471219228e-05	2	51	1217	1267	0.9259259259259259	TF
0035607	54	PUL0345|BACINT_04208	1331	1.0670908817489287e-07	2	52	1270	1318	0.9444444444444444	TF
GerE	57	PUL0392|BXY_46570	171	9.565598319475126e-07	18	43	132	157	0.45614035087719296	TF
0036286	54	PUL0456|PBR_RS03355	302	9.569370165405222e-12	3	52	197	246	0.9259259259259259	TF
HTH_AraC	42	PUL0456|PBR_RS03355	302	9.893199429349317e-13	2	41	259	296	0.9523809523809523	TF
GntR	64	PUL0542|uxuR	249	8.428294828692833e-20	3	64	38	98	0.96875	TF
HTH_AraC	42	PUL0542|xynC	259	1.1298059182436187e-12	1	42	163	204	1.0	TF
0035607	54	PUL0542|xynC	259	8.000725233114237e-11	3	53	206	254	0.9444444444444444	TF
0036286	54	PUL0553|BXY_29350	1339	9.470861503755902e-06	3	53	1230	1281	0.9444444444444444	TF
0035607	54	PUL0553|BXY_29350	1339	2.062414383875224e-08	2	53	1282	1331	0.9629629629629629	TF
GntR	64	PUL0602|Geoth_2255	232	5.034849880368189e-20	3	64	21	81	0.96875	TF
HTH_AraC	42	PUL0602|Geoth_2271	262	1.8122857643799262e-13	1	42	162	203	1.0	TF
0035607	54	PUL0602|Geoth_2271	262	7.469234551634609e-11	3	52	205	252	0.9259259259259259	TF
GerE	57	PUL0610|Rmar_1075	187	2.8903302590033583e-07	17	45	147	175	0.5087719298245614	TF
0035607	54	PUL0625|HPS56_11615	1292	9.858456414344365e-11	2	51	1239	1286	0.9259259259259259	TF
0036286	54	PUL0669|HMPREF1016_RS10705	1365	2.2804724077162978e-05	3	51	1253	1302	0.9074074074074074	TF
HTH_AraC	42	PUL0669|HMPREF1016_RS10705	1365	1.345939553056307e-09	6	41	1317	1353	0.8571428571428571	TF
0036286	54	PUL0669|HMPREF1016_RS10730	1035	3.157479754996468e-05	4	53	931	981	0.9259259259259259	TF
HTH_AraC	42	PUL0669|HMPREF1016_RS10730	1035	3.827520418069481e-11	6	42	993	1030	0.8809523809523809	TF
