pangenome name	system number	system name	organism	gene family	partition	annotation name	gene	start	stop	strand	is_fragment
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	AM462_RS00175	shell	cas6f_I_II_III_IV_V_VI_2	cas6f	3281155	3281766	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	AM462_RS00175	shell	cas6f_I_II_III_IV_V_VI_3	cas6f	3281155	3281766	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_1	csy3_1	3281769	3282596	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_2	csy3_1	3281769	3282596	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_3	csy3_1	3281769	3282596	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_1	csy3_2	3282620	3282781	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_2	csy3_2	3282620	3282781	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05695	shell	cas7f_I-F_3	csy3_2	3282620	3282781	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_3	csy2_1	3282807	3283331	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_1	csy2_1	3282807	3283331	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_4	csy2_1	3282807	3283331	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_2	csy2_1	3282807	3283331	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_3	csy2_2	3283328	3283690	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_1	csy2_2	3283328	3283690	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_4	csy2_2	3283328	3283690	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05690	shell	cas5f_I-F_2	csy2_2	3283328	3283690	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05685	shell	cas8f_I-F_8	csy1_1	3283690	3284442	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05685	shell	cas8f_I-F_4	csy1_1	3283690	3284442	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05685	shell	cas8f_I-F_8	csy1_2	3284532	3284939	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	FIM01_RS05685	shell	cas8f_I-F_4	csy1_2	3284532	3284939	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	DPV67_RS09000	shell	cas3f_I-F_1	cas3	3284955	3288329	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	DPV67_RS09000	shell	cas3_I_5	cas3	3284955	3288329	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	DPV67_RS09000	shell	cas3HD_I_1	cas3	3284955	3288329	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	DPV67_RS09000	shell	cas3_I_2	cas3	3284955	3288329	-	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	HYI42_15230	shell	cas1_I-F_1	cas1_1	3288838	3289494	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_003012895.2_ASM301289v2	HYI42_15230	shell	cas1_I-F_1	cas1_2	3289482	3289781	-	True
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_013403505.1_ASM1340350v1	HYI42_15230	shell	cas1_I-F_1	cas1f	3163579	3164544	+	False
Acinetobacter_baumannii	1	CAS_Class1-Subtype-I-F	GCA_013403505.1_ASM1340350v1	DPV67_RS09000	shell	cas3f_I-F_1	cas3f	3164541	3167915	+	False
