system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
2	SusCD_model	PUL	1	GCA_024791005.1_CDS_5653	shell			GCA_034139455.1_CDS_1047		JAWZGP010000007.1	126905	128434	+	False	context	split	0.56		
2	SusCD_model	PUL	1	GCA_022718855.1_CDS_0233	shell	STP		GCA_034139455.1_CDS_1048		JAWZGP010000007.1	128607	130109	+	False	model	split	0.56		
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_0700	shell	TF		GCA_034139455.1_CDS_1049		JAWZGP010000007.1	130106	130951	-	False	model	split	0.56		
2	SusCD_model	PUL	1	GCF_022716715.1_CDS_3068	shell	GH43		GCA_034139455.1_CDS_1050		JAWZGP010000007.1	131166	135377	-	False	model	split	0.56		
2	SusCD_model	PUL	1	GCF_023668595.1_CDS_0410	shell			GCA_034139455.1_CDS_1051		JAWZGP010000007.1	135709	138408	-	False	context	split	0.56		
2	SusCD_model	PUL	1	GCA_021204065.1_CDS_0378	shell	STP		GCA_034139455.1_CDS_1052		JAWZGP010000007.1	138625	141057	+	False	model	split	0.56		
2	SusCD_model	PUL	1	GCA_034126185.1_CDS_0512	cloud			GCA_034139455.1_CDS_1053		JAWZGP010000007.1	141179	141940	-	False	filtered	split	0.56		
2	SusCD_model	PUL	2	GCA_000273195.1_CDS_0447	persistent			GCA_034139455.1_CDS_2271		JAWZGP010000018.1	14976	16292	-	False	context	split	0.56		
2	SusCD_model	PUL	2	GCA_000273195.1_CDS_0446	persistent	SusD-like_3		GCA_034139455.1_CDS_2272		JAWZGP010000018.1	16489	18303	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCF_015551835.1_CDS_5144	persistent	STN		GCA_034139455.1_CDS_2273		JAWZGP010000018.1	18332	21721	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCA_024791665.1_CDS_2467	persistent	STP		GCA_034139455.1_CDS_2274		JAWZGP010000018.1	21849	22877	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCF_000154125.1_CDS_4623	persistent	STP		GCA_034139455.1_CDS_2275		JAWZGP010000018.1	22955	23542	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCA_024790715.1_CDS_5995	persistent			GCA_034139455.1_CDS_2276		JAWZGP010000018.1	23642	25078	-	False	context	split	0.56		
2	SusCD_model	PUL	2	GCA_000273195.1_CDS_0441	persistent	STP		GCA_034139455.1_CDS_2277		JAWZGP010000018.1	25137	25865	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCA_958450655.1_CDS_2573	persistent	TF		GCA_034139455.1_CDS_2278		JAWZGP010000018.1	25900	30219	-	False	model	split	0.56		
2	SusCD_model	PUL	2	GCA_026719665.1_CDS_1748	persistent	STP		GCA_034139455.1_CDS_2279		JAWZGP010000018.1	30373	31311	+	False	model	split	0.56		
2	SusCD_model	PUL	2	GCA_000273195.1_CDS_0438	persistent			GCA_034139455.1_CDS_2280		JAWZGP010000018.1	31477	32646	-	False	context	split	0.56		
3	SusCD_model	PUL	2	GCF_000157055.1_CDS_2686	shell			GCA_034139455.1_CDS_0882		JAWZGP010000006.1	108820	108975	+	False	context	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	2	GCA_000436435.1_CDS_1661	persistent	TF		GCA_034139455.1_CDS_0883		JAWZGP010000006.1	109264	109701	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	2	GCF_003459105.1_CDS_2774	shell			GCA_034139455.1_CDS_0884		JAWZGP010000006.1	109918	112197	-	False	context	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	2	GCA_022719975.1_CDS_2793	shell	GH10		GCA_034139455.1_CDS_0885		JAWZGP010000006.1	112214	114325	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4269	shell	GH43		GCA_034139455.1_CDS_0886		JAWZGP010000006.1	114366	115358	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4268	shell	GH43		GCA_034139455.1_CDS_0887		JAWZGP010000006.1	115641	116738	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4267	shell			GCA_034139455.1_CDS_0888		JAWZGP010000006.1	116941	118116	+	False	context	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	2	GCF_028528005.1_CDS_3042	shell	Plug		GCA_034139455.1_CDS_0889		JAWZGP010000006.1	118147	121143	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	1	GCA_024791005.1_CDS_0402	shell	GH43		GCA_034139455.1_CDS_2177		JAWZGP010000016.1	11973	12971	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|41:0.8|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	2	GCA_008679815.1_CDS_1963	shell	SusD-like_3		GCA_034139455.1_CDS_0890		JAWZGP010000006.1	121156	122931	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4264	shell			GCA_034139455.1_CDS_0891		JAWZGP010000006.1	122984	124327	+	False	context	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	1	GCA_000436435.1_CDS_3868	shell	SusD-like_3		GCA_034139455.1_CDS_2178		JAWZGP010000016.1	13003	14658	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|41:0.8|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	1	GCA_000699685.1_CDS_4941	shell	CarbopepD_reg_2		GCA_034139455.1_CDS_2179		JAWZGP010000016.1	14669	18034	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|41:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6236	persistent	STP		GCA_034139455.1_CDS_2180		JAWZGP010000016.1	18302	19315	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|41:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_026719665.1_CDS_2258	persistent	TF		GCA_034139455.1_CDS_2181		JAWZGP010000016.1	19387	19977	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_000436435.1_CDS_3873	shell			GCA_034139455.1_CDS_2182		JAWZGP010000016.1	20159	21673	+	False	context	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|11:0.86|4:0.84|7:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0958	shell	TF		GCA_034139455.1_CDS_2183		JAWZGP010000016.1	21736	25035	-	False	model	split	1.0		11:0.86|7:0.8
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0958	shell	TF		GCA_034139455.1_CDS_2184		JAWZGP010000016.1	25037	25768	-	True	model	split	1.0		11:0.86|7:0.8
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0959	shell			GCA_034139455.1_CDS_2185		JAWZGP010000016.1	26023	26703	-	False	context	split	1.0		11:0.86|7:0.8
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0960	shell	STP		GCA_034139455.1_CDS_2186		JAWZGP010000016.1	26705	27340	-	False	model	split	1.0		
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0961	shell			GCA_034139455.1_CDS_2187		JAWZGP010000016.1	27348	28361	-	False	context	split	1.0		
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0962	shell			GCA_034139455.1_CDS_2188		JAWZGP010000016.1	28366	29622	-	False	context	split	1.0		
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0963	shell	TF		GCA_034139455.1_CDS_2189		JAWZGP010000016.1	29750	30643	+	False	model	split	1.0		
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6234	persistent			GCA_034139455.1_CDS_2190		JAWZGP010000016.1	30817	33348	-	False	context	split	1.0		15:0.92|19:0.92|34:0.88|11:0.86|4:0.84|7:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6233	persistent	GH10		GCA_034139455.1_CDS_2191		JAWZGP010000016.1	33356	34429	-	False	model	split	1.0		15:0.92|19:0.92|34:0.88|11:0.86|4:0.84|7:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6232	shell			GCA_034139455.1_CDS_2192		JAWZGP010000016.1	34466	35944	-	False	context	split	1.0		15:0.92|19:0.92|34:0.88|11:0.86|4:0.84|7:0.8|27:0.7|6:0.6|2:0.56|13:0.54
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6231	shell			GCA_034139455.1_CDS_2193		JAWZGP010000016.1	35991	37364	-	False	context	split	1.0		15:0.92|19:0.92|11:0.86|7:0.8|2:0.56
3	SusCD_model	PUL	1	GCA_000699685.1_CDS_4948	shell	SusD-like_3		GCA_034139455.1_CDS_2194		JAWZGP010000016.1	37406	39091	-	False	model	split	1.0		15:0.92|19:0.92|11:0.86|7:0.8|2:0.56
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6229	shell	STN		GCA_034139455.1_CDS_2195		JAWZGP010000016.1	39082	42498	-	False	model	split	1.0		15:0.92|19:0.92|11:0.86|4:0.84|7:0.8|6:0.6|2:0.56
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_4565	shell			GCA_034139455.1_CDS_0460		JAWZGP010000003.1	397210	398382	+	False	filtered	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	3	GCF_028528005.1_CDS_3042	shell	Plug		GCA_034139455.1_CDS_0461		JAWZGP010000003.1	398414	401410	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	3	GCA_008679815.1_CDS_1963	shell	SusD-like_3		GCA_034139455.1_CDS_0462		JAWZGP010000003.1	401424	403199	+	False	model	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_4562	shell			GCA_034139455.1_CDS_0463		JAWZGP010000003.1	403255	404706	+	False	filtered	split	1.0		20:0.92|37:0.88|4:0.84|35:0.75
3	SusCD_model	PUL	1	GCA_024758985.1_CDS_0281	persistent	TF		GCA_034139455.1_CDS_2196		JAWZGP010000016.1	42825	43412	+	False	model	split	1.0		15:0.92|19:0.92|11:0.86|4:0.84|7:0.8|6:0.6|2:0.56
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_6227	persistent	STP		GCA_034139455.1_CDS_2197		JAWZGP010000016.1	43467	44513	+	False	model	split	1.0		15:0.92|19:0.92|11:0.86|4:0.84|7:0.8|6:0.6|2:0.56
3	SusCD_model	PUL	1	GCA_008679815.1_CDS_0972	shell			GCA_034139455.1_CDS_2198		JAWZGP010000016.1	44759	46048	-	False	context	split	1.0		15:0.92|19:0.92|11:0.86|4:0.84|7:0.8|6:0.6|2:0.56
3	SusCD_model	PUL	1	GCF_003459105.1_CDS_2774	shell			GCA_034139455.1_CDS_2174		JAWZGP010000016.1	5355	7634	-	False	context	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	1	GCA_022719975.1_CDS_2793	shell	GH10		GCA_034139455.1_CDS_2175		JAWZGP010000016.1	7651	9762	-	False	model	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
3	SusCD_model	PUL	1	GCF_040092815.1_CDS_4601	shell			GCA_034139455.1_CDS_2176		JAWZGP010000016.1	9898	11946	-	False	context	split	1.0		15:0.92|19:0.92|20:0.92|34:0.88|37:0.88|11:0.86|4:0.84|7:0.8|41:0.8|35:0.75|27:0.7|6:0.6|13:0.54
4	SusCD_model	PUL	6	GCF_000157055.1_CDS_1527	shell			GCA_034139455.1_CDS_2480		JAWZGP010000019.1	129770	130507	-	False	context	split	0.84		
4	SusCD_model	PUL	6	GCA_024792605.1_CDS_7044	shell	TF		GCA_034139455.1_CDS_2481		JAWZGP010000019.1	130534	133137	-	False	model	split	0.84		
4	SusCD_model	PUL	6	GCA_000699685.1_CDS_4200	shell			GCA_034139455.1_CDS_2482		JAWZGP010000019.1	133707	137804	-	False	filtered	split	0.84		
10	SusCD_model	PUL	1	GCA_000273195.1_CDS_4224	persistent			GCA_034139455.1_CDS_0931		JAWZGP010000006.1	182810	183826	+	False	context	split	1.0		
