CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	TC	NZ_CAJPOG010000002.1	WP_278580851.1	18428	20578	-	TC|3.E.1.5.3+TF|HTH_AraC+TF|0035607+STP|Peripla_BP_1+STP|HisKA+STP|Response_reg+STP|HTH_18
CGC1	CAZyme	NZ_CAJPOG010000002.1	WP_278580870.1	20765	22366	-	CAZyme|GH32_e88+SULFATLAS|S1_7
CGC2	CAZyme	NZ_CAJPOG010000004.1	WP_278580916.1	8357	9499	+	CAZyme|GT4_e2089
CGC2	null	NZ_CAJPOG010000004.1	WP_278580917.1	9647	10726	+	null
CGC2	TF	NZ_CAJPOG010000004.1	WP_219525231.1	10938	11435	+	TF|HTH_10+STP|Sigma70_r2+STP|Sigma70_r4_2
CGC3	TF	NZ_CAJPOG010000025.1	WP_278581386.1	9377	9901	+	TF|GerE+STP|Sigma70_r2+STP|Sigma70_r4_2
CGC3	STP	NZ_CAJPOG010000025.1	WP_036855112.1	10293	11270	+	STP|FecR
CGC3	CAZyme	NZ_CAJPOG010000025.1	WP_278581390.1	11342	14401	+	CAZyme|GH2_e30+SULFATLAS|S1_19
CGC3	TC	NZ_CAJPOG010000025.1	WP_278581392.1	15101	16174	+	TC|9.B.304.1.8
CGC3	TF	NZ_CAJPOG010000025.1	WP_278581395.1	16149	16859	+	TF|LytTR+STP|Response_reg+STP|LytTR
CGC4	TF	NZ_CAJPOG010000034.1	WP_278581597.1	13001	16771	-	TF|0035607+STP|Reg_prop+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC4	CAZyme	NZ_CAJPOG010000034.1	WP_278581599.1	17164	18213	-	CAZyme|GH53_e22+SULFATLAS|S1_8
CGC5	CAZyme	NZ_CAJPOG010000039.1	WP_278581671.1	11810	12970	-	CAZyme|GT19_e2
CGC5	null	NZ_CAJPOG010000039.1	WP_036855435.1	12983	13756	-	null
CGC5	STP	NZ_CAJPOG010000039.1	WP_013671624.1	13871	14638	+	STP|CbiA
CGC5	TF	NZ_CAJPOG010000039.1	WP_004351694.1	14797	15702	+	TF|HTH_3
CGC6	TF	NZ_CAJPOG010000144.1	WP_278582515.1	2813	3538	-	TF|Trans_reg_C
CGC6	Other	NZ_CAJPOG010000144.1	NA	4395	4465	+	Other|tRNA
CGC6	CAZyme	NZ_CAJPOG010000144.1	WP_278582516.1	4540	5769	+	CAZyme|GH27_e2
