Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
ADB40_RS04920	3.2.1.23:1	GH35(45-401)	GH35_e15	GH35	3
AMN54_RS00125	-	GH51_2(239-680)	GH51_e3	GH51	3
AMN54_RS00835	2.4.1.-:1	GT8(3-250)	GT8_e163	GT8	3
AMN54_RS00840	-	GT4(217-363)	GT4_e3886	GT4	3
AMN54_RS06145	3.2.1.55:2	GH43_2(90-358)+GH43_2(423-689)	GH43_e327	GH43_2	3
AMN54_RS20935	-	GT8(2-260)	GT8_e243	GT8	3
AMN54_RS25965	-	GH43_33(7-121)	GH43_e74	-	2
AMN54_RS26410	3.2.1.22:1	GH97(11-279)	GH97_e1	GH97	3
AMN54_RS27080	-|3.2.1.-:3	PL38(1-147)+GH88(260-454)	PL38_e14+GH88_e11	GH88+PL38	3
AMN69_RS11860	-|-	GT4(187-325)+CE4(419-544)	GT4_e1139+CE4_e274	CE4+GT4	3
AMN69_RS11870	-	GT2(6-143)	GT2	-	2
AMN69_RS14640	-	GH25(75-249)	GH25_e21	GH25	3
AMN69_RS14780	3.2.1.-:2	GH127(45-584)	GH127_e5	GH127	3
AMN69_RS14815	3.2.1.23:3	GH2(22-633)	GH2_e16	GH2	3
AMN69_RS14825	-	GH2(53-945)	GH2_e30	GH2	3
AMN69_RS14855	3.2.1.83:5	GH16_17(95-347)	GH16_e181	GH16_17	3
AMN69_RS14905	-	GH82(69-267)	GH82_e5	GH82	3
AMN69_RS14960	-	PL35(277-454)	PL35_e8	PL35	3
AMN69_RS14965	-	GH154(25-379)	GH154_e17	GH154	3
AMN69_RS14970	-	GH105(57-370)	GH105_e29	GH105	3
AMN69_RS14975	3.2.1.-:1	GH2(42-637)	GH2_e50	GH2	3
AMN69_RS14980	-	GH27(260-501)	GH27_e26	GH27	3
AMN69_RS14985	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	GH43_29(34-311)	GH43_e59	GH43	3
AMN69_RS14995	-	GH43_29(43-297)	GH43_e304	GH43	3
AMN69_RS15000	3.2.1.31:1	GH2(27-515)	GH2_e139	GH2	3
AMN69_RS15005	-	CE20(102-359)	CE20_e34	CE20	3
AMN69_RS15010	3.2.1.23:2|3.2.1.23:3	GH2(28-584)	GH2_e127+GH2_e16	GH2	3
AMN69_RS15025	-|-	GH2(19-593)	GH2_e158+CBM35_e55	GH2	3
AMN69_RS15035	-	GH110(33-576)	GH110_e5	GH110	3
AMN69_RS19140	3.2.1.37:19|3.2.1.55:4	GH43_1(8-317)	GH43_e53	GH43_1	3
AMN69_RS19145	3.2.1.8:21|3.2.1.55:1	GH10(35-367)	GH10_e83	GH10	3
AMN69_RS19165	3.2.1.131:6	GH115(49-996)	GH115_e0	GH115	3
