Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH30_e78	GH30_8:555|CBM35:22|CBM13:15|CBM2:10|CBM6:8|CBM22:4|CBM37:3|GH30:2|CBM64:2|CBM88:1|CBM9:1|CE0:1	3.2.1.8:16|3.2.1.136:8	xylan	345	PUL0003|BSU_18150	422	5.680160895640282e-197	1	344	36	378	0.9971014492753624	dbCAN-sub
GH43_e261	GH43_16:637|CBM6:630|CBM22:66|CBM36:43|GH43_10:40|CBM13:21|GH43:12|CBM2:6|GH10:4|CBM3:3|CBM5:2|CBM35:1|CBM42:1|GH43_34:1	3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1	arabinan;xylan	297	PUL0003|BSU_18160	513	1.9926266518718546e-143	1	297	40	363	1.0	dbCAN-sub
CBM6_e6	CBM6:625|GH43_16:614|CBM22:56|CBM36:43|CBM13:18|GH43_10:14|CBM2:8|GH10:5|CBM3:3|CE0:2|CBM35:1|GH43:1|CBM5:1	3.2.1.55:13|3.2.1.8:3|3.2.1.-:2|3.2.1.37:1	beta-glucan;cellulose;xylan	127	PUL0003|BSU_18160	513	5.782217079669379e-53	1	127	384	512	1.0	dbCAN-sub
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	arabinan;xylan	292	PUL0010|GTNG_RS09205	535	3.732710384985427e-156	1	292	5	303	1.0	dbCAN-sub
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1		xylan	200	PUL0010|GTNG_RS09205	535	6.4529140570068735e-84	1	199	331	534	0.995	dbCAN-sub
GH10_e98	GH10:108|CBM22:34|CBM9:9	3.2.1.8:28	xylan	335	PUL0010|GTNG_RS09220	407	3.4626731445719825e-168	2	334	50	405	0.9940298507462688	dbCAN-sub
GH39_e74	GH39:160	3.2.1.37:10	xylan	424	PUL0010|GTNG_RS09260	506	3.758135171239942e-212	1	423	14	437	0.9976415094339622	dbCAN-sub
GH67_e1	GH67:413|GH3:1	3.2.1.139:12|3.2.1.131:10	xylan	651	PUL0010|GTNG_RS09265	684	0.0	1	651	8	681	1.0	dbCAN-sub
GH10_e135	GH10:152|GH43_12:2|CBM22:1	3.2.1.8:22	xylan	323	PUL0010|GTNG_RS09285	331	4.919991827441689e-168	2	322	10	330	0.9938080495356038	dbCAN-sub
GH52_e0	GH52:98	3.2.1.37:8	xylan	417	PUL0010|GTNG_RS09290	705	3.447661118890033e-204	1	417	21	440	1.0	dbCAN-sub
CE4_e323	CE4:22		-	123	PUL0010|GTNG_RS09295	208	1.042209200572824e-65	1	123	12	134	1.0	dbCAN-sub
GH51_e0	GH51:2271	3.2.1.55:37	arabinan	492	PUL0010|GTNG_RS09355	502	1.7192612153804276e-251	1	491	6	500	0.9979674796747968	dbCAN-sub
CBM22_e1	CBM22:72|GH10:71|CBM9:47|CBM86:3|CE15:2|CBM4:1	3.2.1.8:20|3.2.1.37:1	xylan;beta-glucan	131	PUL0078|xynA	684	7.605709718831914e-33	4	131	46	173	0.9770992366412212	dbCAN-sub
CBM22_e1	CBM22:72|GH10:71|CBM9:47|CBM86:3|CE15:2|CBM4:1	3.2.1.8:20|3.2.1.37:1	xylan;beta-glucan	131	PUL0078|xynA	684	6.457391638276656e-33	2	129	197	325	0.9770992366412212	dbCAN-sub
GH10_e141	GH10:111|CBM22:60|CBM9:34|CBM3:11|GH5_1:6|GH48:3|CE15:2|CBM6:2|GH43_16:2|CBM4:1	3.2.1.8:29|3.2.1.4:5|3.2.1.55:1|3.2.1.37:1|3.2.1.-:1	beta-glucan;xylan	317	PUL0078|xynA	684	5.452522464078429e-142	1	316	358	677	0.996845425867508	dbCAN-sub
GH67_e1	GH67:413|GH3:1	3.2.1.139:12|3.2.1.131:10	xylan	651	PUL0227|agu67A	690	0.0	1	651	10	688	1.0	dbCAN-sub
GH3_e88	GH3:482	3.2.1.37:15|3.2.1.55:3|3.2.1.21:1	arabinan;beta-glucan;xylan	228	PUL0227|xyl3A	789	1.1254726779447126e-117	1	227	96	321	0.9956140350877192	dbCAN-sub
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	PUL0262|BcellWH2_04301	721	3.4833428172510847e-141	1	262	455	717	1.0	dbCAN-sub
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	PUL0262|BcellWH2_04302	371	7.83623761943399e-171	3	340	34	369	0.9912023460410556	dbCAN-sub
GH5_e243	GH5_21:28|GH43_10:5	3.2.1.8:2	xylan	275	PUL0262|BcellWH2_04303	655	6.5106480162991476e-164	1	274	68	350	0.9963636363636365	dbCAN-sub
CE1_e22	CE1:6|CBM48:2|CE0:2		-	206	PUL0262|BcellWH2_04304	293	3.349882262823208e-40	3	204	47	281	0.9805825242718448	dbCAN-sub
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	PUL0262|BcellWH2_04305	1074	9.265846587477841e-57	2	110	88	196	0.981981981981982	dbCAN-sub
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	alpha-galactan;beta-fucosides	743	PUL0262|BcellWH2_04305	1074	0.0	2	729	280	1010	0.9798115746971736	dbCAN-sub
GH8_e37	GH8:24|CBM6:6|CBM36:6|GH26:2|GH5:1|GH5_55:1	3.2.1.8:3|3.2.1.4:2	cellulose;xylan	315	PUL0262|BcellWH2_04306	417	3.0729337998214493e-133	1	315	95	409	1.0	dbCAN-sub
CBM22_e4	CBM22:20|GH10:20|CBM3:6	3.2.1.8:4	xylan;beta-glucan	129	PUL0263|BcellWH2_04323	772	1.7441486620891712e-21	2	119	169	281	0.9147286821705426	dbCAN-sub
