Annotate Name	Annotate Length	Target Name	Target Length	i-Evalue	Annotate From	Annotate To	Target From	Target To	Coverage	Annotate File Name	Type
S1_7	2071	PUL0003|NP_389697.1	422	1.4e-13	1739	2030	137	366	54.5	SULFATLAS	Sulfatase
3.A.1.2.32	362	PUL0010|WP_008880038.1	358	9.2e-236	1	354	1	354	98.9	TC	TC
3.A.1.1.34	433	PUL0010|WP_008880045.1	435	6.710000000000001e-167	1	431	1	434	99.8	TC	TC
3.A.1.1.34	281	PUL0010|WP_008880047.1	281	9.62e-122	12	281	12	281	96.1	TC	TC
9.B.33.1.1	589	PUL0010|WP_008880055.1	576	1.1400000000000001e-21	375	579	362	575	37.2	TC	TC
dCache_1	249	PUL0010|WP_008880055.1	576	7.688809208470148e-09	3	248	42	260	0.9879518072289156	STP	STP
HATPase_c	111	PUL0010|WP_008880055.1	576	8.371777659517377e-12	9	109	462	571	0.90990990990991	STP	STP
HTH_AraC	42	PUL0010|WP_008880056.1	263	6.564712289800095e-14	1	42	163	204	1.0	TF	TF
0035607	54	PUL0010|WP_008880056.1	263	1.7410695765612204e-11	3	53	206	254	0.9444444444444444	TF	TF
Response_reg	112	PUL0010|WP_008880056.1	263	3.5734856117806926e-30	1	112	6	119	1.0	STP	STP
HTH_18	81	PUL0010|WP_008880056.1	263	7.672856457618802e-26	1	81	176	255	1.0	STP	STP
SBP_bac_1	315	PUL0010|WP_008880057.1	440	2.149030813472561e-36	2	310	51	351	0.9809523809523808	STP	STP
3.A.1.1.57	308	PUL0010|WP_008880058.1	289	1.36e-42	43	281	27	265	82.7	TC	TC
3.A.1.1.41	278	PUL0010|WP_008880059.1	288	1.0999999999999999e-47	10	278	22	288	92.7	TC	TC
S1_4	910	PUL0010|WP_008880060.1	349	4.41e-77	564	907	14	347	95.7	SULFATLAS	Sulfatase
PfkB	302	PUL0010|WP_008880071.1	317	3.73599419869586e-70	3	301	2	300	0.9900662251655628	STP	STP
S1_27	4331	PUL0010|WP_008880072.1	216	9.99e-20	4171	4328	55	208	71.3	SULFATLAS	Sulfatase
9.B.28.1.5	207	PUL0010|WP_008880077.1	213	4.33e-33	5	201	6	206	94.4	TC	TC
S1_8	702	PUL0010|WP_008880080.1	220	1.62e-06	540	701	45	219	79.5	SULFATLAS	Sulfatase
GntR	64	PUL0010|WP_011887511.1	232	1.7601108878810337e-19	3	64	21	81	0.96875	TF	TF
3.A.1.1.9	296	PUL0010|WP_011887513.1	296	2.1e-170	1	296	1	296	100.0	TC	TC
3.A.1.1.9	360	PUL0010|WP_011887514.1	316	1.02e-165	98	360	54	316	83.2	TC	TC
3.A.1.1.9	549	PUL0010|WP_011887515.1	547	0.0	1	549	1	547	100.0	TC	TC
3.A.1.1.34	313	PUL0010|WP_011887522.1	310	2.94e-138	8	313	8	310	97.7	TC	TC
GntR	64	PUL0010|WP_011887526.1	364	6.458138579039178e-20	2	64	9	71	0.984375	TF	TF
Peripla_BP_3	164	PUL0010|WP_011887526.1	364	1.769995015337045e-38	1	164	196	361	1.0	STP	STP
3.A.1.2.32	407	PUL0010|WP_011887527.1	407	5.270000000000001e-245	1	407	1	407	100.0	TC	TC
3.A.1.2.32	513	PUL0010|WP_011887528.1	513	0.0	1	512	1	512	99.8	TC	TC
S1_7	892	PUL0010|WP_081157505.1	331	1.12e-87	24	389	8	328	97.0	SULFATLAS	Sulfatase
3.A.1.1.25	291	PUL0078|AAB42041.1	140	3.43e-25	154	288	2	139	98.6	TC	TC
3.A.1.1.41	278	PUL0078|AAB42042.1	275	3.3299999999999995e-42	25	278	25	275	91.3	TC	TC
MarR	59	PUL0078|AAB42043.1	399	2.576798860990122e-07	4	47	11	54	0.7457627118644068	TF	TF
S1_7	892	PUL0078|AAB42044.1	684	5.31e-76	24	395	356	681	47.7	SULFATLAS	Sulfatase
LacI	46	PUL0140|AYN23378.1	338	2.1770289464747703e-10	2	44	8	50	0.9347826086956522	TF	TF
Peripla_BP_3	164	PUL0140|AYN23378.1	338	3.7015847998115477e-41	1	164	170	330	1.0	STP	STP
SBP_bac_1	315	PUL0140|AYN23379.1	425	1.2848778875235222e-40	6	315	47	344	0.984126984126984	STP	STP
3.A.1.1.25	291	PUL0140|AYN23380.1	352	2.28e-43	11	285	38	315	79.0	TC	TC
3.A.1.1.18	307	PUL0140|AYN23381.1	289	1.04e-45	46	307	31	288	89.3	TC	TC
S1_25	964	PUL0140|AYN23383.1	676	7.509999999999999e-24	21	206	38	220	27.1	SULFATLAS	Sulfatase
S09.UPW	343	PUL0140|AYN23384.1	387	8.800000000000001e-247	12	343	1	332	85.8	PEPTIDASE	Peptidase
S1_8	1040	PUL0140|AYN23385.1	519	1.43e-21	515	921	5	387	73.8	SULFATLAS	Sulfatase
S1_7	1851	PUL0227|AFM44649.1	789	5.19e-158	360	1104	11	761	95.2	SULFATLAS	Sulfatase
0036286	54	PUL0227|AFM44654.1	494	1.8171179799894527e-08	3	53	428	479	0.9444444444444444	TF	TF
Response_reg	112	PUL0227|AFM44654.1	494	9.19346786213362e-28	1	111	8	120	0.9910714285714286	STP	STP
HTH_18	81	PUL0227|AFM44654.1	494	1.8608674129273282e-08	1	40	451	490	0.4938271604938271	STP	STP
9.B.304.1.11	347	PUL0227|AFM44655.1	402	2.03e-13	168	293	241	365	31.1	TC	TC
dCache_1	249	PUL0227|AFM44655.1	402	2.3789889419047585e-08	107	248	5	138	0.570281124497992	STP	STP
HATPase_c	111	PUL0227|AFM44655.1	402	1.9608390840502674e-06	9	55	337	388	0.4234234234234234	STP	STP
SBP_bac_1	315	PUL0227|AFM44656.1	439	1.7225397528369949e-40	10	309	62	350	0.9523809523809524	STP	STP
3.A.1.1.61	300	PUL0227|AFM44657.1	294	7.16e-46	14	270	13	270	87.8	TC	TC
3.A.1.1.41	278	PUL0227|AFM44658.1	286	1.3299999999999998e-48	3	278	10	286	96.9	TC	TC
0036286	54	PUL0229|ABV90480.1	522	6.40117580304053e-08	5	53	418	466	0.9074074074074074	TF	TF
0035607	54	PUL0229|ABV90480.1	522	1.3097648459933826e-07	3	53	468	516	0.9444444444444444	TF	TF
Response_reg	112	PUL0229|ABV90480.1	522	6.9298759110040215e-28	1	111	4	117	0.9910714285714286	STP	STP
