CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	PUL0010	PUL0010|WP_008880081.1	9634	11238	+	CAZyme|GH43_11|CBM91_e24
CGC1	SULFATLAS	PUL0010	PUL0010|WP_008880080.1	12238	12897	+	SULFATLAS|S1_8
CGC1	null	PUL0010	PUL0010|WP_008880079.1	13897	14688	+	null
CGC1	CAZyme	PUL0010	PUL0010|WP_008880078.1	15688	16908	+	CAZyme|GH10_e98
CGC1	TC	PUL0010	PUL0010|WP_008880077.1	17908	18546	+	TC|9.B.28.1.5
CGC2	CAZyme	PUL0010	PUL0010|WP_008880070.1	31192	32709	+	CAZyme|GH39_e74
CGC2	CAZyme	PUL0010	PUL0010|WP_011887512.1	33709	35760	+	CAZyme|GH67_e1
CGC2	TC	PUL0010	PUL0010|WP_011887513.1	36760	37647	+	TC|3.A.1.1.9
CGC2	TC	PUL0010	PUL0010|WP_011887514.1	38647	39594	+	TC|3.A.1.1.9
CGC2	TC	PUL0010	PUL0010|WP_011887515.1	40594	42234	+	TC|3.A.1.1.9
CGC2	CAZyme	PUL0010	PUL0010|WP_081157505.1	43234	44226	+	CAZyme|GH10_e135+SULFATLAS|S1_7
CGC2	CAZyme	PUL0010	PUL0010|WP_011887517.1	45226	47340	+	CAZyme|GH52_e0
CGC2	CAZyme	PUL0010	PUL0010|WP_008880061.1	48340	48963	+	CAZyme|CE4_e323
CGC2	SULFATLAS	PUL0010	PUL0010|WP_008880060.1	49963	51009	+	SULFATLAS|S1_4
CGC2	TC	PUL0010	PUL0010|WP_008880059.1	52009	52872	+	TC|3.A.1.1.41
CGC2	TC	PUL0010	PUL0010|WP_008880058.1	53872	54738	+	TC|3.A.1.1.57
CGC2	STP	PUL0010	PUL0010|WP_008880057.1	55738	57057	+	STP|SBP_bac_1
CGC2	TF	PUL0010	PUL0010|WP_008880056.1	58057	58845	+	TF|HTH_AraC+TF|0035607+STP|Response_reg+STP|HTH_18
CGC2	TC	PUL0010	PUL0010|WP_008880055.1	59845	61572	+	TC|9.B.33.1.1+STP|dCache_1+STP|HATPase_c
CGC3	CAZyme	PUL0010	PUL0010|WP_011887521.1	69769	71274	+	CAZyme|GH51_1
CGC3	TC	PUL0010	PUL0010|WP_008880047.1	72274	73116	+	TC|3.A.1.1.34
CGC3	TC	PUL0010	PUL0010|WP_011887522.1	74116	75045	+	TC|3.A.1.1.34
CGC3	TC	PUL0010	PUL0010|WP_008880045.1	76045	77349	+	TC|3.A.1.1.34
CGC4	TC	PUL0078	PUL0078|AAB42041.1	94132	94551	+	TC|3.A.1.1.25
CGC4	TC	PUL0078	PUL0078|AAB42042.1	95551	96375	+	TC|3.A.1.1.41
CGC4	TF	PUL0078	PUL0078|AAB42043.1	97375	98571	+	TF|MarR
CGC4	CAZyme	PUL0078	PUL0078|AAB42044.1	99571	101622	+	CAZyme|CBM22_e1|CBM22_e1|GH10_e141+SULFATLAS|S1_7
CGC5	CAZyme	PUL0140	PUL0140|AYN23377.1	108784	110463	+	CAZyme|GH43_12
CGC5	TF	PUL0140	PUL0140|AYN23378.1	111463	112476	+	TF|LacI+STP|Peripla_BP_3
CGC5	STP	PUL0140	PUL0140|AYN23379.1	113476	114750	+	STP|SBP_bac_1
CGC5	TC	PUL0140	PUL0140|AYN23380.1	115750	116805	+	TC|3.A.1.1.25
CGC5	TC	PUL0140	PUL0140|AYN23381.1	117805	118671	+	TC|3.A.1.1.18
CGC5	CAZyme	PUL0140	PUL0140|AYN23382.1	119671	121293	+	CAZyme|GH43_11|CBM91_e24
CGC5	CAZyme	PUL0140	PUL0140|AYN23383.1	122293	124320	+	CAZyme|CE20_e33+SULFATLAS|S1_25
CGC5	PEPTIDASE	PUL0140	PUL0140|AYN23384.1	125320	126480	+	PEPTIDASE|S09.UPW
CGC5	CAZyme	PUL0140	PUL0140|AYN23385.1	127480	129036	+	CAZyme|GH43_10|CBM91_e2+SULFATLAS|S1_8
CGC6	TC	PUL0227	PUL0227|AFM44655.1	146449	147654	+	TC|9.B.304.1.11+STP|dCache_1+STP|HATPase_c
CGC6	TF	PUL0227	PUL0227|AFM44654.1	148654	150135	+	TF|0036286+STP|Response_reg+STP|HTH_18
CGC6	STP	PUL0227	PUL0227|AFM44656.1	151135	152451	+	STP|SBP_bac_1
CGC6	TC	PUL0227	PUL0227|AFM44657.1	153451	154332	+	TC|3.A.1.1.61
CGC6	TC	PUL0227	PUL0227|AFM44658.1	155332	156189	+	TC|3.A.1.1.41
CGC6	CAZyme	PUL0227	PUL0227|AFM44659.1	157189	157986	+	CAZyme|CE4_e329
CGC7	TC	PUL0229	PUL0229|ABV90481.1	161551	163266	+	TC|9.B.33.1.1+STP|dCache_1+STP|HATPase_c
CGC7	TC	PUL0229	PUL0229|ABV90482.2	164266	165975	+	TC|3.A.1.1.29
CGC7	TC	PUL0229	PUL0229|ABV90483.1	166975	167943	+	TC|3.A.1.1.29
CGC7	TC	PUL0229	PUL0229|ABV90484.1	168943	169860	+	TC|3.A.1.1.29
CGC7	CAZyme	PUL0229	PUL0229|ABV90485.1	170860	172920	+	CAZyme|GH67_e1
CGC7	CAZyme	PUL0229	PUL0229|ABV90486.1	173920	174942	+	CAZyme|GH10_e135+SULFATLAS|S1_7
CGC7	CAZyme	PUL0229	PUL0229|ABV90487.1	175942	177504	+	CAZyme|GH43_12|CBM91_e28+SULFATLAS|S1_8
CGC8	CAZyme	PUL0262	PUL0262|ALJ61518.1	194137	196299	+	CAZyme|GH10_e5
CGC8	CAZyme	PUL0262	PUL0262|ALJ61519.1	197299	198411	+	CAZyme|GH10_e83+SULFATLAS|S1_7
CGC8	CAZyme	PUL0262	PUL0262|ALJ61520.1	199411	201375	+	CAZyme|GH5_21
