system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
2	SusCD_model	PUL	6	GCA_000273195.1_CDS_0447	persistent			GCF_021410345.1_CDS_2001		NZ_JAHYNB010000020.1	110570	112009	-	False	context	split	0.84		
2	SusCD_model	PUL	6	GCA_000273195.1_CDS_0446	persistent	SusD-like_3		GCF_021410345.1_CDS_2002		NZ_JAHYNB010000020.1	112083	113897	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCF_015551835.1_CDS_5144	persistent	STN		GCF_021410345.1_CDS_2003		NZ_JAHYNB010000020.1	113926	117315	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCA_024791665.1_CDS_2467	persistent	STP		GCF_021410345.1_CDS_2004		NZ_JAHYNB010000020.1	117443	118471	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCF_000154125.1_CDS_4623	persistent	STP		GCF_021410345.1_CDS_2005		NZ_JAHYNB010000020.1	118549	119136	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCA_024790715.1_CDS_5995	persistent			GCF_021410345.1_CDS_2006		NZ_JAHYNB010000020.1	119236	120672	-	False	context	split	0.84		
2	SusCD_model	PUL	6	GCA_000273195.1_CDS_0441	persistent	STP		GCF_021410345.1_CDS_2007		NZ_JAHYNB010000020.1	120731	121459	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCA_958450655.1_CDS_2573	persistent	TF		GCF_021410345.1_CDS_2008		NZ_JAHYNB010000020.1	121494	125813	-	False	model	split	0.84		
2	SusCD_model	PUL	6	GCA_026719665.1_CDS_1748	persistent	STP		GCF_021410345.1_CDS_2009		NZ_JAHYNB010000020.1	125967	126905	+	False	model	split	0.84		
2	SusCD_model	PUL	6	GCA_000273195.1_CDS_0438	persistent			GCF_021410345.1_CDS_2010		NZ_JAHYNB010000020.1	127088	128257	-	False	context	split	0.84		
2	SusCD_model	PUL	1	GCA_003602825.1_CDS_5152	shell			GCF_021410345.1_CDS_0733		NZ_JAHYNB010000012.1	33246	33836	-	False	context	split	0.84		
2	SusCD_model	PUL	1	GCA_021204065.1_CDS_0378	shell	STP		GCF_021410345.1_CDS_0734		NZ_JAHYNB010000012.1	33890	36322	-	False	model	split	0.84		
2	SusCD_model	PUL	1	GCF_023668595.1_CDS_0410	shell			GCF_021410345.1_CDS_0735		NZ_JAHYNB010000012.1	36539	39238	+	False	context	split	0.84		
2	SusCD_model	PUL	1	GCF_022716715.1_CDS_3068	shell	GH43		GCF_021410345.1_CDS_0736		NZ_JAHYNB010000012.1	39441	43640	+	False	model	split	0.84		
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_0700	shell	TF		GCF_021410345.1_CDS_0737		NZ_JAHYNB010000012.1	43855	44700	+	False	model	split	0.84		
2	SusCD_model	PUL	1	GCA_022718855.1_CDS_0233	shell	STP		GCF_021410345.1_CDS_0738		NZ_JAHYNB010000012.1	44697	46199	-	False	model	split	0.84		
2	SusCD_model	PUL	1	GCA_024791005.1_CDS_5653	shell			GCF_021410345.1_CDS_0739		NZ_JAHYNB010000012.1	46372	47901	-	False	context	split	0.84		
2	SusCD_model	PUL	3	GCA_000273195.1_CDS_1723	persistent			GCF_021410345.1_CDS_2796		NZ_JAHYNB010000003.1	64349	66277	+	False	context	split	0.84		
2	SusCD_model	PUL	3	GCF_028561695.1_CDS_2345	persistent	TF		GCF_021410345.1_CDS_2797		NZ_JAHYNB010000003.1	66321	70397	+	False	model	split	0.84		
2	SusCD_model	PUL	3	GCA_000273195.1_CDS_1721	persistent			GCF_021410345.1_CDS_2798		NZ_JAHYNB010000003.1	70512	70886	+	False	context	split	0.84		
2	SusCD_model	PUL	3	GCA_000273195.1_CDS_1720	persistent	STP		GCF_021410345.1_CDS_2799		NZ_JAHYNB010000003.1	71124	71654	+	False	model	split	0.84		
2	SusCD_model	PUL	3	GCA_947645435.1_CDS_3500	persistent	TonB_dep_Rec		GCF_021410345.1_CDS_2800		NZ_JAHYNB010000003.1	71704	74952	+	False	model	split	0.84		
2	SusCD_model	PUL	3	GCF_964240805.1_CDS_0908	persistent	SusD-like_3		GCF_021410345.1_CDS_2801		NZ_JAHYNB010000003.1	74986	76782	+	False	model	split	0.84		
2	SusCD_model	PUL	3	GCA_000273195.1_CDS_1717	persistent			GCF_021410345.1_CDS_2802		NZ_JAHYNB010000003.1	76819	78012	+	False	context	split	0.84		
3	SusCD_model	PUL	3	GCA_022718855.1_CDS_3536	persistent			GCF_021410345.1_CDS_4657		NZ_JAHYNB010000007.1	160584	163145	-	False	filtered	split	0.63		4:0.58|20:0.58
3	SusCD_model	PUL	3	GCA_000436435.1_CDS_1661	persistent	TF		GCF_021410345.1_CDS_4658		NZ_JAHYNB010000007.1	163379	163828	-	False	model	split	0.63		4:0.58|20:0.58
3	SusCD_model	PUL	3	GCF_032144175.1_CDS_1739	shell			GCF_021410345.1_CDS_4659		NZ_JAHYNB010000007.1	164515	164652	-	False	filtered	split	0.63		4:0.58|20:0.58
4	SusCD_model	PUL	3	GCA_000699685.1_CDS_4199	shell			GCF_021410345.1_CDS_4765		NZ_JAHYNB010000008.1	23668	23817	+	False	filtered	split	0.58		
4	SusCD_model	PUL	3	GCA_024792605.1_CDS_7044	shell	TF		GCF_021410345.1_CDS_4766		NZ_JAHYNB010000008.1	24617	27220	+	False	model	split	0.58		
4	SusCD_model	PUL	3	GCF_000157055.1_CDS_1527	shell			GCF_021410345.1_CDS_4767		NZ_JAHYNB010000008.1	27247	27984	+	False	context	split	0.58		
7	SusCD_model	PUL	2	GCF_015558455.1_CDS_3503	cloud			GCF_021410345.1_CDS_3611		NZ_JAHYNB010000004.1	166578	168962	-	False	filtered	split	0.8		
7	SusCD_model	PUL	2	GCA_024788605.1_CDS_0603	shell	TF		GCF_021410345.1_CDS_3612		NZ_JAHYNB010000004.1	169003	169200	-	False	model	split	0.8		
7	SusCD_model	PUL	2	GCA_024787785.1_CDS_0680	shell			GCF_021410345.1_CDS_3613		NZ_JAHYNB010000004.1	169591	169797	+	False	filtered	split	0.8		
13	SusCD_model	PUL	5	GCA_024791005.1_CDS_0402	shell	GH43		GCF_021410345.1_CDS_4263		NZ_JAHYNB010000055.1	11432	12430	-	False	model	split	1.0		15:0.92|19:0.92|34:0.88|7:0.8|41:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58|20:0.58
13	SusCD_model	PUL	5	GCA_000436435.1_CDS_3868	shell	SusD-like_3		GCF_021410345.1_CDS_4264		NZ_JAHYNB010000055.1	12462	14117	-	False	model	split	1.0		15:0.92|19:0.92|34:0.88|7:0.8|41:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58|20:0.58
13	SusCD_model	PUL	5	GCA_000699685.1_CDS_4941	shell	CarbopepD_reg_2		GCF_021410345.1_CDS_4265		NZ_JAHYNB010000055.1	14128	17466	-	False	model	split	1.0		15:0.92|19:0.92|34:0.88|7:0.8|41:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58|20:0.58
13	SusCD_model	PUL	2	GCA_000699685.1_CDS_1279	shell	TF		GCF_021410345.1_CDS_4500		NZ_JAHYNB010000061.1	1577	1939	+	False	model	split	1.0		
13	SusCD_model	PUL	2	GCA_003463955.1_CDS_4443	shell	TF		GCF_021410345.1_CDS_4501		NZ_JAHYNB010000061.1	2021	2323	-	False	model	split	1.0		
13	SusCD_model	PUL	2	GCA_024790065.1_CDS_3016	shell	TF		GCF_021410345.1_CDS_4502		NZ_JAHYNB010000061.1	2359	2652	-	False	model	split	1.0		
13	SusCD_model	PUL	2	GCA_024758285.1_CDS_2881	shell	TF		GCF_021410345.1_CDS_4503		NZ_JAHYNB010000061.1	2863	3222	+	False	model	split	1.0		
13	SusCD_model	PUL	3	GCA_000699685.1_CDS_1272	shell			GCF_021410345.1_CDS_4285		NZ_JAHYNB010000057.1	3155	3607	-	False	context	split	1.0		
13	SusCD_model	PUL	2	GCA_003435255.1_CDS_2416	shell	TF		GCF_021410345.1_CDS_4504		NZ_JAHYNB010000061.1	3226	3576	+	False	model	split	1.0		
13	SusCD_model	PUL	2	GCF_019128845.1_CDS_3822	shell			GCF_021410345.1_CDS_4499		NZ_JAHYNB010000061.1	329	1564	+	False	context	split	1.0		
13	SusCD_model	PUL	2	GCF_964260535.1_CDS_3763	shell			GCF_021410345.1_CDS_4505		NZ_JAHYNB010000061.1	3597	5186	+	False	context	split	1.0		
13	SusCD_model	PUL	3	GCA_003435255.1_CDS_2418	shell	TF		GCF_021410345.1_CDS_4286		NZ_JAHYNB010000057.1	3770	5857	-	False	model	split	1.0		
13	SusCD_model	PUL	1	GCA_000273195.1_CDS_6232	shell			GCF_021410345.1_CDS_3296		NZ_JAHYNB010000035.1	46341	47819	+	False	context	split	1.0		15:0.92|19:0.92|34:0.88|2:0.84|7:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58
13	SusCD_model	PUL	1	GCA_000273195.1_CDS_6233	persistent	GH10		GCF_021410345.1_CDS_3297		NZ_JAHYNB010000035.1	47854	48927	+	False	model	split	1.0		15:0.92|19:0.92|34:0.88|2:0.84|7:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58
13	SusCD_model	PUL	5	GCF_003459105.1_CDS_2774	shell			GCF_021410345.1_CDS_4260		NZ_JAHYNB010000055.1	4814	7093	-	False	filtered	split	1.0		15:0.92|19:0.92|34:0.88|7:0.8|41:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58|20:0.58
13	SusCD_model	PUL	1	GCA_000273195.1_CDS_6234	persistent			GCF_021410345.1_CDS_3298		NZ_JAHYNB010000035.1	48935	51466	+	False	context	split	1.0		15:0.92|19:0.92|34:0.88|2:0.84|7:0.8|11:0.79|27:0.7|3:0.63|6:0.6|4:0.58|20:0.58
