Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results
WP_005681492.1	-	-	-	GH117	1	-
WP_008759752.1	-	GT2(4-131)	GT2(4-295)	GT2	3	GT2
WP_008759755.1	-	-	GT4_e3714(142-266)	GT4	2	GT4_e3714
WP_008759776.1	-	-	-	GT119	1	-
WP_008759880.1	-	CE11(4-224)	CE11_e18(5-297)	CE11	3	CE11_e18
WP_008759884.1	-	-	-	GH23	1	-
WP_008759920.1	-	GH109(53-457)	GH109_e5(54-457)	GH109	3	GH109_e5
WP_008759957.1	-	GT4(215-372)	GT4_e1861(216-373)	GT4	3	GT4_e1861
WP_008759975.1	-	GT4(240-385)	GT4_e602(244-387)	GT4	3	GT4_e602
WP_008759978.1	-	GT5(6-237)	GT5_e28(7-231)	GT5	3	GT5_e28
WP_008760094.1	-	-	-	GH105	1	-
WP_008760322.1	-	GT2(4-167)	GT2(5-167)	GT2	3	GT2
WP_008760327.1	-	-	-	GH13_31	1	-
WP_008760377.1	4.2.2.7:1|4.2.2.8:1	PL12_2(429-566)	PL12_e7(430-567)	PL12_2	3	PL12_2
WP_008760398.1	-	-	-	GH2	1	-
WP_008760470.1	-	CE1(31-261)	CE1_e22(54-259)	-	2	CE1_e22
WP_008760550.1	-	GT2(8-174)	GT2(9-175)	AAO75358.1+GT2	3	GT2
WP_008760603.1	-	-	-	GT106	1	-
WP_008760615.1	-	GH109(4-185)	GH109_e7(24-185)	-	2	GH109_e7
WP_008760846.1	-	-	CBM50_e27(248-289)	CBM50	2	CBM50_e27
WP_008760881.1	3.2.1.113:6|3.2.1.-:1	GH92(234-741)	GH92_e18(235-742)	GH92	3	GH92_e18
WP_008760902.1	-	-	GH18_e216(198-376)	GH18	2	GH18_e216
WP_008760990.1	3.2.1.-:1	GH105(52-396)	GH105_e41(57-395)	GH105	3	GH105_e41
WP_008761037.1	-	-	-	GT2	1	-
WP_008761096.1	-	-	-	GT2	1	-
WP_008761388.1	-	-	-	CBM48+GH13_8	1	-
WP_008761680.1	3.2.1.96:1	-	GH18_e203(165-348)	GH18	2	GH18_e203
WP_008762033.1	-	-	-	CE4	1	-
WP_008762102.1	-	-	-	GH3	1	-
WP_008762206.1	-	-	-	GT4	1	-
WP_008762326.1	-	-	-	GH101	1	-
WP_008762477.1	-	GH2(50-484)	GH2_e14(44-600)	GH2	3	GH2_e14
WP_008762490.1	3.2.1.113:6|3.2.1.-:1	GH92(233-740)	GH92_e18(234-741)	GH92	3	GH92_e18
WP_008762569.1	-	GT2(250-377)	GT2(251-381)	GT2	3	GT2
WP_008762690.1	-	-	GH18_e54(110-316)	GH18	2	GH18_e54
WP_008762717.1	3.2.1.197:4	GH130_3(60-371)	GH130_e20(65-372)	GH130_3	3	GH130_3
WP_008762721.1	3.2.1.113:6|3.2.1.-:1	GH92(237-742)	GH92_e18(239-743)	GH92	3	GH92_e18
WP_008762750.1	-	-	-	GT119	1	-
WP_008763197.1	-	-	-	GT2	1	-
WP_008763215.1	-	-	-	GT47	1	-
WP_008763228.1	-	-	-	GH13	1	-
WP_008763274.1	-	-	-	GH0	1	-
WP_008763294.1	-	-	-	GT2	1	-
WP_008763318.1	-	-	-	GH1	1	-
WP_008763364.1	-	-	-	GH101	1	-
WP_008763529.1	-	-	-	GT4	1	-
WP_008763540.1	-	-	GH18_e37(60-334)	GH18	2	GH18_e37
WP_008763710.1	-	-	-	GT28	1	-
WP_008763712.1	-	GT119(17-385)	-	GT119	2	GT119
