dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH35_e15	GH35:43|GH53:1	3.2.1.23:1	pectin	345	ADB40_RS04920	700	3.7e-141	2	344	47	401	0.991304347826087	0.991304347826087
GH51_e3	GH51:22	-	-	442	AMN54_RS00125	682	1.8e-280	1	442	240	681	0.997737556561086	0.997737556561086
GT8_e163	GT8:169|GT101:120|GT2:6	2.4.1.-:1	-	231	AMN54_RS00835	328	3.7e-60	2	229	5	250	0.9826839826839827	0.9826839826839827
GT4_e3886	GT4:5	-	-	148	AMN54_RS00840	395	3.2e-42	1	148	217	362	0.9932432432432432	0.9932432432432432
GH43_e327	GH43_2:71|CBM6:10|GH43:10|CBM42:1|GH43_34:1|CBM35:1|GH43_29:1	3.2.1.55:2	xylan	267	AMN54_RS06145	698	2.2e-143	1	267	424	690	0.9962546816479401	0.9962546816479401
GT4_e3551	GT4:17	-	-	140	AMN54_RS20910	379	2.9e-40	2	129	221	340	0.9071428571428571	0.9071428571428571
GT4_e2551	GT4:14	-	-	133	AMN54_RS20925	391	1.2e-46	2	132	212	350	0.9774436090225563	0.9774436090225563
GT4_e3213	GT4:6	-	-	139	AMN54_RS20930	396	9e-27	14	137	237	358	0.8848920863309353	0.8848920863309353
GT8_e243	GT8:32	-	-	253	AMN54_RS20935	321	4.1e-70	1	252	3	261	0.9920948616600791	0.9920948616600791
GH43_e74	GH43_33:86|GH43_31:7|GH43:2	-	-	320	AMN54_RS25965	138	1.7e-54	202	320	6	122	0.36875	0.36875
CBM50_e207	CBM50:163|GH23:159	-	chitin, peptidoglycan	42	AMN54_RS26300	155	3.7e-21	1	42	112	153	0.9761904761904762	0.9761904761904762
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	AMN54_RS26410	283	3.1e-131	374	639	10	280	0.41471048513302033	0.41471048513302033
GH2_e159	GH2:17	-	-	392	AMN54_RS26415	241	1.9e-76	51	291	1	239	0.6122448979591837	0.6122448979591837
PL38_e14	PL38:41|GH88:10	-	-	278	AMN54_RS27080	454	1e-58	129	276	1	148	0.5287769784172662	0.5287769784172662
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	AMN54_RS27080	454	8.5e-91	2	195	261	454	0.595679012345679	0.595679012345679
GT2	GT2:14	-	-	114	AMN54_RS27290	211	8.8e-23	49	113	1	66	0.5614035087719298	0.5614035087719298
GH36_e36	GH36:257|GH134:1|PL1_7:1	3.2.1.22:11	alpha-galactan	684	AMN54_RS27455	243	2.6e-126	184	424	1	243	0.3508771929824561	0.3508771929824561
GT4_e1139	GT4:11	-	-	149	AMN69_RS11860	584	3e-18	9	147	185	325	0.9261744966442953	0.9261744966442953
CE4_e274	CE4:13|GT4:1	-	-	141	AMN69_RS11860	584	3e-33	5	132	421	546	0.900709219858156	0.900709219858156
