HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
SBP_bac_1	315	PUL0010|WP_008880045.1	435	1.1945757565303206e-39	2	309	49	337	0.9777777777777777	STP
dCache_1	249	PUL0010|WP_008880055.1	576	7.688809208470148e-09	3	248	42	260	0.9879518072289156	STP
HATPase_c	111	PUL0010|WP_008880055.1	576	8.371777659517377e-12	9	109	462	571	0.9099099099099099	STP
Response_reg	112	PUL0010|WP_008880056.1	263	3.5734856117806926e-30	1	112	6	119	1.0	STP
HTH_18	81	PUL0010|WP_008880056.1	263	7.672856457618802e-26	1	81	176	255	1.0	STP
SBP_bac_1	315	PUL0010|WP_008880057.1	440	2.1490308134725612e-36	2	310	51	351	0.9809523809523809	STP
PfkB	302	PUL0010|WP_008880071.1	317	3.73599419869586e-70	3	301	2	300	0.9900662251655629	STP
GntR	64	PUL0010|WP_011887511.1	232	1.7601108878810335e-19	3	64	21	81	0.96875	STP
SBP_bac_1	315	PUL0010|WP_011887515.1	547	4.527862026917107e-18	16	305	67	371	0.9206349206349206	STP
GntR	64	PUL0010|WP_011887526.1	364	6.458138579039178e-20	2	64	9	71	0.984375	STP
Peripla_BP_3	164	PUL0010|WP_011887526.1	364	1.7699950153370452e-38	1	164	196	361	1.0	STP
MarR	59	PUL0078|AAB42043.1	399	2.576798860990122e-07	4	47	11	54	0.7457627118644068	STP
LacI	46	PUL0140|AYN23378.1	338	2.1770289464747706e-10	2	44	8	50	0.9347826086956522	STP
Peripla_BP_3	164	PUL0140|AYN23378.1	338	3.7015847998115477e-41	1	164	170	330	1.0	STP
SBP_bac_1	315	PUL0140|AYN23379.1	425	1.2848778875235225e-40	6	315	47	344	0.9841269841269841	STP
Response_reg	112	PUL0227|AFM44654.1	494	9.19346786213362e-28	1	111	8	120	0.9910714285714286	STP
HTH_18	81	PUL0227|AFM44654.1	494	1.860867412927328e-08	1	40	451	490	0.49382716049382713	STP
dCache_1	249	PUL0227|AFM44655.1	402	2.3789889419047585e-08	107	248	5	138	0.570281124497992	STP
HATPase_c	111	PUL0227|AFM44655.1	402	1.9608390840502674e-06	9	55	337	388	0.42342342342342343	STP
SBP_bac_1	315	PUL0227|AFM44656.1	439	1.722539752836995e-40	10	309	62	350	0.9523809523809523	STP
Response_reg	112	PUL0229|ABV90480.1	522	6.929875911004022e-28	1	111	4	117	0.9910714285714286	STP
HTH_18	81	PUL0229|ABV90480.1	522	3.286667293762405e-18	2	80	439	516	0.9753086419753086	STP
dCache_1	249	PUL0229|ABV90481.1	572	4.46011032061026e-07	21	205	60	228	0.7429718875502008	STP
HATPase_c	111	PUL0229|ABV90481.1	572	6.958072162696674e-07	10	110	469	568	0.9099099099099099	STP
Reg_prop	24	PUL0262|ALJ61524.1	1370	9.871756129535448e-05	1	23	580	602	0.9583333333333334	STP
Y_Y_Y	66	PUL0262|ALJ61524.1	1370	7.248579529856533e-13	2	65	719	778	0.9696969696969697	STP
HisKA	64	PUL0262|ALJ61524.1	1370	4.787395485479469e-13	2	64	830	894	0.984375	STP
HATPase_c	111	PUL0262|ALJ61524.1	1370	3.1198882560556214e-22	2	110	941	1061	0.9819819819819819	STP
Response_reg	112	PUL0262|ALJ61524.1	1370	1.7097084178687818e-27	1	110	1107	1216	0.9821428571428571	STP
HTH_18	81	PUL0262|ALJ61524.1	1370	1.326910244840428e-19	1	79	1275	1352	0.9753086419753086	STP
Y_Y_Y	66	PUL0263|ALJ61544.1	1367	2.2955563537511224e-14	2	54	716	768	0.803030303030303	STP
HisKA	64	PUL0263|ALJ61544.1	1367	3.18245478942509e-11	2	64	829	893	0.984375	STP
HATPase_c	111	PUL0263|ALJ61544.1	1367	3.639874283089176e-21	6	110	944	1060	0.9459459459459459	STP
Response_reg	112	PUL0263|ALJ61544.1	1367	8.888130171616542e-27	1	111	1117	1227	0.9910714285714286	STP
HTH_18	81	PUL0263|ALJ61544.1	1367	3.1120843871316494e-22	1	79	1285	1362	0.9753086419753086	STP
LacI	46	PUL0274|ACS45888.1	334	8.863297883002965e-10	2	44	8	50	0.9347826086956522	STP
Peripla_BP_3	164	PUL0274|ACS45888.1	334	4.831505894787911e-41	1	164	170	330	1.0	STP
SBP_bac_1	315	PUL0274|ACS45889.1	425	2.0352499293020955e-40	4	315	45	344	0.9904761904761905	STP
HTH_IclR	52	PUL0274|ACS45897.1	411	2.0874941930174611e-07	8	49	20	61	0.8076923076923077	STP
