system number	system name	organism	gene family	partition	annotation name	gene	start	stop	strand	is_fragment
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17065	cloud	cas3f_I-F_1	cas3f	39078	42116	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17065	cloud	cas3_I_5	cas3f	39078	42116	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17065	cloud	cas3HD_I_1	cas3f	39078	42116	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17065	cloud	cas3_I_2	cas3f	39078	42116	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17070	cloud	cas8f_I-F_8	csy1	42131	43387	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17070	cloud	cas8f_I-F_4	csy1	42131	43387	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17075	cloud	cas5f_I-F_4	csy2	43387	44328	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17075	cloud	cas5f_I-F_3	csy2	43387	44328	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17075	cloud	cas5f_I-F_1	csy2	43387	44328	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17075	cloud	cas5f_I-F_2	csy2	43387	44328	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17080	cloud	cas7f_I-F_3	csy3	44361	45395	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17080	cloud	cas7f_I-F_1	csy3	44361	45395	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17080	cloud	cas7f_I-F_2	csy3	44361	45395	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17085	cloud	cas6f_I_II_III_IV_V_VI_3	cas6f	45395	46000	+	False
1	CAS_Class1-Subtype-I-F	GCF_010918375.1_ASM1091837v1	FSC09_RS17085	cloud	cas6f_I_II_III_IV_V_VI_2	cas6f	45395	46000	+	False
10	AbiD	GCF_009296145.1_ASM929614v1	J0W32_RS00755	persistent	AbiD		1518194	1519048	-	False
10	AbiD	GCF_009914375.1_ASM991437v1	J0W32_RS00755	persistent	AbiD		2192184	2192369	+	True
10	AbiD	GCF_009914375.1_ASM991437v1	J0W32_RS00755	persistent	AbiD		2192356	2193063	+	False
10	AbiD	GCF_009914395.1_ASM991439v1	J0W32_RS00755	persistent	AbiD		1559702	1560556	+	False
10	AbiD	GCF_009914415.1_ASM991441v1	J0W32_RS00755	persistent	AbiD		1586328	1587035	+	False
10	AbiD	GCF_009914435.1_ASM991443v1	J0W32_RS00755	persistent	AbiD		1495131	1495583	+	True
10	AbiD	GCF_009914475.1_ASM991447v1	J0W32_RS00755	persistent	AbiD	GA693_RS04930	926524	927231	-	False
10	AbiD	GCF_010917815.1_ASM1091781v1	J0W32_RS00755	persistent	AbiD		1517147	1517731	-	False
10	AbiD	GCF_010917815.1_ASM1091781v1	J0W32_RS00755	persistent	AbiD		1517767	1518069	-	True
10	AbiD	GCF_010918195.1_ASM1091819v1	J0W32_RS00755	persistent	AbiD		1491208	1491582	+	True
10	AbiD	GCF_010918195.1_ASM1091819v1	J0W32_RS00755	persistent	AbiD		1491657	1492253	+	False
10	AbiD	GCF_010918375.1_ASM1091837v1	J0W32_RS00755	persistent	AbiD		1545167	1545697	+	True
10	AbiD	GCF_010918375.1_ASM1091837v1	J0W32_RS00755	persistent	AbiD		1545681	1546061	+	True
10	AbiD	GCF_012278715.1_ASM1227871v1	J0W32_RS00755	persistent	AbiD		3101538	3102461	+	False
10	AbiD	GCF_012278735.1_ASM1227873v1	J0W32_RS00755	persistent	AbiD		1432667	1433374	-	False
10	AbiD	GCF_015217905.1_ASM1521790v1	J0W32_RS00755	persistent	AbiD		140506	141078	+	True
10	AbiD	GCF_015217905.1_ASM1521790v1	J0W32_RS00755	persistent	AbiD		141860	142348	+	False
10	AbiD	GCF_015218885.1_ASM1521888v1	J0W32_RS00755	persistent	AbiD		1542179	1543033	+	False
10	AbiD	GCF_017132735.1_ASM1713273v1	J0W32_RS00755	persistent	AbiD		1650081	1651004	-	False
10	AbiD	GCF_017309425.1_ASM1730942v1	J0W32_RS00755	persistent	AbiD		152324	153178	-	False
10	AbiD	GCF_017309445.1_ASM1730944v1	J0W32_RS00755	persistent	AbiD		162488	162940	-	True
11	Gabija	GCF_015217905.1_ASM1521790v1	G0027_RS03405	cloud	GajB_1		711277	712968	-	False
11	Gabija	GCF_015217905.1_ASM1521790v1	G0027_RS03405	cloud	GajB_2		711277	712968	-	False
11	Gabija	GCF_015217905.1_ASM1521790v1	G0027_RS03405	cloud	GajB_3		711277	712968	-	False
11	Gabija	GCF_015217905.1_ASM1521790v1	G0027_RS03410	cloud	GajA		712959	715100	-	False
11	Gabija	GCF_017309445.1_ASM1730944v1	G0027_RS03410	cloud	GajA		2576719	2578914	+	False
