Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
PUL0003|NP_389697.1	UEG55424.1|GH30_8	100.0	422	0	0	1	422	1	422	0.0	867
PUL0003|NP_389698.1	UKS40674.1|CBM6|GH43_16	100.0	513	0	0	1	513	1	513	0.0	1030
PUL0010|WP_008880081.1	ARP42883.1|CBM91|GH43_11	100.0	535	0	0	1	535	1	535	0.0	1146
PUL0010|WP_008880078.1	ACC86109.1|GH10|3.2.1.8	100.0	407	0	0	1	407	1	407	1.03e-305	830
PUL0010|WP_008880070.1	ABO67133.1|GH39	100.0	506	0	0	1	506	1	506	0.0	1031
PUL0010|WP_011887512.1	ABO67134.1|GH67	100.0	684	0	0	1	684	1	684	0.0	1415
PUL0010|WP_081157505.1	QNU32827.1|GH10	100.0	331	0	0	1	331	1	331	1.17e-252	689
PUL0010|WP_011887517.1	ABO67139.1|GH52	100.0	705	0	0	1	705	1	705	0.0	1460
PUL0010|WP_008880061.1	ARP42902.1|CE4	100.0	208	0	0	1	208	1	208	1.11e-150	421
PUL0010|WP_011887521.1	ABO67151.1|GH51_1	100.0	502	0	0	1	502	1	502	0.0	1037
PUL0078|AAB42044.1	AAB42044.1|CBM22|GH10|3.2.1.8	100.0	684	0	0	1	684	1	684	0.0	1370
PUL0140|AYN23377.1	AYN23377.1|GH43_12	100.0	560	0	0	1	560	1	560	0.0	1169
PUL0140|AYN23382.1	AYN23382.1|CBM91|GH43_11	100.0	541	0	0	1	541	1	541	0.0	1161
PUL0140|AYN23383.1	AYN23383.1|CE20	100.0	676	0	0	1	676	1	676	0.0	1427
PUL0140|AYN23385.1	AFI62749.1|CBM91|GH43_10	100.0	519	0	0	1	519	1	519	0.0	1102
PUL0227|AFM44650.1	AFM44650.1|GH67|3.2.1.131	100.0	690	0	0	1	690	1	690	0.0	1428
PUL0227|AFM44649.1	AFM44649.1|GH3|3.2.1.37	100.0	789	0	0	1	789	1	789	0.0	1562
PUL0229|ABV90485.1	ABV90485.1|GH67|3.2.1.139	100.0	687	0	0	1	687	1	687	0.0	1422
PUL0229|ABV90486.1	ACS99999.1|GH10|3.2.1.8	100.0	341	0	0	1	341	1	341	4.82e-257	701
PUL0229|ABV90487.1	ABV90487.1|CBM91|GH43_12	100.0	521	0	0	1	521	1	521	0.0	1078
PUL0262|ALJ61518.1	ALJ61518.1|GH10	100.0	721	0	0	1	721	1	721	0.0	1469
PUL0262|ALJ61519.1	ALJ61519.1|GH10	100.0	371	0	0	1	371	1	371	3.03e-282	768
PUL0262|ALJ61520.1	ALJ61520.1|GH5_21	100.0	655	0	0	1	655	1	655	0.0	1342
PUL0262|ALJ61522.1	ALJ61522.1|CE6|GH95	100.0	1074	0	0	1	1074	1	1074	0.0	2200
PUL0262|ALJ61523.1	ALJ61523.1|GH8	100.0	417	0	0	1	417	1	417	0.0	883
PUL0263|ALJ61540.1	UVP48920.1|CBM22|GH10	100.0	772	0	0	1	772	1	772	0.0	1586
PUL0274|ACS45887.1	QYU56295.1|GH43_12	100.0	560	0	0	1	560	1	560	0.0	1169
PUL0274|ACS45892.1	UFQ04207.1|CBM91|GH43_11	100.0	541	0	0	1	541	1	541	0.0	1159
PUL0274|ACS45893.1	AEN76273.1|CE20	100.0	641	0	0	1	641	1	641	0.0	1351
PUL0274|ACS45895.1	QBA08337.1|CBM91|GH43_10	100.0	519	0	0	1	519	1	519	0.0	1102
PUL0289|ABQ06884.1	WQG81282.1|GH97	100.0	647	0	0	1	647	1	647	0.0	1323
PUL0289|ABQ06885.1	WQG81281.1|GH3	100.0	864	0	0	1	864	1	864	0.0	1746
PUL0289|ABQ06886.1	WQG81280.1|CBM91|GH43_10	100.0	518	0	0	1	518	1	518	0.0	1074
PUL0289|ABQ06887.1	ABQ06887.1|GH146	100.0	765	0	0	1	765	1	765	0.0	1541
PUL0289|ABQ06888.1	ABQ06888.1|GH115	100.0	841	0	0	1	841	1	841	0.0	1733
PUL0289|ABQ06889.1	ABQ06889.1|CE0|CE6|3.1.1.72	100.0	560	0	0	1	560	1	560	0.0	1143
PUL0289|ABQ06890.1	ARA93149.1|CE15	52.8	373	174	2	41	413	454	824	1.6e-128	395
PUL0289|ABQ06891.1	WQG81275.1|CBM91|GH43_12	100.0	571	0	0	1	571	1	571	0.0	1184
PUL0294|PKD09793.1	CBK69948.1|GH120	100.0	659	0	0	1	659	1	659	0.0	1337
PUL0294|PKD09795.1	ACD99324.1|GH43_12	99.8	590	1	0	1	590	1	590	0.0	1246
PUL0294|PKD09796.1	QOL38423.1|CBM91|GH43_11	100.0	539	0	0	1	539	1	539	0.0	1144
PUL0328|APU67020.1	WKN13057.1|CBM0	42.5	687	334	14	43	718	43	679	1.8600000000000001e-183	548
PUL0328|APU67021.1	BCA48091.1|CBM0	47.5	692	349	6	132	811	11	700	6.78e-227	659
PUL0328|APU67023.1	APU67023.1|GH43_26	100.0	366	0	0	1	366	1	366	3.03e-284	772
PUL0328|APU67024.1	APU67024.1|GH2	100.0	606	0	0	1	606	1	606	0.0	1275
PUL0328|APU67025.1	APU67025.1|GH5_13	100.0	391	0	0	1	391	1	391	1.7600000000000002e-307	833
PUL0329|APU67041.1	APU67041.1|CBM91|GH43_10	100.0	516	0	0	1	516	1	516	0.0	1055
PUL0329|APU67042.1	APU67042.1|CBM91|GH43_12	100.0	581	0	0	1	581	1	581	0.0	1203
PUL0329|APU67044.1	APU67044.1|CE20	100.0	648	0	0	1	648	1	648	0.0	1339
PUL0329|APU67045.1	APU67045.1|GH43_1	100.0	391	0	0	1	391	1	391	1.47e-290	790
PUL0329|APU67048.1	QGW29741.1|GT4	38.0	615	324	13	3	600	391	965	1.09e-113	367
PUL0329|APU67056.1	APU67056.1|GH3	100.0	735	0	0	1	735	1	735	0.0	1469
PUL0329|APU67057.1	APU67057.1|GH67	100.0	743	0	0	1	743	1	743	0.0	1525
PUL0329|APU67059.1	ACU62277.1|GH35	52.5	381	181	0	1	381	3	383	2.0600000000000003e-129	399
PUL0329|APU67060.1	APU67060.1|GH10	100.0	382	0	0	1	382	1	382	7.479999999999999e-284	773
PUL0329|APU67061.1	APU67061.1|GH115	100.0	947	0	0	1	947	1	947	0.0	1907
PUL0329|APU67062.1	APU67062.1|CE15	100.0	439	0	0	1	439	1	439	0.0	898
PUL0335|SIP56315.1	QCW79542.1|GH101	54.5	457	208	0	60	516	612	1068	2.28e-165	501
PUL0335|SIP56320.1	SIP56320.1|GH13_46	100.0	616	0	0	1	616	1	616	0.0	1283
PUL0335|SIP56331.1	QBJ19494.1|GH97	100.0	717	0	0	1	717	4	720	0.0	1486
PUL0335|SIP56335.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0335|SIP56336.1	SIP56336.1|GH3	100.0	750	0	0	1	750	1	750	0.0	1459
PUL0335|SIP56337.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0335|SIP56338.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0336|SIP56344.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0336|SIP56345.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0336|SIP56346.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0336|SIP56347.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0336|SIP56353.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0337|SIP56386.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0337|SIP56392.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0337|SIP56393.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0337|SIP56394.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0337|SIP56395.1	CCO12112.1|GH13_31	71.4	395	112	1	2	395	28	422	3.99e-198	559
PUL0338|SIP56409.1	SIP56386.1|GT2	100.0	317	0	0	1	317	1	317	1.83e-233	640
PUL0338|SIP56415.1	SIP56338.1|GH16_3	100.0	314	0	0	1	314	1	314	2.83e-240	657
PUL0338|SIP56416.1	SIP56346.1|GH158	100.0	430	0	0	1	430	1	430	2.03e-317	862
PUL0338|SIP56417.1	SIP56417.1|GH3	100.0	747	0	0	1	747	1	747	0.0	1453
PUL0338|SIP56418.1	CCO12112.1|GH13_31	70.9	419	121	1	3	420	4	422	5.0500000000000004e-210	590
PUL0338|SIP56422.1	QBJ19494.1|GH97	100.0	717	0	0	1	717	4	720	0.0	1486
PUL0339|SIP56437.1	SIP56437.1|GH97	100.0	718	0	0	1	718	1	718	0.0	1488
PUL0339|SIP56439.1	CCO12112.1|GH13_31	70.4	419	123	1	3	420	4	422	1.83e-209	588
PUL0339|SIP56440.1	SIP56440.1|GH3	100.0	750	0	0	1	750	1	750	0.0	1466
PUL0339|SIP56442.1	SIP56442.1|GH16_3	100.0	496	0	0	1	496	1	496	0.0	1009
PUL0339|SIP56449.1	SIP56449.1|GH20	100.0	814	0	0	1	814	1	814	0.0	1669
