HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH30_8.hmm	388	PUL0003|NP_389697.1	422	2.380425363804457e-167	2	387	33	419	0.9948453608247423	dbCAN
GH43_16.hmm	301	PUL0003|NP_389698.1	513	9.420103004138283e-137	1	301	39	362	1.0	dbCAN
CBM6.hmm	138	PUL0003|NP_389698.1	513	7.262677776771279e-35	16	138	383	512	0.8913043478260869	dbCAN
CE4.hmm	130	PUL0010|WP_008880061.1	208	4.606316901968192e-36	4	125	10	133	0.9384615384615385	dbCAN
GH39.hmm	431	PUL0010|WP_008880070.1	506	3.374091048783103e-187	4	431	13	438	0.9930394431554525	dbCAN
GH10.hmm	303	PUL0010|WP_008880078.1	407	5.480692377053484e-111	2	302	48	405	0.9933993399339934	dbCAN
GH43_11.hmm	292	PUL0010|WP_008880081.1	535	1.3875264562630261e-152	1	292	4	302	1.0	dbCAN
CBM91.hmm	200	PUL0010|WP_008880081.1	535	3.9656829657956755e-56	3	198	329	534	0.98	dbCAN
GH67.hmm	669	PUL0010|WP_011887512.1	684	0.0	5	669	8	680	0.9940209267563528	dbCAN
GH52.hmm	415	PUL0010|WP_011887517.1	705	3.264559616339015e-215	1	415	20	439	1.0	dbCAN
GH179.hmm	338	PUL0010|WP_011887520.1	331	9.312495464184093e-29	8	329	26	324	0.9526627218934911	dbCAN
GH51_1.hmm	472	PUL0010|WP_011887521.1	502	3.97776851298004e-184	3	472	9	499	0.9957627118644068	dbCAN
GH10.hmm	303	PUL0010|WP_081157505.1	331	1.463977084483868e-116	1	301	7	329	0.9933993399339934	dbCAN
CBM22.hmm	131	PUL0078|AAB42044.1	684	4.688641398088638e-20	3	129	196	325	0.9694656488549618	dbCAN
GH10.hmm	303	PUL0078|AAB42044.1	684	1.2589300235485053e-113	2	302	356	677	0.9933993399339934	dbCAN
GH43_12.hmm	281	PUL0140|AYN23377.1	560	2.285593245738545e-95	1	278	11	366	0.9893238434163701	dbCAN
GH43_11.hmm	292	PUL0140|AYN23382.1	541	7.473781705436177e-136	1	292	3	304	1.0	dbCAN
CBM91.hmm	200	PUL0140|AYN23382.1	541	1.8270240949330972e-45	3	199	332	539	0.985	dbCAN
CE20.hmm	249	PUL0140|AYN23383.1	676	3.6374589562195713e-34	3	117	116	234	0.46184738955823296	dbCAN
CE20.hmm	249	PUL0140|AYN23383.1	676	2.9051953214618197e-36	122	246	412	535	0.5020080321285141	dbCAN
GH43_10.hmm	271	PUL0140|AYN23385.1	519	1.8470663143074594e-90	1	271	5	273	1.0	dbCAN
CBM91.hmm	200	PUL0140|AYN23385.1	519	3.5319746026016054e-25	12	198	317	513	0.935	dbCAN
GH3.hmm	216	PUL0227|AFM44649.1	789	5.175038475073028e-75	3	216	95	321	0.9907407407407407	dbCAN
GH67.hmm	669	PUL0227|AFM44650.1	690	2.426655316664147e-302	5	669	10	687	0.9940209267563528	dbCAN
CE4.hmm	130	PUL0227|AFM44659.1	266	8.025289233203058e-22	7	127	12	135	0.9307692307692308	dbCAN
GH67.hmm	669	PUL0229|ABV90485.1	687	0.0	1	669	4	684	1.0	dbCAN
GH10.hmm	303	PUL0229|ABV90486.1	341	4.664197055483328e-114	2	302	10	332	0.9933993399339934	dbCAN
GH43_12.hmm	281	PUL0229|ABV90487.1	521	4.3309533908219835e-115	1	281	12	288	1.0	dbCAN
CBM91.hmm	200	PUL0229|ABV90487.1	521	2.875917794517302e-49	6	198	322	518	0.965	dbCAN
GH10.hmm	303	PUL0262|ALJ61518.1	721	1.6906619325528233e-46	96	302	456	716	0.6831683168316832	dbCAN
GH10.hmm	303	PUL0262|ALJ61519.1	371	2.362091262484912e-105	2	302	31	369	0.9933993399339934	dbCAN
GH5_21.hmm	292	PUL0262|ALJ61520.1	655	1.3991110999117914e-101	2	281	62	359	0.958904109589041	dbCAN
CE1.hmm	227	PUL0262|ALJ61521.1	293	2.38064600170347e-58	1	225	37	288	0.9911894273127754	dbCAN
CE6.hmm	99	PUL0262|ALJ61522.1	1074	1.4222674989163866e-33	2	99	86	196	0.98989898989899	dbCAN
GH95.hmm	722	PUL0262|ALJ61522.1	1074	4.492271706419508e-296	3	713	279	1010	0.9847645429362881	dbCAN
GH8.hmm	320	PUL0262|ALJ61523.1	417	5.633108201566917e-78	12	319	83	408	0.9625	dbCAN
GH10.hmm	303	PUL0263|ALJ61540.1	772	4.279122859124096e-52	96	302	490	742	0.6831683168316832	dbCAN
GH43_12.hmm	281	PUL0274|ACS45887.1	560	3.084632857652411e-95	1	278	11	366	0.9893238434163701	dbCAN
GH43_11.hmm	292	PUL0274|ACS45892.1	541	1.6985633576834056e-135	1	292	3	304	1.0	dbCAN
CBM91.hmm	200	PUL0274|ACS45892.1	541	7.117149309978139e-46	3	199	332	539	0.985	dbCAN
CE20.hmm	249	PUL0274|ACS45893.1	641	8.12180008678848e-34	3	117	81	199	0.46184738955823296	dbCAN
CE20.hmm	249	PUL0274|ACS45893.1	641	5.434655218709577e-36	122	246	377	500	0.5020080321285141	dbCAN
GH43_10.hmm	271	PUL0274|ACS45895.1	519	3.5025072336974533e-90	1	271	5	273	1.0	dbCAN
CBM91.hmm	200	PUL0274|ACS45895.1	519	3.989174065561765e-25	12	198	317	513	0.935	dbCAN
GH97.hmm	631	PUL0289|ABQ06884.1	647	4.525729884235361e-170	3	628	9	645	0.9920760697305864	dbCAN
GH3.hmm	216	PUL0289|ABQ06885.1	864	3.2717242666407932e-68	3	216	57	302	0.9907407407407407	dbCAN
GH43_10.hmm	271	PUL0289|ABQ06886.1	518	1.9208939151766772e-98	1	271	25	293	1.0	dbCAN
CBM91.hmm	200	PUL0289|ABQ06886.1	518	5.986632067278342e-32	6	198	321	516	0.965	dbCAN
GH146.hmm	503	PUL0289|ABQ06887.1	765	2.3169930289069495e-210	1	503	34	542	1.0	dbCAN
GH115.hmm	697	PUL0289|ABQ06888.1	841	5.34909326267945e-284	4	697	35	818	0.9956958393113343	dbCAN
CE6.hmm	99	PUL0289|ABQ06889.1	560	2.8855840373442214e-34	2	99	90	200	0.98989898989899	dbCAN
CE1.hmm	227	PUL0289|ABQ06889.1	560	6.892050404696132e-60	1	217	314	533	0.9559471365638766	dbCAN
GH43_12.hmm	281	PUL0289|ABQ06891.1	571	4.3094288977829524e-100	2	281	58	352	0.99644128113879	dbCAN
CBM91.hmm	200	PUL0289|ABQ06891.1	571	1.0163235567858203e-47	6	183	390	568	0.89	dbCAN
GH120.hmm	91	PUL0294|PKD09793.1	659	2.941362133136001e-35	2	91	315	404	0.989010989010989	dbCAN
GH43_12.hmm	281	PUL0294|PKD09795.1	590	1.2154885398461694e-103	2	278	21	367	0.9857651245551602	dbCAN
GH43_11.hmm	292	PUL0294|PKD09796.1	539	1.3849334488904778e-134	1	292	3	304	1.0	dbCAN
CBM91.hmm	200	PUL0294|PKD09796.1	539	8.028059555272125e-46	3	198	332	538	0.98	dbCAN
GH127.hmm	524	PUL0328|APU67020.1	722	1.2160935793094807e-35	56	523	112	576	0.8931297709923665	dbCAN
GH43_26.hmm	294	PUL0328|APU67023.1	366	2.5311374623949265e-122	1	294	42	338	1.0	dbCAN
GH2.hmm	752	PUL0328|APU67024.1	606	1.5131362932107872e-101	23	442	53	547	0.5585106382978723	dbCAN
GH5_13.hmm	269	PUL0328|APU67025.1	391	3.3928774441221197e-125	1	269	69	343	1.0	dbCAN
GH43_10.hmm	271	PUL0329|APU67041.1	516	1.2434829718867893e-95	2	271	28	293	0.996309963099631	dbCAN
CBM91.hmm	200	PUL0329|APU67041.1	516	3.0346496439916976e-30	9	196	328	514	0.94	dbCAN
GH43_12.hmm	281	PUL0329|APU67042.1	581	3.090237020886121e-105	2	281	64	359	0.99644128113879	dbCAN
CBM91.hmm	200	PUL0329|APU67042.1	581	2.886523189295825e-49	5	183	396	575	0.895	dbCAN
CE20.hmm	249	PUL0329|APU67044.1	648	1.7653165140255446e-41	3	120	102	223	0.4738955823293173	dbCAN
CE20.hmm	249	PUL0329|APU67044.1	648	1.3252871323366044e-54	103	248	388	534	0.5863453815261044	dbCAN
GH43_1.hmm	307	PUL0329|APU67045.1	391	7.460789168710273e-161	1	307	69	378	1.0	dbCAN
GH3.hmm	216	PUL0329|APU67056.1	735	1.7727790683329168e-72	3	215	67	307	0.9861111111111112	dbCAN
GH67.hmm	669	PUL0329|APU67057.1	743	2.3474341596949926e-294	2	667	45	715	0.9955156950672646	dbCAN
GH10.hmm	303	PUL0329|APU67060.1	382	1.4218435717232462e-114	2	301	44	371	0.9900990099009901	dbCAN
GH115.hmm	697	PUL0329|APU67061.1	947	5.256562769395709e-286	2	697	46	926	0.9985652797704447	dbCAN
CE15.hmm	269	PUL0329|APU67062.1	439	6.523492408546933e-86	1	268	73	438	0.9962825278810409	dbCAN
GH13_46.hmm	322	PUL0335|SIP56320.1	616	2.648029239462599e-145	1	321	162	484	0.9968944099378882	dbCAN
GH97.hmm	631	PUL0335|SIP56331.1	717	4.54103202314036e-262	3	630	13	702	0.9952456418383518	dbCAN
GH3.hmm	216	PUL0335|SIP56336.1	750	1.084574395835234e-72	2	216	92	315	0.9953703703703703	dbCAN
GH158.hmm	132	PUL0335|SIP56337.1	430	2.043764307474881e-34	2	131	39	169	0.9848484848484849	dbCAN
GH16_3.hmm	230	PUL0335|SIP56338.1	314	6.467550910481668e-69	1	230	76	311	1.0	dbCAN
GH3.hmm	216	PUL0336|SIP56345.1	747	1.0762707693221803e-72	2	216	89	312	0.9953703703703703	dbCAN
GH158.hmm	132	PUL0336|SIP56346.1	430	2.043764307474881e-34	2	131	39	169	0.9848484848484849	dbCAN
GH16_3.hmm	230	PUL0336|SIP56347.1	314	6.467550910481668e-69	1	230	76	311	1.0	dbCAN
GT2.hmm	170	PUL0336|SIP56353.1	317	1.1733347135430994e-33	1	168	4	168	0.9882352941176471	dbCAN
GT2.hmm	170	PUL0337|SIP56386.1	317	1.1733347135430994e-33	1	168	4	168	0.9882352941176471	dbCAN
GH16_3.hmm	230	PUL0337|SIP56392.1	314	6.467550910481668e-69	1	230	76	311	1.0	dbCAN
GH158.hmm	132	PUL0337|SIP56393.1	430	2.043764307474881e-34	2	131	39	169	0.9848484848484849	dbCAN
GH3.hmm	216	PUL0337|SIP56394.1	747	1.0762707693221803e-72	2	216	89	312	0.9953703703703703	dbCAN
GT2.hmm	170	PUL0338|SIP56409.1	317	1.1733347135430994e-33	1	168	4	168	0.9882352941176471	dbCAN
GH16_3.hmm	230	PUL0338|SIP56415.1	314	6.467550910481668e-69	1	230	76	311	1.0	dbCAN
GH158.hmm	132	PUL0338|SIP56416.1	430	2.043764307474881e-34	2	131	39	169	0.9848484848484849	dbCAN
GH3.hmm	216	PUL0338|SIP56417.1	747	1.0762707693221803e-72	2	216	89	312	0.9953703703703703	dbCAN
GH97.hmm	631	PUL0338|SIP56422.1	717	4.54103202314036e-262	3	630	13	702	0.9952456418383518	dbCAN
GH97.hmm	631	PUL0339|SIP56437.1	718	3.2956146957909656e-263	3	630	14	703	0.9952456418383518	dbCAN
GH3.hmm	216	PUL0339|SIP56440.1	750	3.5475983932678626e-72	2	216	92	315	0.9953703703703703	dbCAN
GH16_3.hmm	230	PUL0339|SIP56442.1	496	1.2216599096863771e-69	1	230	258	491	1.0	dbCAN
GH20.hmm	337	PUL0339|SIP56449.1	814	2.4393749878789835e-125	8	336	162	528	0.9762611275964391	dbCAN
GH3.hmm	216	PUL0342|WP_013064096.1	861	1.6858103341659273e-65	3	215	57	302	0.9861111111111112	dbCAN
GH95.hmm	722	PUL0342|WP_013064566.1	821	4.720541628022246e-288	4	713	19	758	0.9833795013850416	dbCAN
GH10.hmm	303	PUL0342|WP_013065621.1	726	1.5258844273879675e-107	2	301	33	367	0.9900990099009901	dbCAN
CE1.hmm	227	PUL0342|WP_013065621.1	726	1.7694789325007167e-44	1	221	507	722	0.973568281938326	dbCAN
GH10.hmm	303	PUL0345|EDV05054.1	782	3.438480170496897e-49	96	302	493	751	0.6831683168316832	dbCAN
